class name;;Method name;;;;Method signature;;;;type of exitStmt;;exit stmt;;Analysed unit;
net.n3.nanoxml.XMLException;;buildMessage;;;;<net.n3.nanoxml.XMLException: java.lang.String buildMessage(java.lang.String,int,java.lang.Exception,java.lang.String,boolean)>;;;;exitpoin;;return r3;;if r1 == null goto return r3;
net.n3.nanoxml.XMLElement;;addChild;;;;<net.n3.nanoxml.XMLElement: void addChild(net.n3.nanoxml.IXMLElement)>;;;;ThrowStmt;;throw $r3;;if r1 != null goto $r4 = interfaceinvoke r1.<net.n3.nanoxml.IXMLElement: java.lang.String getName()>();
net.n3.nanoxml.XMLElement;;insertChild;;;;<net.n3.nanoxml.XMLElement: void insertChild(net.n3.nanoxml.IXMLElement,int)>;;;;ThrowStmt;;throw $r3;;if r1 != null goto $r4 = interfaceinvoke r1.<net.n3.nanoxml.IXMLElement: java.lang.String getName()>();
net.n3.nanoxml.XMLElement;;removeChild;;;;<net.n3.nanoxml.XMLElement: void removeChild(net.n3.nanoxml.IXMLElement)>;;;;ThrowStmt;;throw $r2;;if r1 != null goto $r3 = r0.<net.n3.nanoxml.XMLElement: java.util.ArrayList children>;
org.jhotdraw.app.action.RedoAction;;updateProject;;;;<org.jhotdraw.app.action.RedoAction: void updateProject(org.jhotdraw.app.Project,org.jhotdraw.app.Project)>;;;;exitpoin;;return;;if r2 == null goto return;1
org.jhotdraw.app.action.UndoAction;;updateProject;;;;<org.jhotdraw.app.action.UndoAction: void updateProject(org.jhotdraw.app.Project,org.jhotdraw.app.Project)>;;;;exitpoin;;return;;if r2 == null goto return;1
org.jhotdraw.app.action.AbstractProjectAction;;<init>;;;;<org.jhotdraw.app.action.AbstractProjectAction: void <init>(org.jhotdraw.app.Application)>;;;;exitpoin;;return;;if r1 == null goto return;1
org.jhotdraw.draw.AbstractAttributedCompositeFigure;;setAttribute;;;;<org.jhotdraw.draw.AbstractAttributedCompositeFigure: void setAttribute(org.jhotdraw.draw.AttributeKey,java.lang.Object)>;;;;exitpoin;;return;;if r2 == null goto return;
org.jhotdraw.draw.AttributedFigure;;setAttribute;;;;<org.jhotdraw.draw.AttributedFigure: void setAttribute(org.jhotdraw.draw.AttributeKey,java.lang.Object)>;;;;exitpoin;;return;;if r2 == null goto return;
org.jhotdraw.xml.NanoXMLLiteDOMOutput;;addAttribute;;;;<org.jhotdraw.xml.NanoXMLLiteDOMOutput: void addAttribute(java.lang.String,java.lang.String)>;;;;exitpoin;;return;;if r2 == null goto return;
