class name;;number of detected pattern;;;
org.jhotdraw.draw.ToolEvent;;0;;;
org.jhotdraw.draw.action.VerticalGridLayout;;0;;intervalle de distribution ;nombre de classe par intervalle 
org.jhotdraw.draw.AbstractConnector;;0;;0;253
org.jhotdraw.draw.HandleTracker;;0;;1;16
org.jhotdraw.draw.AbstractFigure;;0;;2;2
org.jhotdraw.xml.XMLTransferable;;0;;3;2
org.jhotdraw.samples.svg.SVGApplicationModel;;0;;;0
org.jhotdraw.app.action.OpenRecentAction;;0;;;
org.jhotdraw.samples.pert.figures.SeparatorLineFigure;;0;;;
net.n3.nanoxml.XMLElement;;3;;;
org.jhotdraw.samples.pert.Main;;0;;;
org.jhotdraw.draw.action.AbstractEditorAction;;1;;;
net.n3.nanoxml.PIReader;;0;;;
org.jhotdraw.app.action.ClearRecentFilesAction;;0;;;
org.jhotdraw.xml.NanoXMLDOMOutput;;2;;;
org.jhotdraw.geom.Geom;;0;;;
org.jhotdraw.app.AbstractProject;;0;;;
org.jhotdraw.app.action.Actions;;0;;;
org.jhotdraw.util.ResourceBundleUtil;;0;;;
org.jhotdraw.app.action.AbstractApplicationAction;;0;;;
org.jhotdraw.samples.svg.figures.SVGText;;0;;;
org.jhotdraw.draw.GeneralPathTip;;0;;;
org.jhotdraw.app.action.MaximizeAction;;0;;;
org.jhotdraw.draw.EllipseFigure;;0;;;
org.jhotdraw.draw.HorizontalLayouter;;0;;;
org.jhotdraw.draw.action.ZoomEditorAction;;0;;;
org.jhotdraw.app.action.NewAction;;0;;;
net.n3.nanoxml.XMLAttribute;;0;;;
org.jhotdraw.draw.HandleMulticaster;;0;;;
org.jhotdraw.samples.svg.SVGUtil;;3;;;
org.jhotdraw.samples.svg.SVGLiveConnectApplet;;0;;;
org.jhotdraw.draw.DefaultDrawing;;0;;;
org.jhotdraw.samples.draw.Main;;0;;;
org.jhotdraw.draw.DiamondFigure;;0;;;
org.jhotdraw.app.action.OpenAction;;0;;;
org.jhotdraw.draw.RelativeDecoratorLocator;;0;;;
org.jhotdraw.app.action.ToggleProjectPropertyAction;;0;;;
org.jhotdraw.draw.action.ZoomAction;;0;;;
org.jhotdraw.draw.action.UngroupAction;;0;;;
org.jhotdraw.draw.FigureEvent;;0;;;
org.jhotdraw.app.action.ClearAction;;0;;;
org.jhotdraw.draw.LineFigure;;0;;;
org.jhotdraw.geom.Insets2DDouble;;0;;;
org.jhotdraw.draw.BezierFigure;;0;;;
org.jhotdraw.draw.AbstractLocator;;0;;;
org.jhotdraw.app.DefaultMDIApplication;;0;;;
org.jhotdraw.draw.CompositeFigure;;0;;;
org.jhotdraw.draw.FontSizeHandle;;0;;;
org.jhotdraw.app.action.ToggleVisibleAction;;0;;;
org.jhotdraw.draw.AbstractLayouter;;0;;;
org.jhotdraw.draw.BezierScaleHandle;;0;;;
org.jhotdraw.app.action.SaveBeforeAction;;0;;;
org.jhotdraw.draw.action.JPopupButtonBeanInfo;;0;;;
org.jhotdraw.draw.action.AbstractViewAction;;0;;;
org.jhotdraw.draw.BezierControlPointHandle;;0;;;
org.jhotdraw.draw.TextTool;;0;;;
org.jhotdraw.samples.pert.PertApplicationModel;;0;;;
org.jhotdraw.draw.CloseHandle;;0;;;
org.jhotdraw.draw.AttributeKey;;0;;;
net.n3.nanoxml.ContentReader;;0;;;
org.jhotdraw.draw.GraphicalCompositeFigure;;0;;;
org.jhotdraw.draw.action.DefaultAttributeAction;;0;;;
org.jhotdraw.draw.ChopBoxConnector;;0;;;
org.jhotdraw.app.DefaultOSXApplication;;0;;;
org.jhotdraw.samples.svg.SVGApplet;;1;;;
org.jhotdraw.draw.AbstractTool;;0;;;
org.jhotdraw.draw.FontSizeLocator;;0;;;
org.jhotdraw.samples.draw.DrawFigureFactory;;0;;;
org.jhotdraw.draw.AttributedFigure;;1;;;
org.jhotdraw.draw.action.RunnableWorker;;0;;;
org.jhotdraw.draw.action.AlignAction;;0;;;
