class name;;Method name;;number of detected pattern
nanoxml.XMLElement;;getAttribute;;1
nanoxml.XMLElement;;getAttribute;;1
nanoxml.XMLElement;;getIntAttribute;;1
nanoxml.XMLElement;;getDoubleAttribute;;1
nanoxml.XMLParseException;;<init>;;1
nanoxml.XMLParseException;;<init>;;1
net.n3.nanoxml.XMLUtil;;skipWhitespace;;1
net.n3.nanoxml.XMLValidationException;;<init>;;3
net.n3.nanoxml.StdXMLBuilder;;addAttribute;;1
net.n3.nanoxml.XMLElement;;<init>;;1
net.n3.nanoxml.XMLElement;;getFirstChildNamed;;1
net.n3.nanoxml.XMLElement;;getChildrenNamed;;1
net.n3.nanoxml.XMLElement;;findAttribute;;1
net.n3.nanoxml.XMLElement;;removeAttribute;;1
net.n3.nanoxml.XMLElement;;getAttributesInNamespace;;1
org.jhotdraw.app.AbstractProject;;putAction;;1
org.jhotdraw.app.DefaultApplicationModel;;putAction;;1
org.jhotdraw.app.action.OpenRecentAction;;fileOpened;;1
org.jhotdraw.app.action.OpenAction;;fileOpened;;1
org.jhotdraw.app.action.SaveAction;;fileSaved;;1
org.jhotdraw.app.action.ExitAction;;fileSaved;;1
org.jhotdraw.app.action.ExitAction;;fileSavedAndReviewNext;;1
org.jhotdraw.app.action.SaveBeforeAction;;fileSaved;;1
org.jhotdraw.app.action.LoadAction;;fileOpened;;1
org.jhotdraw.app.action.LoadRecentAction;;fileOpened;;1
org.jhotdraw.gui.JSheet;;getWindowForComponent;;1
org.jhotdraw.draw.AttributeKey;;set;;1
org.jhotdraw.draw.AttributeKey;;basicSet;;1
org.jhotdraw.draw.AttributeKey;;isAssignable;;1
org.jhotdraw.draw.DefaultDrawingView;;setEmptyDrawingMessage;;1
org.jhotdraw.xml.NanoXMLLiteDOMOutput;;writeObject;;1
org.jhotdraw.draw.action.ColorIcon;;<init>;;1
org.jhotdraw.samples.draw.DrawApplicationModel;;createToolBars;;1
org.jhotdraw.samples.net.NetApplicationModel;;createToolBars;;1
org.jhotdraw.samples.pert.PertApplicationModel;;createToolBars;;1
org.jhotdraw.samples.svg.SVGApplicationModel;;createToolBars;;1
org.jhotdraw.xml.NanoXMLDOMOutput;;writeObject;;1
org.jhotdraw.samples.svg.SVGUtil;;getStyles;;1
org.jhotdraw.xml.JavaxDOMOutput;;writeObject;;1
