class name;;Method name;;method Declaration;;number of detected pattern
Test1;;method0;;protected void method0(java.lang.String, java.lang.String, java.lang.String, int[]);;3
Test1;;method1;;public void method1(java.lang.String, java.lang.String, java.lang.String, java.lang.String[]);;3
Test1;;method2;;public void method2(java.lang.String, java.lang.String, java.lang.String, Test1);;3
Test1;;method3;;public void method3(java.lang.String, java.lang.String, java.lang.String, Test1);;3
Test1;;method4;;public void method4(java.lang.String, java.lang.String, java.lang.String);;3
Test1;;method5;;public void method5(int, java.lang.String, java.lang.String, Test1) throws java.lang.Exception;;3
Test1;;method6;;public void method6(java.lang.String, java.lang.String, java.lang.String, Test1) throws java.lang.Exception;;4
Test1;;method7;;public void method7(java.lang.String, java.lang.String, java.lang.String, Test1) throws java.lang.Exception;;3
Test1;;method8;;public void method8(java.lang.String, java.lang.String, java.lang.String, Test1) throws java.lang.Exception;;3
Test1;;method9;;public void method9(java.lang.String, java.lang.String, java.lang.String) throws java.lang.Exception;;4
Test1;;method10;;public void method10(java.lang.String, java.lang.String, java.lang.String) throws java.lang.Exception;;3
Test1;;methodtest;;public void methodtest(java.lang.String);;1
Test1;;methodtest2;;public void methodtest2(java.lang.String);;2
Test1;;methodtest3;;public void methodtest3(java.lang.String);;3
Test1;;methodtest04;;public void methodtest04(java.lang.Object);;2
Test1;;methodtest004;;public void methodtest004(java.lang.Object, java.lang.Object);;1
Test1;;getRegistry;;public static java.rmi.registry.Registry getRegistry(int, java.lang.String, java.rmi.server.RMIClientSocketFactory) throws java.rmi.RemoteException;;2
Test1;;format;;public final java.lang.StringBuffer format(java.lang.Object, java.lang.StringBuffer, java.text.FieldPosition);;2
Test1;;format2;;public final java.lang.StringBuffer format2(java.lang.Object, java.lang.StringBuffer, java.text.FieldPosition);;4
Test1;;format3;;public final java.lang.StringBuffer format3(java.lang.Object, java.lang.StringBuffer, java.text.FieldPosition);;2
Test1;;format4;;public final java.lang.StringBuffer format4(java.lang.Object, java.lang.StringBuffer, java.text.FieldPosition);;4
Test1;;format5;;public final java.lang.StringBuffer format5(java.lang.Object, java.lang.StringBuffer, java.text.FieldPosition);;4
Test1;;format6;;public final java.lang.StringBuffer format6(java.lang.Object, java.lang.StringBuffer, java.text.FieldPosition);;4
Test1;;format7;;public void format7(java.lang.Object, java.lang.Object, java.lang.StringBuffer, java.text.FieldPosition);;6
Test2TypeRestriction;;format;;public final java.lang.StringBuffer format(java.lang.Object, java.lang.StringBuffer, java.text.FieldPosition);;2
