class name;;Method name;;method Declaration;;number of detected pattern
Date;;equals;;public boolean equals(java.lang.Object);;1
Date;;compareTo;;public volatile int compareTo(java.lang.Object);;1
EnumMap;;<init>;;public void <init>(java.util.Map);;1
EnumMap;;containsKey;;public boolean containsKey(java.lang.Object);;1
EnumMap;;get;;public java.lang.Object get(java.lang.Object);;1
EnumMap;;putAll;;public void putAll(java.util.Map);;1
EnumMap;;put;;public volatile java.lang.Object put(java.lang.Object, java.lang.Object);;2
Test1;;methodtest4;;public void methodtest4(java.lang.Object);;1
Test1;;methodtest04;;public void methodtest04(java.lang.Object);;1
Test1;;methodtest004;;public void methodtest004(java.lang.Object, java.lang.Object);;2
Test1;;format;;public final java.lang.StringBuffer format(java.lang.Object, java.lang.StringBuffer, java.text.FieldPosition);;1
Test1;;format2;;public final java.lang.StringBuffer format2(java.lang.Object, java.lang.StringBuffer, java.text.FieldPosition);;1
Test1;;format3;;public final java.lang.StringBuffer format3(java.lang.Object, java.lang.StringBuffer, java.text.FieldPosition);;1
Test1;;format4;;public final java.lang.StringBuffer format4(java.lang.Object, java.lang.StringBuffer, java.text.FieldPosition);;2
Test1;;format5;;public final java.lang.StringBuffer format5(java.lang.Object, java.lang.StringBuffer, java.text.FieldPosition);;2
Test1;;format6;;public final java.lang.StringBuffer format6(java.lang.Object, java.lang.StringBuffer, java.text.FieldPosition);;2
Test1;;format7;;public void format7(java.lang.Object, java.lang.Object, java.lang.StringBuffer, java.text.FieldPosition);;2
Test2TypeRestriction;;format;;public final java.lang.StringBuffer format(java.lang.Object, java.lang.StringBuffer, java.text.FieldPosition);;1
Test2TypeRestriction;;toEnvironmentBlock;;static java.lang.String toEnvironmentBlock(java.util.Map);;1
Test2TypeRestriction;;containsKey;;public boolean containsKey(java.lang.Object);;1
