class name;;Method name;;method Declaration;;number of detected pattern
java.awt.AWTEvent;;<init>;;public void <init>(java.awt.Event);;1
java.awt.AWTEvent;;copyPrivateDataInto;;void copyPrivateDataInto(java.awt.AWTEvent);;1
java.awt.AlphaComposite;;equals;;public boolean equals(java.lang.Object);;1
java.awt.image.ColorModel;;<init>;;protected void <init>(int, int[], java.awt.color.ColorSpace, boolean, boolean, int, int);;2
java.awt.image.ColorModel;;getUnnormalizedComponents;;public int[] getUnnormalizedComponents(float[], int, int[], int);;1
java.awt.image.ColorModel;;getNormalizedComponents;;public float[] getNormalizedComponents(int[], int, float[], int);;1
java.awt.image.ColorModel;;equals;;public boolean equals(java.lang.Object);;1
java.awt.image.ColorModel;;getGray8TosRGB8LUT;;static byte[] getGray8TosRGB8LUT(java.awt.color.ICC_ColorSpace);;1
java.awt.image.ColorModel;;getLinearGray16ToOtherGray8LUT;;static byte[] getLinearGray16ToOtherGray8LUT(java.awt.color.ICC_ColorSpace);;1
java.awt.image.ColorModel;;getGray16TosRGB8LUT;;static byte[] getGray16TosRGB8LUT(java.awt.color.ICC_ColorSpace);;1
java.awt.image.ColorModel;;getLinearGray16ToOtherGray16LUT;;static short[] getLinearGray16ToOtherGray16LUT(java.awt.color.ICC_ColorSpace);;1
java.awt.RenderingHints;;put;;public java.lang.Object put(java.lang.Object, java.lang.Object);;1
java.awt.RenderingHints;;add;;public void add(java.awt.RenderingHints);;1
java.awt.RenderingHints;;putAll;;public void putAll(java.util.Map);;1
java.awt.RenderingHints;;equals;;public boolean equals(java.lang.Object);;1
java.awt.image.Raster;;createInterleavedRaster;;public static java.awt.image.WritableRaster createInterleavedRaster(int, int, int, int, int, int[], java.awt.Point);;1
java.awt.image.Raster;;createBandedRaster;;public static java.awt.image.WritableRaster createBandedRaster(int, int, int, int, int[], int[], java.awt.Point);;2
java.awt.image.Raster;;createInterleavedRaster;;public static java.awt.image.WritableRaster createInterleavedRaster(java.awt.image.DataBuffer, int, int, int, int, int[], java.awt.Point);;1
java.awt.image.Raster;;createBandedRaster;;public static java.awt.image.WritableRaster createBandedRaster(java.awt.image.DataBuffer, int, int, int, int[], int[], java.awt.Point);;1
java.awt.image.Raster;;createPackedRaster;;public static java.awt.image.WritableRaster createPackedRaster(java.awt.image.DataBuffer, int, int, int, int[], java.awt.Point);;1
java.awt.image.Raster;;createPackedRaster;;public static java.awt.image.WritableRaster createPackedRaster(java.awt.image.DataBuffer, int, int, int, java.awt.Point);;1
java.awt.image.Raster;;createWritableRaster;;public static java.awt.image.WritableRaster createWritableRaster(java.awt.image.SampleModel, java.awt.Point);;1
java.awt.image.Raster;;<init>;;protected void <init>(java.awt.image.SampleModel, java.awt.Point);;2
java.awt.image.Raster;;<init>;;protected void <init>(java.awt.image.SampleModel, java.awt.image.DataBuffer, java.awt.Point);;2
java.awt.image.Raster;;createCompatibleWritableRaster;;public java.awt.image.WritableRaster createCompatibleWritableRaster(java.awt.Rectangle);;1
