class name;;Method name;;number of detected pattern
java.awt.AWTEvent;;setSource;;1
java.awt.image.ColorModel;;getUnnormalizedComponents;;1
java.awt.image.ColorModel;;getNormalizedComponents;;1
java.awt.image.Raster;;createInterleavedRaster;;1
java.awt.image.Raster;;createBandedRaster;;1
java.awt.image.Raster;;createPackedRaster;;1
java.awt.image.Raster;;createPackedRaster;;1
java.awt.image.Raster;;createRaster;;1
java.awt.image.Raster;;createWritableRaster;;1
java.awt.image.Raster;;createWritableRaster;;1
java.awt.image.Raster;;createChild;;1
java.awt.image.WritableRaster;;createWritableChild;;1
java.awt.image.SampleModel;;getPixel;;1
java.awt.image.SampleModel;;getDataElements;;1
java.awt.image.SampleModel;;getPixel;;1
java.awt.image.SampleModel;;getPixel;;1
java.awt.image.SampleModel;;getPixels;;1
java.awt.image.SampleModel;;getPixels;;1
java.awt.image.SampleModel;;getPixels;;1
java.awt.image.SampleModel;;getSamples;;1
java.awt.image.SampleModel;;getSamples;;1
java.awt.image.SampleModel;;getSamples;;1
java.awt.Button;;addActionListener;;1
java.awt.Button;;removeActionListener;;1
java.awt.Component;;getBounds;;1
java.awt.Component;;getSize;;1
java.awt.Component;;getLocation;;1
java.awt.Component;;setPreferredSize;;1
java.awt.Component;;setMinimumSize;;1
java.awt.Component;;setMaximumSize;;1
java.awt.Component;;addComponentListener;;1
java.awt.Component;;removeComponentListener;;1
java.awt.Component;;addFocusListener;;1
java.awt.Component;;removeFocusListener;;1
java.awt.Component;;addHierarchyListener;;1
java.awt.Component;;removeHierarchyListener;;1
java.awt.Component;;addHierarchyBoundsListener;;1
java.awt.Component;;removeHierarchyBoundsListener;;1
java.awt.Component;;addKeyListener;;1
java.awt.Component;;removeKeyListener;;1
java.awt.Component;;addMouseListener;;1
java.awt.Component;;removeMouseListener;;1
java.awt.Component;;addMouseMotionListener;;1
java.awt.Component;;removeMouseMotionListener;;1
java.awt.Component;;addMouseWheelListener;;1
java.awt.Component;;removeMouseWheelListener;;1
java.awt.Component;;addInputMethodListener;;1
java.awt.Component;;removeInputMethodListener;;1
java.awt.Component;;setFocusTraversalKeys_NoIDCheck;;1
java.awt.Component;;setRequestFocusController;;1
java.awt.Component;;addPropertyChangeListener;;1
java.awt.Component;;addPropertyChangeListener;;1
java.awt.Component;;isInstanceOf;;2
java.awt.Dialog;;setModalityType;;1
java.awt.MenuItem;;addActionListener;;1
java.awt.MenuItem;;removeActionListener;;1
java.awt.List;;addItem;;1
java.awt.List;;addItemListener;;1
java.awt.List;;removeItemListener;;1
java.awt.List;;addActionListener;;1
java.awt.List;;removeActionListener;;1
java.awt.Frame;;setTitle;;1
java.awt.Frame;;remove;;1
java.awt.Toolkit;;removeAWTEventListener;;1
java.awt.Choice;;addItemListener;;1
java.awt.Choice;;removeItemListener;;1
java.awt.Container;;isRemoveNotifyNeeded;;1
java.awt.Container;;reparentChild;;1
java.awt.Container;;getComponentZOrder;;1
java.awt.Container;;addContainerListener;;1
java.awt.Container;;removeContainerListener;;1
java.awt.Font;;<init>;;1
java.awt.Font;;<init>;;1
java.awt.Font;;deriveFont;;1
java.awt.Font;;getItalicAngle;;1
java.awt.Color;;RGBtoHSB;;1
java.awt.Color;;getRGBComponents;;1
java.awt.Color;;getRGBColorComponents;;1
java.awt.Color;;getComponents;;1
java.awt.Color;;getColorComponents;;1
java.awt.Color;;getComponents;;1
java.awt.Color;;getColorComponents;;1
java.awt.Cursor;;getSystemCustomCursor;;1
java.awt.dnd.DropTarget;;<init>;;1
java.awt.dnd.DropTarget;;addDropTargetListener;;1
java.awt.dnd.DropTarget;;setFlavorMap;;1
java.awt.Window;;initGC;;1
java.awt.Window;;<init>;;1
java.awt.Window;;<init>;;1
java.awt.Window;;setIconImages;;1
java.awt.Window;;setCursor;;1
java.awt.Window;;setModalExclusionType;;1
java.awt.Window;;addWindowListener;;1
java.awt.Window;;addWindowStateListener;;1
java.awt.Window;;addWindowFocusListener;;1
java.awt.Window;;removeWindowListener;;1
java.awt.Window;;removeWindowStateListener;;1
java.awt.Window;;removeWindowFocusListener;;1
java.awt.Window;;setGraphicsConfiguration;;1
java.awt.Window;;setShape;;1
java.awt.Window;;setBackground;;1
java.awt.GraphicsDevice;;setFullScreenWindow;;1
java.awt.image.BufferedImage;;getRGB;;1
java.awt.image.BufferedImage;;copyData;;1
java.awt.TextField;;<init>;;1
java.awt.TextField;;addActionListener;;1
java.awt.TextField;;removeActionListener;;1
java.awt.Checkbox;;addItemListener;;1
java.awt.Checkbox;;removeItemListener;;1
java.awt.Scrollbar;;addAdjustmentListener;;1
java.awt.Scrollbar;;removeAdjustmentListener;;1
java.awt.FileDialog;;setDirectory;;1
java.awt.FileDialog;;setFile;;1
java.awt.CheckboxMenuItem;;addItemListener;;1
java.awt.CheckboxMenuItem;;removeItemListener;;1
java.awt.datatransfer.Clipboard;;addFlavorListener;;1
java.awt.TextComponent;;<init>;;1
java.awt.TextComponent;;setText;;1
java.awt.TextComponent;;addTextListener;;1
java.awt.TextComponent;;removeTextListener;;1
java.awt.datatransfer.UnsupportedFlavorException;;<init>;;1
java.awt.AWTEventMulticaster;;addInternal;;2
java.awt.AWTEventMulticaster;;save;;1
java.awt.geom.AffineTransform;;transform;;1
java.awt.geom.AffineTransform;;inverseTransform;;1
