class name;;number of detected pattern
java.awt.MouseInfo;;0
java.awt.im.InputSubset;;0
java.awt.image.ColorModel;;37
java.awt.image.ComponentSampleModel;;11
java.awt.image.MemoryImageSource;;21
java.awt.font.TransformAttribute;;1
java.awt.GraphicsCallback;;0
java.awt.DisplayMode;;3
java.awt.geom.AffineTransform;;4
java.awt.geom.LineIterator;;2
java.awt.image.PackedColorModel;;0
java.awt.SplashScreen;;0
java.awt.font.LineMetrics;;0
java.awt.DefaultFocusTraversalPolicy;;0
java.awt.event.InputMethodEvent;;11
java.awt.Dialog;;33
java.awt.datatransfer.StringSelection;;3
java.awt.Rectangle;;4
java.awt.geom.QuadCurve2D;;9
java.awt.font.StyledParagraph;;3
java.awt.KeyboardFocusManager;;50
java.awt.print.PrinterIOException;;1
java.awt.print.PrinterJob;;4
java.awt.image.RescaleOp;;6
java.awt.datatransfer.Clipboard;;6
java.awt.ModalEventFilter;;1
java.awt.image.BandCombineOp;;2
java.awt.geom.Area;;4
java.awt.image.ComponentColorModel;;34
java.awt.event.MouseEvent;;2
java.awt.FileDialog;;15
java.awt.List;;16
java.awt.print.PrinterException;;1
java.awt.event.MouseAdapter;;8
java.awt.LinearGradientPaintContext;;10
java.awt.AWTPermission;;3
java.awt.dnd.DropTargetAdapter;;4
java.awt.WaitDispatchSupport;;5
java.awt.image.IndexColorModel;;23
java.awt.image.RasterFormatException;;1
java.awt.Window;;39
java.awt.FontMetrics;;20
java.awt.Color;;17
java.awt.image.PixelInterleavedSampleModel;;0
java.awt.GraphicsConfigTemplate;;0
java.awt.SystemTray;;6
java.awt.print.Book;;4
java.awt.Cursor;;3
java.awt.HeadlessException;;1
java.awt.event.ItemEvent;;2
java.awt.datatransfer.UnsupportedFlavorException;;1
java.awt.image.BufferStrategy;;0
java.awt.dnd.DropTargetDragEvent;;2
java.awt.AlphaComposite;;3
java.awt.event.FocusAdapter;;2
java.awt.Desktop;;3
java.awt.event.InvocationEvent;;8
java.awt.image.DataBuffer;;7
java.awt.DefaultKeyboardFocusManager;;7
java.awt.ContainerOrderFocusTraversalPolicy;;5
java.awt.font.TextLayout;;25
java.awt.Toolkit;;28
java.awt.event.TextEvent;;1
java.awt.event.FocusEvent;;4
java.awt.color.CMMException;;1
java.awt.color.ColorSpace;;1
java.awt.event.WindowEvent;;6
java.awt.Label;;3
java.awt.Insets;;0
java.awt.SentEvent;;3
java.awt.dnd.MouseDragGestureRecognizer;;15
java.awt.geom.QuadIterator;;2
java.awt.ScrollPane;;4
java.awt.MenuComponent;;7
java.awt.TexturePaint;;6
java.awt.GridBagLayoutInfo;;0
java.awt.image.DataBufferDouble;;3
java.awt.GraphicsConfiguration;;2
java.awt.AWTKeyStroke;;0
java.awt.ComponentOrientation;;0
java.awt.GridLayout;;3
java.awt.image.DataBufferByte;;3
java.awt.font.ImageGraphicAttribute;;4
java.awt.geom.RoundRectIterator;;1
java.awt.geom.RectIterator;;1
java.awt.image.AffineTransformOp;;4
java.awt.color.ICC_Profile;;7
java.awt.Scrollbar;;6
java.awt.image.DataBufferFloat;;3
java.awt.RadialGradientPaint;;33
java.awt.event.ComponentAdapter;;4
java.awt.Frame;;11
java.awt.Image;;1
java.awt.Polygon;;4
java.awt.BasicStroke;;2
java.awt.TextComponent;;9
java.awt.font.GlyphJustificationInfo;;0
java.awt.event.MouseMotionAdapter;;2
java.awt.Checkbox;;14
java.awt.event.ContainerEvent;;2
java.awt.dnd.DragGestureEvent;;12
java.awt.dnd.DropTarget;;20
java.awt.ScrollPaneAdjustable;;4
java.awt.font.FontRenderContext;;7
java.awt.GridBagLayout;;22
java.awt.image.AreaAveragingScaleFilter;;4
java.awt.dnd.DragSourceDragEvent;;2
java.awt.dnd.SerializationTester;;1
java.awt.image.ColorConvertOp;;11
java.awt.font.CharArrayIterator;;4
java.awt.image.RGBImageFilter;;4
java.awt.SystemColor;;0
java.awt.FontFormatException;;1
java.awt.TextArea;;9
java.awt.event.HierarchyEvent;;6
java.awt.geom.Ellipse2D;;1
java.awt.image.SampleModel;;40
java.awt.image.Raster;;40
java.awt.font.GlyphMetrics;;2
java.awt.font.GlyphVector;;3
java.awt.GraphicsDevice;;2
java.awt.GridBagConstraints;;1
java.awt.im.InputMethodHighlight;;1
java.awt.color.ICC_ColorSpace;;0
java.awt.image.BufferedImage;;9
java.awt.PointerInfo;;2
java.awt.event.InputEvent;;1
java.awt.geom.CubicIterator;;2
java.awt.EventQueue;;8
java.awt.color.ProfileDataException;;1
java.awt.event.AWTEventListenerProxy;;2
java.awt.event.ContainerAdapter;;2
java.awt.Choice;;11
java.awt.geom.GeneralPath;;3
java.awt.image.WritableRaster;;19
java.awt.image.renderable.RenderableImageOp;;4
java.awt.font.TextMeasurer;;2
java.awt.Graphics2D;;0
java.awt.event.HierarchyBoundsAdapter;;2
java.awt.MediaTracker;;6
java.awt.event.PaintEvent;;3
java.awt.geom.Line2D;;4
java.awt.font.LineBreakMeasurer;;4
java.awt.datatransfer.MimeTypeParameterList;;2
java.awt.TrayIcon;;16
java.awt.event.ComponentEvent;;1
java.awt.EventDispatchThread;;16
java.awt.geom.NoninvertibleTransformException;;1
java.awt.FocusTraversalPolicy;;0
java.awt.dnd.DragGestureRecognizer;;12
java.awt.AWTException;;1
java.awt.image.LookupTable;;0
java.awt.MenuShortcut;;3
java.awt.event.AdjustmentEvent;;2
java.awt.font.LayoutPath;;0
java.awt.MenuItem;;12
java.awt.CheckboxGroup;;2
java.awt.ImageCapabilities;;0
java.awt.dnd.DragSourceEvent;;2
java.awt.dnd.DnDEventMulticaster;;24
java.awt.Font;;32
java.awt.LinearGradientPaint;;26
java.awt.CardLayout;;7
java.awt.GraphicsEnvironment;;0
java.awt.CheckboxMenuItem;;8
java.awt.dnd.InvalidDnDOperationException;;1
java.awt.dnd.DragSource;;45
java.awt.PopupMenu;;2
java.awt.image.BufferedImageFilter;;1
java.awt.Canvas;;3
java.awt.Graphics;;2
java.awt.geom.EllipseIterator;;1
java.awt.image.renderable.RenderContext;;13
java.awt.font.TextJustifier;;0
