class name;;number of detected pattern
java.awt.MouseInfo;;1
java.awt.im.InputSubset;;0
java.awt.image.ColorModel;;9
java.awt.image.ComponentSampleModel;;22
java.awt.image.MemoryImageSource;;3
java.awt.font.TransformAttribute;;2
java.awt.GraphicsCallback;;0
java.awt.DisplayMode;;0
java.awt.geom.AffineTransform;;27
java.awt.geom.LineIterator;;2
java.awt.image.PackedColorModel;;7
java.awt.SplashScreen;;1
java.awt.font.LineMetrics;;0
java.awt.DefaultFocusTraversalPolicy;;1
java.awt.event.InputMethodEvent;;1
java.awt.Dialog;;6
java.awt.datatransfer.StringSelection;;2
java.awt.Rectangle;;16
java.awt.geom.QuadCurve2D;;17
java.awt.font.StyledParagraph;;12
java.awt.KeyboardFocusManager;;14
java.awt.print.PrinterIOException;;0
java.awt.print.PrinterJob;;2
java.awt.image.RescaleOp;;17
java.awt.datatransfer.Clipboard;;2
java.awt.ModalEventFilter;;3
java.awt.image.BandCombineOp;;6
java.awt.geom.Area;;10
java.awt.image.ComponentColorModel;;10
java.awt.event.MouseEvent;;2
java.awt.FileDialog;;3
java.awt.List;;3
java.awt.print.PrinterException;;0
java.awt.event.MouseAdapter;;0
java.awt.LinearGradientPaintContext;;3
java.awt.AWTPermission;;0
java.awt.dnd.DropTargetAdapter;;0
java.awt.WaitDispatchSupport;;10
java.awt.image.IndexColorModel;;14
java.awt.image.RasterFormatException;;0
java.awt.Window;;35
java.awt.FontMetrics;;2
java.awt.Color;;5
java.awt.image.PixelInterleavedSampleModel;;2
java.awt.GraphicsConfigTemplate;;0
java.awt.SystemTray;;2
java.awt.print.Book;;2
java.awt.Cursor;;2
java.awt.HeadlessException;;0
java.awt.event.ItemEvent;;0
java.awt.datatransfer.UnsupportedFlavorException;;0
java.awt.image.BufferStrategy;;0
java.awt.dnd.DropTargetDragEvent;;1
java.awt.AlphaComposite;;1
java.awt.event.FocusAdapter;;0
java.awt.Desktop;;5
java.awt.event.InvocationEvent;;0
java.awt.image.DataBuffer;;1
java.awt.DefaultKeyboardFocusManager;;17
java.awt.ContainerOrderFocusTraversalPolicy;;8
java.awt.font.TextLayout;;35
java.awt.Toolkit;;3
java.awt.event.TextEvent;;0
java.awt.event.FocusEvent;;0
java.awt.color.CMMException;;0
java.awt.color.ColorSpace;;0
java.awt.event.WindowEvent;;0
java.awt.Label;;1
java.awt.Insets;;1
java.awt.SentEvent;;0
java.awt.dnd.MouseDragGestureRecognizer;;0
java.awt.geom.QuadIterator;;2
java.awt.ScrollPane;;5
java.awt.MenuComponent;;2
java.awt.TexturePaint;;1
java.awt.GridBagLayoutInfo;;0
java.awt.image.DataBufferDouble;;2
java.awt.GraphicsConfiguration;;0
java.awt.AWTKeyStroke;;5
java.awt.ComponentOrientation;;2
java.awt.GridLayout;;3
java.awt.image.DataBufferByte;;2
java.awt.font.ImageGraphicAttribute;;2
java.awt.geom.RoundRectIterator;;3
java.awt.geom.RectIterator;;3
java.awt.image.AffineTransformOp;;11
java.awt.color.ICC_Profile;;10
java.awt.Scrollbar;;3
java.awt.image.DataBufferFloat;;2
java.awt.dnd.DnDConstants;;0
java.awt.RadialGradientPaint;;4
java.awt.event.ComponentAdapter;;0
java.awt.Frame;;5
java.awt.Image;;0
java.awt.Polygon;;6
java.awt.BasicStroke;;1
java.awt.TextComponent;;4
java.awt.font.GlyphJustificationInfo;;0
java.awt.event.MouseMotionAdapter;;0
java.awt.Checkbox;;3
java.awt.event.ContainerEvent;;0
java.awt.dnd.DragGestureEvent;;4
java.awt.dnd.DropTarget;;7
java.awt.ScrollPaneAdjustable;;1
java.awt.font.FontRenderContext;;0
java.awt.GridBagLayout;;19
java.awt.image.AreaAveragingScaleFilter;;1
java.awt.dnd.DragSourceDragEvent;;0
java.awt.dnd.SerializationTester;;0
java.awt.image.ColorConvertOp;;28
java.awt.font.CharArrayIterator;;0
java.awt.image.RGBImageFilter;;6
java.awt.SystemColor;;0
java.awt.FontFormatException;;0
java.awt.TextArea;;1
java.awt.event.HierarchyEvent;;0
java.awt.geom.Ellipse2D;;1
java.awt.image.SampleModel;;9
java.awt.image.Raster;;13
java.awt.font.GlyphMetrics;;0
java.awt.font.GlyphVector;;0
java.awt.GraphicsDevice;;2
java.awt.GridBagConstraints;;0
java.awt.im.InputMethodHighlight;;0
java.awt.color.ICC_ColorSpace;;5
java.awt.image.BufferedImage;;7
java.awt.PointerInfo;;0
java.awt.event.InputEvent;;0
java.awt.geom.CubicIterator;;2
java.awt.EventQueue;;25
java.awt.color.ProfileDataException;;0
java.awt.event.AWTEventListenerProxy;;0
java.awt.event.ContainerAdapter;;0
java.awt.Choice;;4
java.awt.geom.GeneralPath;;0
java.awt.image.WritableRaster;;6
java.awt.image.renderable.RenderableImageOp;;2
java.awt.font.TextMeasurer;;3
java.awt.Graphics2D;;0
java.awt.event.HierarchyBoundsAdapter;;0
java.awt.MediaTracker;;0
java.awt.event.PaintEvent;;0
java.awt.geom.Line2D;;10
java.awt.font.LineBreakMeasurer;;3
java.awt.datatransfer.MimeTypeParameterList;;8
java.awt.TrayIcon;;8
java.awt.event.ComponentEvent;;0
java.awt.EventDispatchThread;;1
java.awt.geom.NoninvertibleTransformException;;0
java.awt.FocusTraversalPolicy;;1
java.awt.dnd.DragGestureRecognizer;;3
java.awt.AWTException;;0
java.awt.image.LookupTable;;0
java.awt.MenuShortcut;;0
java.awt.event.AdjustmentEvent;;0
java.awt.font.LayoutPath;;0
java.awt.MenuItem;;8
java.awt.CheckboxGroup;;0
java.awt.ImageCapabilities;;0
java.awt.dnd.DragSourceEvent;;0
java.awt.dnd.DnDEventMulticaster;;0
java.awt.Font;;28
java.awt.LinearGradientPaint;;0
java.awt.CardLayout;;15
java.awt.GraphicsEnvironment;;1
java.awt.CheckboxMenuItem;;3
java.awt.dnd.InvalidDnDOperationException;;0
java.awt.dnd.DragSource;;2
java.awt.PopupMenu;;0
java.awt.image.BufferedImageFilter;;5
java.awt.Canvas;;2
java.awt.Graphics;;3
java.awt.geom.EllipseIterator;;3
java.awt.image.renderable.RenderContext;;2
java.awt.font.TextJustifier;;1
java.awt.dnd.DropTargetDropEvent;;1
java.awt.image.ImagingOpException;;0
java.awt.JobAttributes;;8
java.awt.ColorPaintContext;;0
java.awt.font.TextAttribute;;0
java.awt.geom.Dimension2D;;1
java.awt.image.VolatileImage;;0
java.awt.AWTError;;0
java.awt.print.PageFormat;;1
java.awt.print.Paper;;0
java.awt.image.FilteredImageSource;;0
java.awt.AWTEventMulticaster;;7
java.awt.dnd.DragSourceDropEvent;;0
java.awt.IllegalComponentStateException;;0
java.awt.event.MouseWheelEvent;;0
java.awt.font.ShapeGraphicAttribute;;1
java.awt.geom.Path2D;;12
java.awt.image.DataBufferUShort;;5
java.awt.image.SinglePixelPackedSampleModel;;15
java.awt.geom.RoundRectangle2D;;2
java.awt.image.PixelGrabber;;6
java.awt.image.BandedSampleModel;;18
java.awt.image.ShortLookupTable;;3
java.awt.print.PrinterAbortException;;0
java.awt.image.CropImageFilter;;1
java.awt.image.ReplicateScaleFilter;;3
java.awt.image.ConvolveOp;;9
java.awt.PageAttributes;;7
java.awt.GradientPaint;;0
java.awt.RenderingHints;;4
java.awt.datatransfer.MimeType;;8
java.awt.Button;;3
java.awt.geom.FlatteningPathIterator;;2
java.awt.event.KeyAdapter;;0
java.awt.Point;;3
java.awt.datatransfer.MimeTypeParseException;;0
java.awt.Robot;;2
java.awt.RadialGradientPaintContext;;2
java.awt.dnd.DragSourceContext;;9
java.awt.SequencedEvent;;2
java.awt.Component;;37
java.awt.Event;;1
java.awt.datatransfer.SystemFlavorMap;;5
java.awt.image.Kernel;;0
java.awt.geom.Arc2D;;12
java.awt.MultipleGradientPaint;;5
java.awt.image.ImageFilter;;2
java.awt.Dimension;;3
java.awt.event.KeyEvent;;4
java.awt.image.renderable.RenderableImageProducer;;0
java.awt.image.renderable.ParameterBlock;;0
java.awt.event.ActionEvent;;0
java.awt.datatransfer.DataFlavor;;15
java.awt.font.GraphicAttribute;;0
java.awt.image.DataBufferShort;;2
java.awt.dnd.DropTargetEvent;;1
java.awt.Panel;;0
java.awt.PrintJob;;0
java.awt.image.ByteLookupTable;;3
java.awt.geom.Rectangle2D;;12
java.awt.GradientPaintContext;;10
java.awt.image.DirectColorModel;;5
java.awt.image.MultiPixelPackedSampleModel;;7
java.awt.FlowLayout;;7
java.awt.geom.Point2D;;4
java.awt.BorderLayout;;7
java.awt.MenuBar;;5
java.awt.geom.CubicCurve2D;;21
java.awt.MultipleGradientPaintContext;;11
java.awt.font.NumericShaper;;9
java.awt.BufferCapabilities;;0
java.awt.Menu;;3
java.awt.TextField;;3
java.awt.font.TextHitInfo;;0
java.awt.image.DataBufferInt;;2
java.awt.AttributeValue;;0
java.awt.dnd.DragSourceAdapter;;0
java.awt.geom.IllegalPathStateException;;0
java.awt.event.NativeLibLoader;;0
java.awt.event.WindowAdapter;;0
java.awt.color.ICC_ProfileRGB;;0
java.awt.TexturePaintContext;;9
java.awt.datatransfer.FlavorEvent;;0
java.awt.font.TextLine;;19
java.awt.dnd.DropTargetContext;;0
java.awt.geom.RectangularShape;;10
java.awt.AWTEvent;;6
java.awt.geom.ArcIterator;;3
java.awt.im.InputContext;;0
java.awt.Container;;25
java.awt.image.LookupOp;;15
java.awt.color.ICC_ProfileGray;;0
