class name;;Method name;;number of detected pattern
java.awt.AWTEvent;;<init>;;1
java.awt.AWTEvent;;copyPrivateDataInto;;1
java.awt.AlphaComposite;;equals;;1
java.awt.image.ColorModel;;<init>;;2
java.awt.image.ColorModel;;getUnnormalizedComponents;;1
java.awt.image.ColorModel;;getNormalizedComponents;;1
java.awt.image.ColorModel;;equals;;1
java.awt.image.ColorModel;;getGray8TosRGB8LUT;;1
java.awt.image.ColorModel;;getLinearGray16ToOtherGray8LUT;;1
java.awt.image.ColorModel;;getGray16TosRGB8LUT;;1
java.awt.image.ColorModel;;getLinearGray16ToOtherGray16LUT;;1
java.awt.RenderingHints;;put;;1
java.awt.RenderingHints;;add;;1
java.awt.RenderingHints;;putAll;;1
java.awt.RenderingHints;;equals;;1
java.awt.image.Raster;;createInterleavedRaster;;1
java.awt.image.Raster;;createBandedRaster;;2
java.awt.image.Raster;;createInterleavedRaster;;1
java.awt.image.Raster;;createBandedRaster;;1
java.awt.image.Raster;;createPackedRaster;;1
java.awt.image.Raster;;createPackedRaster;;1
java.awt.image.Raster;;createWritableRaster;;1
java.awt.image.Raster;;<init>;;2
java.awt.image.Raster;;<init>;;2
java.awt.image.Raster;;createCompatibleWritableRaster;;1
java.awt.image.WritableRaster;;<init>;;2
java.awt.image.WritableRaster;;<init>;;2
java.awt.image.WritableRaster;;setDataElements;;1
java.awt.image.WritableRaster;;setRect;;1
java.awt.image.SampleModel;;setPixel;;1
java.awt.image.SampleModel;;setPixel;;1
java.awt.image.SampleModel;;setPixel;;1
java.awt.image.SampleModel;;setPixels;;1
java.awt.image.SampleModel;;setPixels;;1
java.awt.image.SampleModel;;setPixels;;1
java.awt.image.SampleModel;;setSamples;;1
java.awt.image.SampleModel;;setSamples;;1
java.awt.image.SampleModel;;setSamples;;1
java.awt.color.ICC_ColorSpace;;<init>;;1
java.awt.color.ICC_ColorSpace;;toRGB;;1
java.awt.color.ICC_ColorSpace;;fromRGB;;1
java.awt.color.ICC_ColorSpace;;toCIEXYZ;;1
java.awt.color.ICC_ColorSpace;;fromCIEXYZ;;1
java.awt.Event;;getOldEventKey;;1
java.awt.Button;;eventEnabled;;1
java.awt.Point;;<init>;;1
java.awt.Point;;setLocation;;1
java.awt.Point;;equals;;1
java.awt.MenuComponent;;dispatchEventImpl;;1
java.awt.Component;;pointRelativeToComponent;;1
java.awt.Component;;findUnderMouseInWindow;;1
java.awt.Component;;setLocation;;1
java.awt.Component;;resize;;1
java.awt.Component;;setBounds;;1
java.awt.Component;;paintAll;;1
java.awt.Component;;printAll;;1
java.awt.Component;;createBufferStrategy;;1
java.awt.Component;;contains;;1
java.awt.Component;;getComponentAt;;1
java.awt.Component;;dispatchEventImpl;;1
java.awt.Component;;dispatchMouseWheelToAncestor;;1
java.awt.Component;;eventEnabled;;1
java.awt.Component;;postEvent;;1
java.awt.Component;;processEvent;;1
java.awt.Component;;processComponentEvent;;1
java.awt.Component;;processFocusEvent;;1
java.awt.Component;;processKeyEvent;;1
java.awt.Component;;processMouseEvent;;1
java.awt.Component;;processMouseMotionEvent;;1
java.awt.Component;;processMouseWheelEvent;;1
java.awt.Component;;processInputMethodEvent;;1
java.awt.Component;;processHierarchyEvent;;1
java.awt.Component;;processHierarchyBoundsEvent;;1
java.awt.Component;;handleEvent;;1
java.awt.Component;;add;;1
java.awt.Component;;remove;;1
java.awt.Component;;list;;1
java.awt.Component;;list;;1
java.awt.Component;;applyComponentOrientation;;1
java.awt.Component;;applyCompoundShape;;1
java.awt.Dialog;;shouldBlock;;1
java.awt.Dialog;;blockWindow;;1
java.awt.Dialog;;blockWindows;;1
java.awt.Dialog;;unblockWindow;;1
java.awt.Dialog;;checkShouldBeBlocked;;1
java.awt.MenuItem;;deleteShortcut;;1
java.awt.MenuItem;;handleShortcut;;1
java.awt.MenuItem;;getShortcutMenuItem;;1
java.awt.MenuItem;;eventEnabled;;1
java.awt.GraphicsEnvironment;;registerFont;;1
java.awt.event.MouseEvent;;<init>;;1
java.awt.List;;eventEnabled;;1
java.awt.Frame;;postProcessKeyEvent;;1
java.awt.Toolkit;;getNativeContainer;;1
java.awt.Toolkit;;getDesktopProperty;;1
java.awt.Choice;;eventEnabled;;1
java.awt.Container;;setComponentZOrder;;1
java.awt.Container;;addImpl;;1
java.awt.Container;;remove;;1
java.awt.Container;;update;;1
java.awt.Container;;eventEnabled;;1
java.awt.Container;;processContainerEvent;;1
java.awt.Container;;dispatchEventImpl;;1
java.awt.Container;;deliverEvent;;1
java.awt.Container;;getComponentAt;;1
java.awt.Container;;findComponentAt;;1
java.awt.Container;;getAccessibleAt;;1
java.awt.Container;;increaseComponentCount;;1
java.awt.Container;;decreaseComponentCount;;1
java.awt.Container;;recursiveSubtractAndApplyShape;;1
java.awt.geom.Point2D;;setLocation;;1
java.awt.geom.Point2D;;distanceSq;;1
java.awt.geom.Point2D;;distance;;1
java.awt.geom.Point2D;;equals;;1
java.awt.Font;;<init>;;1
java.awt.Font;;getFont;;1
java.awt.Font;;createFont;;1
java.awt.Font;;createFont;;1
java.awt.Font;;getFamily;;1
java.awt.Font;;getFontName;;1
java.awt.Font;;decode;;1
java.awt.Font;;canDisplayUpTo;;1
java.awt.Font;;canDisplayUpTo;;1
java.awt.Font;;canDisplayUpTo;;1
java.awt.Font;;getLineMetrics;;1
java.awt.Font;;getStringBounds;;1
java.awt.Font;;getStringBounds;;1
java.awt.Font;;getStringBounds;;1
java.awt.Color;;<init>;;2
java.awt.Color;;equals;;1
java.awt.Color;;getComponents;;1
java.awt.Color;;getColorComponents;;1
java.awt.dnd.DropTarget;;dragEnter;;1
java.awt.dnd.DropTarget;;dragOver;;1
java.awt.dnd.DropTarget;;dropActionChanged;;1
java.awt.dnd.DropTarget;;drop;;1
java.awt.dnd.DropTarget;;addNotify;;1
java.awt.Dimension;;<init>;;1
java.awt.Dimension;;setSize;;1
java.awt.Dimension;;equals;;1
java.awt.ComponentOrientation;;getOrientation;;1
java.awt.ComponentOrientation;;getOrientation;;1
java.awt.Rectangle;;<init>;;1
java.awt.Rectangle;;<init>;;2
java.awt.Rectangle;;<init>;;1
java.awt.Rectangle;;<init>;;1
java.awt.Rectangle;;setBounds;;1
java.awt.Rectangle;;setLocation;;1
java.awt.Rectangle;;setSize;;1
java.awt.Rectangle;;contains;;1
java.awt.Rectangle;;contains;;1
java.awt.Rectangle;;intersects;;1
java.awt.Rectangle;;intersection;;1
java.awt.Rectangle;;union;;1
java.awt.Rectangle;;add;;1
java.awt.Rectangle;;add;;1
java.awt.Rectangle;;equals;;1
java.awt.Graphics;;drawPolygon;;1
java.awt.Graphics;;fillPolygon;;1
java.awt.Graphics;;getClipBounds;;1
java.awt.FontMetrics;;stringWidth;;1
java.awt.Insets;;equals;;1
java.awt.Window;;setMinimumSize;;1
java.awt.Window;;updateChildFocusableWindowState;;1
java.awt.Window;;eventEnabled;;1
java.awt.Window;;processEvent;;1
java.awt.Window;;processWindowEvent;;1
java.awt.Window;;processWindowFocusEvent;;1
java.awt.Window;;processWindowStateEvent;;1
java.awt.Window;;preProcessKeyEvent;;1
java.awt.Window;;dispatchEventImpl;;1
java.awt.Window;;postEvent;;1
java.awt.Window;;connectOwnedWindow;;1
java.awt.Window;;setType;;1
java.awt.Window;;setBounds;;1
java.awt.Window;;paint;;1
java.awt.ModalEventFilter;;acceptEvent;;1
java.awt.ModalEventFilter;;compareTo;;1
java.awt.ModalEventFilter;;createFilterForDialog;;1
java.awt.GraphicsDevice;;getBestConfiguration;;1
java.awt.GraphicsDevice;;isWindowTranslucencySupported;;1
java.awt.image.BufferedImage;;<init>;;1
java.awt.image.BufferedImage;;<init>;;2
java.awt.image.BufferedImage;;setRGB;;1
java.awt.image.BufferedImage;;getProperty;;1
java.awt.image.BufferedImage;;getData;;1
java.awt.image.BufferedImage;;setData;;1
java.awt.MenuBar;;setHelpMenu;;1
java.awt.MenuBar;;add;;1
java.awt.MenuBar;;handleShortcut;;1
java.awt.Desktop;;edit;;1
java.awt.Desktop;;browse;;1
java.awt.Desktop;;mail;;1
java.awt.TextField;;eventEnabled;;1
java.awt.Checkbox;;eventEnabled;;1
java.awt.Scrollbar;;eventEnabled;;1
java.awt.ScrollPane;;setScrollPosition;;1
java.awt.ScrollPane;;printComponents;;1
java.awt.ScrollPane;;processMouseWheelEvent;;1
java.awt.Canvas;;paint;;1
java.awt.Canvas;;update;;1
java.awt.Menu;;add;;1
java.awt.CheckboxMenuItem;;eventEnabled;;1
java.awt.JobAttributes;;set;;1
java.awt.JobAttributes;;setDefaultSelection;;1
java.awt.JobAttributes;;setDestination;;1
java.awt.JobAttributes;;setDialog;;1
java.awt.JobAttributes;;setMultipleDocumentHandling;;1
java.awt.JobAttributes;;setPageRanges;;1
java.awt.JobAttributes;;setSides;;1
java.awt.JobAttributes;;equals;;1
java.awt.PageAttributes;;set;;1
java.awt.PageAttributes;;setColor;;1
java.awt.PageAttributes;;setMedia;;1
java.awt.PageAttributes;;setOrientationRequested;;1
java.awt.PageAttributes;;setOrigin;;1
java.awt.PageAttributes;;setPrintQuality;;1
java.awt.PageAttributes;;equals;;1
java.awt.datatransfer.Clipboard;;isDataFlavorAvailable;;1
java.awt.datatransfer.Clipboard;;getData;;1
java.awt.EventQueue;;dispatchEvent;;1
java.awt.EventQueue;;push;;1
java.awt.dnd.DragGestureEvent;;<init>;;2
java.awt.dnd.DragGestureRecognizer;;<init>;;1
java.awt.FocusTraversalPolicy;;getInitialComponent;;1
java.awt.geom.Dimension2D;;setSize;;1
java.awt.geom.Rectangle2D;;setRect;;1
java.awt.geom.Rectangle2D;;intersectsLine;;1
java.awt.geom.Rectangle2D;;outcode;;1
java.awt.geom.Rectangle2D;;intersect;;3
java.awt.geom.Rectangle2D;;union;;3
java.awt.geom.Rectangle2D;;add;;1
java.awt.geom.Rectangle2D;;add;;1
java.awt.geom.Rectangle2D;;equals;;1
java.awt.TextComponent;;eventEnabled;;1
java.awt.TextComponent;;processTextEvent;;1
java.awt.geom.RectangularShape;;setFrame;;2
java.awt.geom.RectangularShape;;setFrame;;1
java.awt.geom.RectangularShape;;setFrameFromDiagonal;;2
java.awt.geom.RectangularShape;;setFrameFromCenter;;2
java.awt.geom.RectangularShape;;contains;;1
java.awt.geom.RectangularShape;;intersects;;1
java.awt.geom.RectangularShape;;contains;;1
java.awt.AWTEventMulticaster;;saveInternal;;1
java.awt.AWTEventMulticaster;;save;;1
java.awt.AWTEventMulticaster;;getListeners;;1
java.awt.AWTKeyStroke;;registerSubclass;;1
java.awt.AWTKeyStroke;;getAWTKeyStroke;;1
java.awt.AWTKeyStroke;;getAWTKeyStrokeForEvent;;1
java.awt.AWTKeyStroke;;getAWTKeyStroke;;1
java.awt.AWTKeyStroke;;equals;;1
java.awt.BasicStroke;;equals;;1
java.awt.geom.AffineTransform;;<init>;;1
java.awt.geom.AffineTransform;;<init>;;1
java.awt.geom.AffineTransform;;<init>;;1
java.awt.geom.AffineTransform;;getMatrix;;1
java.awt.geom.AffineTransform;;setTransform;;1
java.awt.geom.AffineTransform;;concatenate;;1
java.awt.geom.AffineTransform;;preConcatenate;;1
java.awt.geom.AffineTransform;;transform;;1
java.awt.geom.AffineTransform;;transform;;2
java.awt.geom.AffineTransform;;transform;;2
java.awt.geom.AffineTransform;;transform;;2
java.awt.geom.AffineTransform;;transform;;2
java.awt.geom.AffineTransform;;transform;;2
java.awt.geom.AffineTransform;;inverseTransform;;1
java.awt.geom.AffineTransform;;inverseTransform;;2
java.awt.geom.AffineTransform;;deltaTransform;;1
java.awt.geom.AffineTransform;;deltaTransform;;2
java.awt.geom.AffineTransform;;equals;;1
java.awt.BorderLayout;;addLayoutComponent;;1
java.awt.BorderLayout;;addLayoutComponent;;1
java.awt.BorderLayout;;removeLayoutComponent;;1
java.awt.BorderLayout;;getLayoutComponent;;1
java.awt.BorderLayout;;minimumLayoutSize;;1
java.awt.BorderLayout;;preferredLayoutSize;;1
java.awt.BorderLayout;;layoutContainer;;1
java.awt.Polygon;;calculateBounds;;2
java.awt.Polygon;;contains;;1
java.awt.Polygon;;contains;;1
java.awt.Polygon;;intersects;;1
java.awt.Polygon;;contains;;1
java.awt.CardLayout;;addLayoutComponent;;1
java.awt.CardLayout;;addLayoutComponent;;1
java.awt.CardLayout;;removeLayoutComponent;;1
java.awt.CardLayout;;preferredLayoutSize;;1
