class name;;Method name;;number of detected pattern;;method Declaration;;parameter;;number of occurrences;;occurrenceType;;unitOnwhichOccurrenceIsDetected;;commentFragment
java.awt.AWTEvent;;<init>;;1;;public void <init>(java.awt.Event);;;;;;;;;;
*;; * ;; * ;;*;;r1;;2;;;;;;
*;;*;;*;;*;;*;;*;;FieldRef for param;;$r2 = r1.<java.awt.Event: java.lang.Object target>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for param;;$i0 = r1.<java.awt.Event: int id>;;pattern detected param  r1 must not be null  because used in  FieldRef 
java.awt.AWTEvent;;copyPrivateDataInto;;1;;void copyPrivateDataInto(java.awt.AWTEvent);;;;;;;;;;
*;; * ;; * ;;*;;r1;;2;;;;;;
*;;*;;*;;*;;*;;*;;FieldRef for param;;r1.<java.awt.AWTEvent: byte[] bdata> = $r3;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for param;;r1.<java.awt.AWTEvent: boolean isSystemGenerated> = $z4;;pattern detected param  r1 must not be null  because used in  FieldRef 
java.awt.AlphaComposite;;equals;;1;;public boolean equals(java.lang.Object);;;;;;;;;;
*;; * ;; * ;;*;;r1;;2;;;;;;
*;;*;;*;;*;;*;;*;;FieldRef for local initialized from param;;$i1 = r2.<java.awt.AlphaComposite: int rule>;;pattern detected param  r1 must not be null it define a local r2which used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for local initialized from param;;$f1 = r2.<java.awt.AlphaComposite: float extraAlpha>;;pattern detected param  r1 must not be null it define a local r2which used in  FieldRef 
java.awt.image.ColorModel;;<init>;;2;;protected void <init>(int, int[], java.awt.color.ColorSpace, boolean, boolean, int, int);;;;;;;;;;
*;; * ;; * ;;*;;r2;;2;;;;;;
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$i4 = virtualinvoke r2.<java.awt.color.ColorSpace: int getType()>();;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$i5 = virtualinvoke r2.<java.awt.color.ColorSpace: int getNumComponents()>();;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;; * ;; * ;;*;;r1;;4;;;;;;
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r17 = virtualinvoke r1.<java.lang.Object: java.lang.Object clone()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;ArrayRef for param;;$i14 = r1[i3];;pattern detected param  r1 must not be null  because used in  ArrayRef 
*;;*;;*;;*;;*;;*;;ArrayRef for param;;$i16 = r1[i3];;pattern detected param  r1 must not be null  because used in  ArrayRef 
*;;*;;*;;*;;*;;*;;ArrayRef for param;;$i17 = r1[i3];;pattern detected param  r1 must not be null  because used in  ArrayRef 
java.awt.image.ColorModel;;getUnnormalizedComponents;;1;;public int[] getUnnormalizedComponents(float[], int, int[], int);;;;;;;;;;
*;; * ;; * ;;*;;r1;;3;;;;;;
*;;*;;*;;*;;*;;*;;ArrayRef for param;;f0 = r1[$i10];;pattern detected param  r1 must not be null  because used in  ArrayRef 
*;;*;;*;;*;;*;;*;;ArrayRef for param;;$f1 = r1[$i13];;pattern detected param  r1 must not be null  because used in  ArrayRef 
*;;*;;*;;*;;*;;*;;ArrayRef for param;;$f9 = r1[$i28];;pattern detected param  r1 must not be null  because used in  ArrayRef 
java.awt.image.ColorModel;;getNormalizedComponents;;1;;public float[] getNormalizedComponents(int[], int, float[], int);;;;;;;;;;
*;; * ;; * ;;*;;r1;;3;;;;;;
*;;*;;*;;*;;*;;*;;ArrayRef for param;;$i11 = r1[$i10];;pattern detected param  r1 must not be null  because used in  ArrayRef 
*;;*;;*;;*;;*;;*;;ArrayRef for param;;$i20 = r1[$i19];;pattern detected param  r1 must not be null  because used in  ArrayRef 
*;;*;;*;;*;;*;;*;;ArrayRef for param;;$i33 = r1[$i32];;pattern detected param  r1 must not be null  because used in  ArrayRef 
java.awt.image.ColorModel;;equals;;1;;public boolean equals(java.lang.Object);;;;;;;;;;
*;; * ;; * ;;*;;r1;;6;;;;;;
*;;*;;*;;*;;*;;*;;InvokeExpr for local initialized from param;;$z2 = virtualinvoke r2.<java.awt.image.ColorModel: boolean hasAlpha()>();;pattern detected param  r1 must not be null it define a local r2which used in  InvokeExpr 
