class name;;Method name;;method Declaration;;number of detected pattern
java.awt.AWTEvent;;copyPrivateDataInto;;void copyPrivateDataInto(java.awt.AWTEvent);;1
java.awt.RenderingHints;;containsKey;;public boolean containsKey(java.lang.Object);;1
java.awt.RenderingHints;;get;;public java.lang.Object get(java.lang.Object);;1
java.awt.RenderingHints;;put;;public java.lang.Object put(java.lang.Object, java.lang.Object);;1
java.awt.RenderingHints;;remove;;public java.lang.Object remove(java.lang.Object);;1
java.awt.image.Raster;;createRaster;;public static java.awt.image.Raster createRaster(java.awt.image.SampleModel, java.awt.image.DataBuffer, java.awt.Point);;1
java.awt.image.Raster;;createWritableRaster;;public static java.awt.image.WritableRaster createWritableRaster(java.awt.image.SampleModel, java.awt.image.DataBuffer, java.awt.Point);;1
java.awt.MenuComponent;;dispatchEventImpl;;void dispatchEventImpl(java.awt.AWTEvent);;1
java.awt.Component;;processEvent;;protected void processEvent(java.awt.AWTEvent);;1
java.awt.Dialog;;<init>;;public void <init>(java.awt.Window, java.lang.String, java.awt.Dialog$ModalityType);;1
java.awt.Dialog;;<init>;;public void <init>(java.awt.Window, java.lang.String, java.awt.Dialog$ModalityType, java.awt.GraphicsConfiguration);;1
java.awt.MenuItem;;processEvent;;protected void processEvent(java.awt.AWTEvent);;1
java.awt.Container;;addImpl;;protected void addImpl(java.awt.Component, java.lang.Object, int);;1
java.awt.Container;;increaseComponentCount;;final void increaseComponentCount(java.awt.Component);;1
java.awt.Container;;decreaseComponentCount;;final void decreaseComponentCount(java.awt.Component);;1
java.awt.Font;;getFont;;public static java.awt.Font getFont(java.util.Map);;1
java.awt.Color;;equals;;public boolean equals(java.lang.Object);;1
java.awt.image.BufferedImage;;<init>;;public void <init>(java.awt.image.ColorModel, java.awt.image.WritableRaster, boolean, java.util.Hashtable);;2
java.awt.font.TextHitInfo;;equals;;public boolean equals(java.lang.Object);;1
java.awt.geom.AffineTransform;;transform;;public java.awt.geom.Point2D transform(java.awt.geom.Point2D, java.awt.geom.Point2D);;1
java.awt.geom.AffineTransform;;inverseTransform;;public java.awt.geom.Point2D inverseTransform(java.awt.geom.Point2D, java.awt.geom.Point2D) throws java.awt.geom.NoninvertibleTransformException;;1
java.awt.geom.AffineTransform;;deltaTransform;;public java.awt.geom.Point2D deltaTransform(java.awt.geom.Point2D, java.awt.geom.Point2D);;1
java.awt.BorderLayout;;addLayoutComponent;;public void addLayoutComponent(java.awt.Component, java.lang.Object);;1
java.awt.CardLayout;;addLayoutComponent;;public void addLayoutComponent(java.awt.Component, java.lang.Object);;1
java.awt.EventDispatchThread;;addEventFilter;;void addEventFilter(java.awt.EventFilter);;1
java.awt.font.TextLayout;;equals;;public boolean equals(java.lang.Object);;1
java.awt.TrayIcon;;processEvent;;void processEvent(java.awt.AWTEvent);;1
java.awt.DefaultKeyboardFocusManager;;dispatchEvent;;public boolean dispatchEvent(java.awt.AWTEvent);;1
java.awt.GradientPaintContext;;<init>;;public void <init>(java.awt.image.ColorModel, java.awt.geom.Point2D, java.awt.geom.Point2D, java.awt.geom.AffineTransform, java.awt.Color, java.awt.Color, boolean);;1
java.awt.GridBagLayout;;addLayoutComponent;;public void addLayoutComponent(java.awt.Component, java.lang.Object);;1
java.awt.TexturePaintContext;;isFilterableICM;;public static boolean isFilterableICM(java.awt.image.ColorModel);;1
java.awt.datatransfer.DataFlavor;;equals;;public boolean equals(java.lang.Object);;1
java.awt.geom.Area;;<init>;;public void <init>(java.awt.Shape);;1
java.awt.image.ColorConvertOp;;<init>;;public void <init>(java.awt.color.ColorSpace, java.awt.RenderingHints);;1
java.awt.image.ColorConvertOp;;<init>;;public void <init>(java.awt.color.ColorSpace, java.awt.color.ColorSpace, java.awt.RenderingHints);;2
java.awt.image.ConvolveOp;;createCompatibleDestImage;;public java.awt.image.BufferedImage createCompatibleDestImage(java.awt.image.BufferedImage, java.awt.image.ColorModel);;1
java.awt.image.RGBImageFilter;;setColorModel;;public void setColorModel(java.awt.image.ColorModel);;1
