class name;;Method name;;method Declaration;;number of detected pattern
java.awt.image.Raster;;createChild;;public java.awt.image.Raster createChild(int, int, int, int, int, int, int[]);;1
java.awt.image.WritableRaster;;createWritableChild;;public java.awt.image.WritableRaster createWritableChild(int, int, int, int, int, int, int[]);;1
java.awt.image.SampleModel;;getPixel;;public int[] getPixel(int, int, int[], java.awt.image.DataBuffer);;1
java.awt.image.SampleModel;;getDataElements;;public java.lang.Object getDataElements(int, int, int, int, java.lang.Object, java.awt.image.DataBuffer);;1
java.awt.image.SampleModel;;getPixel;;public float[] getPixel(int, int, float[], java.awt.image.DataBuffer);;1
java.awt.image.SampleModel;;getPixel;;public double[] getPixel(int, int, double[], java.awt.image.DataBuffer);;1
java.awt.image.SampleModel;;getPixels;;public int[] getPixels(int, int, int, int, int[], java.awt.image.DataBuffer);;1
java.awt.image.SampleModel;;getPixels;;public float[] getPixels(int, int, int, int, float[], java.awt.image.DataBuffer);;1
java.awt.image.SampleModel;;getPixels;;public double[] getPixels(int, int, int, int, double[], java.awt.image.DataBuffer);;1
java.awt.image.SampleModel;;getSamples;;public int[] getSamples(int, int, int, int, int, int[], java.awt.image.DataBuffer);;1
java.awt.image.SampleModel;;getSamples;;public float[] getSamples(int, int, int, int, int, float[], java.awt.image.DataBuffer);;1
java.awt.image.SampleModel;;getSamples;;public double[] getSamples(int, int, int, int, int, double[], java.awt.image.DataBuffer);;1
java.awt.Button;;addActionListener;;public synchronized void addActionListener(java.awt.event.ActionListener);;1
java.awt.Button;;removeActionListener;;public synchronized void removeActionListener(java.awt.event.ActionListener);;1
java.awt.Component;;getBounds;;public java.awt.Rectangle getBounds(java.awt.Rectangle);;1
java.awt.Component;;getSize;;public java.awt.Dimension getSize(java.awt.Dimension);;1
java.awt.Component;;getLocation;;public java.awt.Point getLocation(java.awt.Point);;1
java.awt.Component;;setPreferredSize;;public void setPreferredSize(java.awt.Dimension);;1
java.awt.Component;;setMinimumSize;;public void setMinimumSize(java.awt.Dimension);;1
java.awt.Component;;setMaximumSize;;public void setMaximumSize(java.awt.Dimension);;1
java.awt.Component;;addComponentListener;;public synchronized void addComponentListener(java.awt.event.ComponentListener);;1
java.awt.Component;;removeComponentListener;;public synchronized void removeComponentListener(java.awt.event.ComponentListener);;1
java.awt.Component;;addFocusListener;;public synchronized void addFocusListener(java.awt.event.FocusListener);;1
java.awt.Component;;removeFocusListener;;public synchronized void removeFocusListener(java.awt.event.FocusListener);;1
java.awt.Component;;addHierarchyListener;;public void addHierarchyListener(java.awt.event.HierarchyListener);;1
java.awt.Component;;removeHierarchyListener;;public void removeHierarchyListener(java.awt.event.HierarchyListener);;1
java.awt.Component;;addHierarchyBoundsListener;;public void addHierarchyBoundsListener(java.awt.event.HierarchyBoundsListener);;1
java.awt.Component;;removeHierarchyBoundsListener;;public void removeHierarchyBoundsListener(java.awt.event.HierarchyBoundsListener);;1
java.awt.Component;;addKeyListener;;public synchronized void addKeyListener(java.awt.event.KeyListener);;1
java.awt.Component;;removeKeyListener;;public synchronized void removeKeyListener(java.awt.event.KeyListener);;1
java.awt.Component;;addMouseListener;;public synchronized void addMouseListener(java.awt.event.MouseListener);;1
java.awt.Component;;removeMouseListener;;public synchronized void removeMouseListener(java.awt.event.MouseListener);;1
java.awt.Component;;addMouseMotionListener;;public synchronized void addMouseMotionListener(java.awt.event.MouseMotionListener);;1
java.awt.Component;;removeMouseMotionListener;;public synchronized void removeMouseMotionListener(java.awt.event.MouseMotionListener);;1
java.awt.Component;;addMouseWheelListener;;public synchronized void addMouseWheelListener(java.awt.event.MouseWheelListener);;1
java.awt.Component;;removeMouseWheelListener;;public synchronized void removeMouseWheelListener(java.awt.event.MouseWheelListener);;1
java.awt.Component;;addInputMethodListener;;public synchronized void addInputMethodListener(java.awt.event.InputMethodListener);;1
java.awt.Component;;removeInputMethodListener;;public synchronized void removeInputMethodListener(java.awt.event.InputMethodListener);;1
java.awt.Component;;setFocusTraversalKeys_NoIDCheck;;final void setFocusTraversalKeys_NoIDCheck(int, java.util.Set);;1
java.awt.Component;;setRequestFocusController;;static synchronized void setRequestFocusController(sun.awt.RequestFocusController);;1
java.awt.Component;;addPropertyChangeListener;;public void addPropertyChangeListener(java.beans.PropertyChangeListener);;1
java.awt.Component;;addPropertyChangeListener;;public void addPropertyChangeListener(java.lang.String, java.beans.PropertyChangeListener);;1
java.awt.Component;;isInstanceOf;;static boolean isInstanceOf(java.lang.Object, java.lang.String);;2
java.awt.MenuItem;;addActionListener;;public synchronized void addActionListener(java.awt.event.ActionListener);;1
java.awt.MenuItem;;removeActionListener;;public synchronized void removeActionListener(java.awt.event.ActionListener);;1
java.awt.List;;addItemListener;;public synchronized void addItemListener(java.awt.event.ItemListener);;1
java.awt.List;;removeItemListener;;public synchronized void removeItemListener(java.awt.event.ItemListener);;1
java.awt.List;;addActionListener;;public synchronized void addActionListener(java.awt.event.ActionListener);;1
java.awt.List;;removeActionListener;;public synchronized void removeActionListener(java.awt.event.ActionListener);;1
java.awt.Frame;;remove;;public void remove(java.awt.MenuComponent);;1
java.awt.Toolkit;;removeAWTEventListener;;public void removeAWTEventListener(java.awt.event.AWTEventListener);;1
java.awt.Choice;;addItemListener;;public synchronized void addItemListener(java.awt.event.ItemListener);;1
java.awt.Choice;;removeItemListener;;public synchronized void removeItemListener(java.awt.event.ItemListener);;1
java.awt.Container;;getComponentZOrder;;public int getComponentZOrder(java.awt.Component);;1
java.awt.Container;;addContainerListener;;public synchronized void addContainerListener(java.awt.event.ContainerListener);;1
java.awt.Container;;removeContainerListener;;public synchronized void removeContainerListener(java.awt.event.ContainerListener);;1
java.awt.Font;;<init>;;public void <init>(java.lang.String, int, int);;1
java.awt.Font;;deriveFont;;public java.awt.Font deriveFont(java.util.Map);;1
java.awt.Color;;getRGBComponents;;public float[] getRGBComponents(float[]);;1
java.awt.Color;;getRGBColorComponents;;public float[] getRGBColorComponents(float[]);;1
java.awt.Color;;getColorComponents;;public float[] getColorComponents(float[]);;1
java.awt.Color;;getComponents;;public float[] getComponents(java.awt.color.ColorSpace, float[]);;1
java.awt.Color;;getColorComponents;;public float[] getColorComponents(java.awt.color.ColorSpace, float[]);;1
java.awt.dnd.DropTarget;;<init>;;public void <init>(java.awt.Component, int, java.awt.dnd.DropTargetListener, boolean, java.awt.datatransfer.FlavorMap) throws java.awt.HeadlessException;;1
java.awt.dnd.DropTarget;;addDropTargetListener;;public synchronized void addDropTargetListener(java.awt.dnd.DropTargetListener) throws java.util.TooManyListenersException;;1
java.awt.dnd.DropTarget;;setFlavorMap;;public void setFlavorMap(java.awt.datatransfer.FlavorMap);;1
java.awt.Window;;<init>;;public void <init>(java.awt.Frame);;1
