class name;;number of detected pattern
java.beans.PersistenceDelegate;;0
java.beans.ChangeListenerMap;;1
java.beans.beancontext.BeanContextEvent;;0
java.beans.IndexedPropertyChangeEvent;;0
java.beans.Encoder;;1
java.beans.BeanDescriptor;;0
java.beans.beancontext.BeanContextSupport;;1
java.beans.SimpleBeanInfo;;0
java.beans.beancontext.BeanContextMembershipEvent;;0
java.beans.Introspector;;3
java.beans.PropertyVetoException;;0
java.beans.PropertyChangeSupport;;4
java.beans.FeatureDescriptor;;4
java.beans.PropertyEditorSupport;;0
java.beans.VetoableChangeSupport;;4
java.beans.EventHandler;;0
java.beans.VetoableChangeListenerProxy;;0
java.beans.Beans;;1
java.beans.IndexedPropertyDescriptor;;0
java.beans.beancontext.BeanContextServiceRevokedEvent;;0
java.beans.ReflectionUtils;;0
java.beans.PropertyDescriptor;;4
java.beans.MethodDescriptor;;0
java.beans.ParameterDescriptor;;0
java.beans.IntrospectionException;;0
java.beans.PropertyEditorManager;;0
java.beans.Statement;;2
java.beans.MetaData;;1
java.beans.EventSetDescriptor;;1
java.beans.beancontext.BeanContextServiceAvailableEvent;;0
java.beans.NameGenerator;;1
java.beans.ThreadGroupContext;;0
java.beans.PropertyChangeEvent;;0
java.beans.beancontext.BeanContext;;0
java.beans.Expression;;0
java.beans.XMLEncoder;;0
java.beans.PropertyChangeListenerProxy;;0
java.beans.DefaultPersistenceDelegate;;0
java.beans.beancontext.BeanContextServicesSupport;;0
java.beans.XMLDecoder;;1
java.beans.beancontext.BeanContextChildSupport;;1
