class name;;Method name;;number of detected pattern;;method Declaration;;parameter;;number of occurrences;;occurrenceType;;unitOnwhichOccurrenceIsDetected;;commentFragment
java.beans.PropertyChangeSupport;;<init>;;1;;public void <init>(java.lang.Object)
*;; * ;; * ;;*;;r1;;1
*;;*;;*;;*;;*;;*;;ThrowStmt for param;;throw $r3;;pattern detected param  r1 must not be null  ## otherwise an exception is thrown 
java.beans.PropertyChangeSupport;;firePropertyChange;;1;;public void firePropertyChange(java.beans.PropertyChangeEvent)
*;; * ;; * ;;*;;r1;;3
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;r2 = virtualinvoke r1.<java.beans.PropertyChangeEvent: java.lang.Object getOldValue()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;r3 = virtualinvoke r1.<java.beans.PropertyChangeEvent: java.lang.Object getNewValue()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;r4 = virtualinvoke r1.<java.beans.PropertyChangeEvent: java.lang.String getPropertyName()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
java.beans.BeanDescriptor;;<init>;;1;;public void <init>(java.lang.Class, java.lang.Class)
*;; * ;; * ;;*;;r1;;1
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;r3 = virtualinvoke r1.<java.lang.Class: java.lang.String getName()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
java.beans.BeanDescriptor;;<init>;;1;;void <init>(java.beans.BeanDescriptor)
*;; * ;; * ;;*;;r1;;2
*;;*;;*;;*;;*;;*;;FieldRef for param;;$r2 = r1.<java.beans.BeanDescriptor: java.lang.ref.Reference beanClassRef>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for param;;$r3 = r1.<java.beans.BeanDescriptor: java.lang.ref.Reference customizerClassRef>;;pattern detected param  r1 must not be null  because used in  FieldRef 
java.beans.FeatureDescriptor;;<init>;;2;;void <init>(java.beans.FeatureDescriptor, java.beans.FeatureDescriptor)
*;; * ;; * ;;*;;r1;;7
*;;*;;*;;*;;*;;*;;FieldRef for param;;$z0 = r1.<java.beans.FeatureDescriptor: boolean expert>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for param;;$z3 = r1.<java.beans.FeatureDescriptor: boolean hidden>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for param;;$z6 = r1.<java.beans.FeatureDescriptor: boolean preferred>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for param;;$r4 = r1.<java.beans.FeatureDescriptor: java.lang.String shortDescription>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for param;;$r7 = r1.<java.beans.FeatureDescriptor: java.lang.String displayName>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for param;;$r10 = r1.<java.beans.FeatureDescriptor: java.lang.ref.Reference classRef>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for param;;$r13 = r1.<java.beans.FeatureDescriptor: java.util.Hashtable table>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;; * ;; * ;;*;;r2;;11
*;;*;;*;;*;;*;;*;;FieldRef for param;;$z1 = r2.<java.beans.FeatureDescriptor: boolean expert>;;pattern detected param  r2 must not be null  because used in  FieldRef 
