class name;;number of detected pattern
java.beans.PersistenceDelegate;;0
java.beans.ChangeListenerMap;;0
java.beans.beancontext.BeanContextEvent;;0
java.beans.IndexedPropertyChangeEvent;;0
java.beans.Encoder;;0
java.beans.BeanDescriptor;;0
java.beans.beancontext.BeanContextSupport;;0
java.beans.SimpleBeanInfo;;0
java.beans.beancontext.BeanContextMembershipEvent;;0
java.beans.Introspector;;0
java.beans.PropertyVetoException;;0
java.beans.PropertyChangeSupport;;0
java.beans.FeatureDescriptor;;0
java.beans.PropertyEditorSupport;;0
java.beans.VetoableChangeSupport;;0
java.beans.EventHandler;;0
java.beans.VetoableChangeListenerProxy;;0
java.beans.Beans;;0
java.beans.IndexedPropertyDescriptor;;0
java.beans.beancontext.BeanContextServiceRevokedEvent;;0
java.beans.ReflectionUtils;;0
java.beans.PropertyDescriptor;;0
java.beans.MethodDescriptor;;0
java.beans.ParameterDescriptor;;0
java.beans.IntrospectionException;;0
java.beans.PropertyEditorManager;;0
java.beans.Statement;;0
java.beans.MetaData;;0
java.beans.EventSetDescriptor;;0
java.beans.beancontext.BeanContextServiceAvailableEvent;;0
java.beans.NameGenerator;;0
java.beans.ThreadGroupContext;;0
java.beans.PropertyChangeEvent;;0
java.beans.beancontext.BeanContext;;0
java.beans.Expression;;0
java.beans.XMLEncoder;;0
java.beans.PropertyChangeListenerProxy;;0
java.beans.DefaultPersistenceDelegate;;0
java.beans.beancontext.BeanContextServicesSupport;;1
java.beans.XMLDecoder;;0
java.beans.beancontext.BeanContextChildSupport;;0
