class name;;number of detected pattern
java.io.BufferedReader;;0
java.io.SequenceInputStream;;0
java.io.RandomAccessFile;;2
java.io.FileWriter;;0
java.io.InputStreamReader;;0
java.io.ByteArrayOutputStream;;0
java.io.FileOutputStream;;3
java.io.IOError;;0
java.io.CharConversionException;;0
java.io.Win32FileSystem;;1
java.io.DataInputStream;;0
java.io.UTFDataFormatException;;0
java.io.SerializablePermission;;0
java.io.ObjectOutputStream;;1
java.io.WinNTFileSystem;;0
java.io.PipedReader;;0
java.io.CharArrayReader;;0
java.io.StreamCorruptedException;;0
java.io.LineNumberInputStream;;0
java.io.DeleteOnExitHook;;0
java.io.FileNotFoundException;;0
java.io.CharArrayWriter;;2
java.io.BufferedOutputStream;;0
java.io.FileReader;;0
java.io.PrintStream;;3
java.io.ByteArrayInputStream;;0
java.io.DataOutputStream;;0
java.io.Writer;;2
java.io.InvalidClassException;;0
java.io.OutputStreamWriter;;0
java.io.ObjectInputStream;;0
java.io.OutputStream;;0
java.io.SyncFailedException;;0
java.io.InputStream;;0
java.io.ObjectStreamConstants;;0
java.io.ObjectStreamException;;0
java.io.ObjectStreamClass;;0
java.io.PrintWriter;;3
java.io.ObjectStreamField;;0
java.io.ExpiringCache;;0
java.io.BufferedInputStream;;0
java.io.FilePermission;;0
java.io.StringWriter;;2
java.io.StreamTokenizer;;0
java.io.FilterInputStream;;0
java.io.FilterReader;;0
java.io.EOFException;;0
java.io.IOException;;0
java.io.NotSerializableException;;0
java.io.OptionalDataException;;0
java.io.PushbackReader;;0
java.io.SerialCallbackContext;;0
java.io.InvalidObjectException;;0
java.io.Console;;0
java.io.Bits;;0
java.io.InterruptedIOException;;0
java.io.FilterOutputStream;;0
java.io.PipedOutputStream;;0
java.io.StringBufferInputStream;;0
java.io.PushbackInputStream;;0
java.io.PipedInputStream;;0
java.io.FileSystem;;0
java.io.File;;4
java.io.Reader;;0
java.io.UnsupportedEncodingException;;0
java.io.BufferedWriter;;0
java.io.LineNumberReader;;0
java.io.WriteAbortedException;;0
java.io.FileInputStream;;2
java.io.PipedWriter;;0
java.io.FilterWriter;;0
java.io.NotActiveException;;0
java.io.FileDescriptor;;0
java.io.StringReader;;0
