class name;;number of detected pattern
java.io.BufferedReader;;0
java.io.SequenceInputStream;;1
java.io.RandomAccessFile;;3
java.io.FileWriter;;0
java.io.InputStreamReader;;3
java.io.ByteArrayOutputStream;;1
java.io.FileOutputStream;;1
java.io.IOError;;0
java.io.CharConversionException;;0
java.io.Win32FileSystem;;17
java.io.DataInputStream;;1
java.io.UTFDataFormatException;;0
java.io.SerializablePermission;;0
java.io.ObjectOutputStream;;16
java.io.WinNTFileSystem;;1
java.io.PipedReader;;3
java.io.CharArrayReader;;0
java.io.StreamCorruptedException;;0
java.io.LineNumberInputStream;;1
java.io.DeleteOnExitHook;;0
java.io.FileNotFoundException;;0
java.io.CharArrayWriter;;2
java.io.BufferedOutputStream;;0
java.io.FileReader;;0
java.io.PrintStream;;3
java.io.ByteArrayInputStream;;1
java.io.DataOutputStream;;4
java.io.Writer;;3
java.io.InvalidClassException;;0
java.io.OutputStreamWriter;;3
java.io.ObjectInputStream;;13
java.io.OutputStream;;1
java.io.SyncFailedException;;0
java.io.InputStream;;1
java.io.ObjectStreamConstants;;0
java.io.ObjectStreamException;;0
java.io.ObjectStreamClass;;40
java.io.PrintWriter;;1
java.io.ObjectStreamField;;6
java.io.ExpiringCache;;1
java.io.BufferedInputStream;;0
java.io.FilePermission;;6
java.io.StringWriter;;1
java.io.StreamTokenizer;;2
java.io.FilterInputStream;;0
java.io.FilterReader;;0
java.io.EOFException;;0
java.io.IOException;;0
java.io.NotSerializableException;;0
java.io.OptionalDataException;;0
java.io.PushbackReader;;0
java.io.SerialCallbackContext;;0
java.io.InvalidObjectException;;0
java.io.Console;;6
java.io.Bits;;10
java.io.InterruptedIOException;;0
java.io.FilterOutputStream;;1
java.io.PipedOutputStream;;2
java.io.StringBufferInputStream;;2
java.io.PushbackInputStream;;1
java.io.PipedInputStream;;2
java.io.FileSystem;;0
java.io.File;;11
java.io.Reader;;2
java.io.UnsupportedEncodingException;;0
java.io.BufferedWriter;;1
java.io.LineNumberReader;;1
java.io.WriteAbortedException;;0
java.io.FileInputStream;;1
java.io.PipedWriter;;1
java.io.FilterWriter;;0
java.io.NotActiveException;;0
java.io.FileDescriptor;;4
java.io.StringReader;;1
