class name;;Method name;;number of detected pattern
java.lang.String;;<init>;;1
java.lang.String;;<init>;;1
java.lang.String;;<init>;;1
java.lang.String;;<init>;;1
java.lang.String;;<init>;;1
java.lang.String;;<init>;;1
java.lang.String;;<init>;;1
java.lang.String;;getBytes;;1
java.lang.String;;getBytes;;1
java.lang.String;;getBytes;;1
java.lang.String;;equals;;1
java.lang.String;;contentEquals;;1
java.lang.String;;compareTo;;1
java.lang.String;;regionMatches;;1
java.lang.String;;regionMatches;;1
java.lang.String;;startsWith;;1
java.lang.String;;endsWith;;1
java.lang.String;;indexOf;;1
java.lang.String;;indexOf;;2
java.lang.String;;lastIndexOf;;1
java.lang.String;;lastIndexOf;;2
java.lang.String;;concat;;1
java.lang.String;;contains;;1
java.lang.String;;replace;;2
java.lang.String;;split;;1
java.lang.String;;toLowerCase;;1
java.lang.String;;toUpperCase;;1
java.lang.Throwable;;printStackTrace;;1
java.lang.Throwable;;printEnclosedStackTrace;;3
java.lang.Throwable;;setStackTrace;;1
java.lang.Throwable;;readObject;;1
java.lang.Throwable;;writeObject;;1
java.lang.Throwable;;addSuppressed;;1
java.lang.StackTraceElement;;equals;;1
java.lang.Class;;toClass;;1
java.lang.Class;;addAll;;2
java.lang.Class;;searchFields;;2
java.lang.Class;;searchMethods;;2
java.lang.Class;;copyFields;;1
java.lang.Class;;copyMethods;;1
java.lang.Class;;copyConstructors;;1
java.lang.Class;;cannotCastMsg;;1
java.lang.Class;;asSubclass;;1
java.lang.Class;;getAnnotation;;1
java.lang.Class;;isAnnotationPresent;;1
java.lang.StringBuffer;;<init>;;1
java.lang.StringBuffer;;<init>;;1
java.lang.StringBuffer;;indexOf;;1
java.lang.StringBuffer;;lastIndexOf;;1
java.lang.StringBuffer;;writeObject;;1
java.lang.StringBuffer;;readObject;;1
java.lang.AbstractStringBuilder;;replace;;1
java.lang.AbstractStringBuilder;;indexOf;;1
java.lang.AbstractStringBuilder;;lastIndexOf;;1
java.lang.Boolean;;equals;;1
java.lang.Boolean;;compareTo;;1
java.lang.Long;;getChars;;1
java.lang.Long;;parseLong;;1
java.lang.Long;;decode;;1
java.lang.Long;;equals;;1
java.lang.Long;;compareTo;;1
java.lang.Integer;;getChars;;1
java.lang.Integer;;parseInt;;1
java.lang.Integer;;equals;;1
java.lang.Integer;;decode;;1
java.lang.Integer;;compareTo;;1
java.lang.Short;;equals;;1
java.lang.Short;;compareTo;;1
java.lang.Float;;equals;;1
java.lang.Float;;compareTo;;1
java.lang.Double;;equals;;1
java.lang.Double;;compareTo;;1
java.lang.reflect.Constructor;;getAnnotation;;1
java.lang.ClassLoader;;checkPackageAccess;;1
java.lang.ClassLoader;;preDefineClass;;1
java.lang.ClassLoader;;defineClassSourceLocation;;1
java.lang.ClassLoader;;postDefineClass;;1
java.lang.ClassLoader;;defineClass;;1
java.lang.ClassLoader;;checkCerts;;1
java.lang.ClassLoader;;compareCerts;;1
java.lang.ClassLoader;;setSigners;;1
java.lang.ClassLoader;;loadLibrary1;;1
java.lang.ClassLoader;;desiredAssertionStatus;;1
java.lang.Package;;isSealed;;1
java.lang.Package;;isCompatibleWith;;1
java.lang.Package;;getPackage;;1
java.lang.Package;;<init>;;2
java.lang.Package;;getSystemPackage;;1
java.lang.reflect.Method;;getAnnotation;;1
java.lang.reflect.Field;;getTypeName;;1
java.lang.reflect.Field;;getAnnotation;;1
java.lang.reflect.AccessibleObject;;setAccessible;;1
java.lang.reflect.AccessibleObject;;setAccessible0;;1
java.lang.Character;;equals;;1
java.lang.Character;;codePointAt;;1
java.lang.Character;;codePointAtImpl;;1
java.lang.Character;;codePointBefore;;1
java.lang.Character;;codePointBeforeImpl;;1
java.lang.Character;;toChars;;1
java.lang.Character;;toSurrogates;;1
java.lang.Character;;codePointCount;;1
java.lang.Character;;codePointCountImpl;;1
java.lang.Character;;offsetByCodePoints;;1
java.lang.Character;;offsetByCodePointsImpl;;1
java.lang.Character;;compareTo;;1
java.lang.Byte;;equals;;1
java.lang.Byte;;compareTo;;1
java.lang.ref.Finalizer;;access$100;;1
java.lang.ref.Finalizer;;access$400;;1
java.lang.Thread;;init;;2
java.lang.Thread;;stop;;1
java.lang.Thread;;setName;;1
java.lang.Thread;;processQueue;;2
java.lang.StringBuilder;;<init>;;1
java.lang.StringBuilder;;<init>;;1
java.lang.StringBuilder;;indexOf;;1
java.lang.StringBuilder;;lastIndexOf;;1
java.lang.StringBuilder;;writeObject;;1
java.lang.StringBuilder;;readObject;;1
java.lang.System;;setSecurityManager;;1
java.lang.System;;checkKey;;1
java.lang.SecurityManager;;checkPermission;;1
java.lang.SecurityManager;;checkAccess;;1
java.lang.SecurityManager;;checkAccess;;1
java.lang.SecurityManager;;checkLink;;1
java.lang.SecurityManager;;checkRead;;1
java.lang.SecurityManager;;checkWrite;;1
java.lang.SecurityManager;;checkConnect;;1
java.lang.SecurityManager;;checkConnect;;1
java.lang.SecurityManager;;checkAccept;;1
java.lang.SecurityManager;;checkMulticast;;1
java.lang.SecurityManager;;checkMulticast;;1
java.lang.SecurityManager;;checkTopLevelWindow;;1
java.lang.SecurityManager;;checkPackageAccess;;1
java.lang.SecurityManager;;checkPackageDefinition;;1
java.lang.SecurityManager;;checkMemberAccess;;1
java.lang.ThreadLocal;;getMap;;1
java.lang.ThreadLocal;;createMap;;1
java.lang.ThreadLocal;;access$400;;1
java.lang.ApplicationShutdownHooks;;add;;1
java.lang.ApplicationShutdownHooks;;remove;;1
java.lang.ThreadGroup;;<init>;;1
java.lang.ThreadGroup;;checkParentAccess;;1
java.lang.ThreadGroup;;enumerate;;1
java.lang.ThreadGroup;;list;;1
java.lang.ThreadGroup;;uncaughtException;;2
java.lang.ref.ReferenceQueue;;enqueue;;1
java.lang.Enum;;compareTo;;1
java.lang.Enum;;valueOf;;2
java.lang.ClassValue;;getCacheCarefully;;1
java.lang.ClassValue;;getMap;;1
java.lang.ClassValue;;initializeMap;;1
java.lang.ConditionalSpecialCasing;;toLowerCaseEx;;1
java.lang.ConditionalSpecialCasing;;toUpperCaseEx;;1
java.lang.ConditionalSpecialCasing;;toUpperCaseCharArray;;1
java.lang.ConditionalSpecialCasing;;lookUpTable;;2
java.lang.ConditionalSpecialCasing;;isFinalCased;;1
java.lang.ConditionalSpecialCasing;;isAfterI;;1
java.lang.ConditionalSpecialCasing;;isAfterSoftDotted;;1
java.lang.ConditionalSpecialCasing;;isMoreAbove;;1
java.lang.ConditionalSpecialCasing;;isBeforeDot;;1
java.lang.EnumConstantNotPresentException;;<init>;;1
java.lang.InheritableThreadLocal;;getMap;;1
java.lang.InheritableThreadLocal;;createMap;;1
java.lang.ProcessBuilder;;<init>;;1
java.lang.ProcessBuilder;;<init>;;1
java.lang.ProcessBuilder;;command;;1
java.lang.ProcessBuilder;;command;;1
java.lang.ProcessBuilder;;redirectInput;;1
java.lang.ProcessBuilder;;redirectOutput;;1
java.lang.ProcessBuilder;;redirectError;;1
java.lang.ProcessImpl;;newFileOutputStream;;1
java.lang.ProcessImpl;;<init>;;1
java.lang.ProcessImpl;;access$002;;1
java.lang.ProcessImpl;;access$202;;1
java.lang.ProcessImpl;;access$302;;1
java.lang.ProcessEnvironment;;validateName;;1
java.lang.ProcessEnvironment;;validateValue;;1
java.lang.ProcessEnvironment;;nonNullString;;1
java.lang.ProcessEnvironment;;addToEnv;;1
java.lang.Runtime;;exec;;1
java.lang.Runtime;;loadLibrary0;;1
java.lang.StringCoding;;deref;;1
java.lang.StringCoding;;set;;1
java.lang.StringCoding;;decode;;1
java.lang.StringCoding;;encode;;1
java.lang.annotation.IncompleteAnnotationException;;<init>;;1
java.lang.invoke.AdapterMethodHandle;;<init>;;1
java.lang.invoke.AdapterMethodHandle;;canPairwiseConvert;;2
java.lang.invoke.AdapterMethodHandle;;canConvertArgument;;2
java.lang.invoke.AdapterMethodHandle;;makePairwiseConvert;;2
java.lang.invoke.AdapterMethodHandle;;isTrivialConversion;;2
java.lang.invoke.AdapterMethodHandle;;makeReturnConversion;;1
java.lang.invoke.AdapterMethodHandle;;makePermutation;;3
java.lang.invoke.AdapterMethodHandle;;extractStackMove;;1
java.lang.invoke.AdapterMethodHandle;;diffTypes;;2
java.lang.invoke.AdapterMethodHandle;;diffReturnTypes;;2
java.lang.invoke.AdapterMethodHandle;;diffParamTypes;;2
java.lang.invoke.AdapterMethodHandle;;makeRetype;;1
java.lang.invoke.AdapterMethodHandle;;makeVarargsCollector;;1
java.lang.invoke.AdapterMethodHandle;;canCheckCast;;2
java.lang.invoke.AdapterMethodHandle;;canCheckCast;;2
java.lang.invoke.AdapterMethodHandle;;makeCheckCast;;1
java.lang.invoke.AdapterMethodHandle;;canPrimCast;;2
java.lang.invoke.AdapterMethodHandle;;canPrimCast;;2
java.lang.invoke.AdapterMethodHandle;;makePrimCast;;1
java.lang.invoke.AdapterMethodHandle;;makePrimCastOnly;;2
java.lang.invoke.AdapterMethodHandle;;canUnboxArgument;;2
