class name;;number of detected pattern
java.lang.StackTraceElement;;0
java.lang.StrictMath;;0
java.lang.AssertionStatusDirectives;;0
java.lang.StackOverflowError;;0
java.lang.NoSuchFieldError;;0
java.lang.UnsupportedOperationException;;0
java.lang.Float;;2
java.lang.invoke.FilterOneArgument;;0
java.lang.NoSuchFieldException;;0
java.lang.CharacterData00;;0
java.lang.StringCoding;;0
java.lang.ArithmeticException;;0
java.lang.AbstractStringBuilder;;0
java.lang.CharacterData01;;0
java.lang.CharacterData02;;0
java.lang.management.PlatformComponent;;0
java.lang.ProcessEnvironment;;3
java.lang.ref.ReferenceQueue;;0
java.lang.invoke.InvokeGeneric;;0
java.lang.CharacterData0E;;0
java.lang.instrument.UnmodifiableClassException;;0
java.lang.CharacterDataPrivateUse;;0
java.lang.IllegalThreadStateException;;0
java.lang.ThreadLocal;;0
java.lang.ArrayStoreException;;0
java.lang.UnsupportedClassVersionError;;0
java.lang.NoSuchMethodError;;0
java.lang.EnumConstantNotPresentException;;0
java.lang.management.MonitorInfo;;0
java.lang.invoke.VolatileCallSite;;0
java.lang.VerifyError;;0
java.lang.annotation.RetentionPolicy;;0
java.lang.UnknownError;;0
java.lang.BootstrapMethodError;;0
java.lang.UnsatisfiedLinkError;;0
java.lang.invoke.MethodHandle;;0
java.lang.ref.WeakReference;;0
java.lang.ClassNotFoundException;;0
java.lang.annotation.AnnotationFormatError;;0
java.lang.CloneNotSupportedException;;0
java.lang.invoke.MethodHandleNatives;;0
java.lang.ProcessImpl;;0
java.lang.RuntimePermission;;0
java.lang.ApplicationShutdownHooks;;0
java.lang.Process;;0
java.lang.ClassCastException;;0
java.lang.CharacterName;;0
java.lang.StringIndexOutOfBoundsException;;0
java.lang.invoke.SpreadGeneric;;0
java.lang.IllegalStateException;;0
java.lang.ref.FinalReference;;0
java.lang.annotation.ElementType;;0
java.lang.invoke.AdapterMethodHandle;;0
java.lang.NumberFormatException;;0
java.lang.Byte;;1
java.lang.Math;;0
java.lang.invoke.ConstantCallSite;;0
java.lang.CharacterDataUndefined;;0
java.lang.SecurityManager;;1
java.lang.Thread;;1
java.lang.ref.Reference;;0
java.lang.reflect.Method;;1
java.lang.StringBuilder;;0
java.lang.IllegalAccessError;;0
java.lang.management.ManagementFactory;;0
java.lang.LinkageError;;0
java.lang.reflect.MalformedParameterizedTypeException;;0
java.lang.invoke.FilterGeneric;;0
java.lang.InternalError;;0
java.lang.invoke.CountingMethodHandle;;0
java.lang.Compiler;;0
java.lang.management.LockInfo;;0
java.lang.IllegalAccessException;;0
java.lang.ClassLoaderHelper;;0
java.lang.InheritableThreadLocal;;0
java.lang.instrument.ClassDefinition;;0
java.lang.invoke.MethodHandles;;0
java.lang.management.MemoryUsage;;0
java.lang.ref.PhantomReference;;0
java.lang.NegativeArraySizeException;;0
java.lang.annotation.IncompleteAnnotationException;;0
java.lang.reflect.Proxy;;1
java.lang.VirtualMachineError;;0
java.lang.OutOfMemoryError;;0
java.lang.RuntimeException;;0
java.lang.Exception;;0
java.lang.NullPointerException;;0
java.lang.management.MemoryNotificationInfo;;0
java.lang.Enum;;1
java.lang.reflect.ReflectAccess;;0
java.lang.invoke.MethodHandleImpl;;0
java.lang.Boolean;;1
java.lang.IncompatibleClassChangeError;;0
java.lang.reflect.Array;;0
java.lang.CharacterData;;0
java.lang.invoke.MethodHandleStatics;;0
java.lang.Throwable;;0
java.lang.AssertionError;;1
java.lang.Class;;0
