class name;;Method name;;method Declaration;;number of detected pattern
java.lang.String;;compareTo;;public volatile int compareTo(java.lang.Object);;1
java.lang.Boolean;;compareTo;;public volatile int compareTo(java.lang.Object);;1
java.lang.Long;;compareTo;;public volatile int compareTo(java.lang.Object);;1
java.lang.Integer;;compareTo;;public volatile int compareTo(java.lang.Object);;1
java.lang.Short;;compareTo;;public volatile int compareTo(java.lang.Object);;1
java.lang.Float;;equals;;public boolean equals(java.lang.Object);;1
java.lang.Float;;compareTo;;public volatile int compareTo(java.lang.Object);;1
java.lang.Double;;equals;;public boolean equals(java.lang.Object);;1
java.lang.Double;;compareTo;;public volatile int compareTo(java.lang.Object);;1
java.lang.reflect.Constructor;;equals;;public boolean equals(java.lang.Object);;1
java.lang.reflect.Method;;equals;;public boolean equals(java.lang.Object);;1
java.lang.Character;;compareTo;;public volatile int compareTo(java.lang.Object);;1
java.lang.AssertionError;;<init>;;public void <init>(java.lang.Object);;1
java.lang.Byte;;compareTo;;public volatile int compareTo(java.lang.Object);;1
java.lang.Thread;;stop;;public final synchronized void stop(java.lang.Throwable);;1
java.lang.SecurityManager;;checkPermission;;public void checkPermission(java.security.Permission, java.lang.Object);;1
java.lang.ThreadGroup;;uncaughtException;;public void uncaughtException(java.lang.Thread, java.lang.Throwable);;1
java.lang.Enum;;compareTo;;public volatile int compareTo(java.lang.Object);;1
java.lang.ProcessEnvironment;;toEnvironmentBlock;;static java.lang.String toEnvironmentBlock(java.util.Map);;1
java.lang.ProcessEnvironment;;put;;public volatile java.lang.Object put(java.lang.Object, java.lang.Object);;2
java.lang.invoke.MethodType;;equals;;public boolean equals(java.lang.Object);;1
java.lang.reflect.Proxy;;getInvocationHandler;;public static java.lang.reflect.InvocationHandler getInvocationHandler(java.lang.Object) throws java.lang.IllegalArgumentException;;1
