class name;;Method name;;method Declaration;;number of detected pattern
java.lang.String;;<init>;;public void <init>(java.lang.String);;1
java.lang.String;;<init>;;public void <init>(int[], int, int);;1
java.lang.String;;<init>;;public void <init>(byte[], int, int, int);;1
java.lang.String;;<init>;;public void <init>(byte[], int, int, java.lang.String) throws java.io.UnsupportedEncodingException;;1
java.lang.String;;<init>;;public void <init>(byte[], int, int, java.nio.charset.Charset);;1
java.lang.String;;<init>;;public void <init>(java.lang.StringBuffer);;1
java.lang.String;;<init>;;public void <init>(java.lang.StringBuilder);;1
java.lang.String;;getBytes;;public void getBytes(int, int, byte[], int);;1
java.lang.String;;getBytes;;public byte[] getBytes(java.lang.String) throws java.io.UnsupportedEncodingException;;1
java.lang.String;;getBytes;;public byte[] getBytes(java.nio.charset.Charset);;1
java.lang.String;;equals;;public boolean equals(java.lang.Object);;1
java.lang.String;;contentEquals;;public boolean contentEquals(java.lang.StringBuffer);;1
java.lang.String;;contentEquals;;public boolean contentEquals(java.lang.CharSequence);;1
java.lang.String;;compareTo;;public int compareTo(java.lang.String);;1
java.lang.String;;regionMatches;;public boolean regionMatches(int, java.lang.String, int, int);;1
java.lang.String;;regionMatches;;public boolean regionMatches(boolean, int, java.lang.String, int, int);;1
java.lang.String;;startsWith;;public boolean startsWith(java.lang.String, int);;1
java.lang.String;;endsWith;;public boolean endsWith(java.lang.String);;1
java.lang.String;;indexOf;;public int indexOf(java.lang.String, int);;1
java.lang.String;;indexOf;;static int indexOf(char[], int, int, char[], int, int, int);;2
java.lang.String;;lastIndexOf;;public int lastIndexOf(java.lang.String, int);;1
java.lang.String;;lastIndexOf;;static int lastIndexOf(char[], int, int, char[], int, int, int);;2
java.lang.String;;concat;;public java.lang.String concat(java.lang.String);;1
java.lang.String;;contains;;public boolean contains(java.lang.CharSequence);;1
java.lang.String;;replace;;public java.lang.String replace(java.lang.CharSequence, java.lang.CharSequence);;2
java.lang.String;;split;;public java.lang.String[] split(java.lang.String, int);;1
java.lang.String;;toLowerCase;;public java.lang.String toLowerCase(java.util.Locale);;1
java.lang.String;;toUpperCase;;public java.lang.String toUpperCase(java.util.Locale);;1
java.lang.Throwable;;setStackTrace;;public void setStackTrace(java.lang.StackTraceElement[]);;1
java.lang.Throwable;;addSuppressed;;public final synchronized void addSuppressed(java.lang.Throwable);;1
java.lang.StackTraceElement;;equals;;public boolean equals(java.lang.Object);;1
java.lang.Class;;asSubclass;;public java.lang.Class asSubclass(java.lang.Class);;1
java.lang.Class;;getAnnotation;;public java.lang.annotation.Annotation getAnnotation(java.lang.Class);;1
java.lang.Class;;isAnnotationPresent;;public boolean isAnnotationPresent(java.lang.Class);;1
java.lang.StringBuffer;;<init>;;public void <init>(java.lang.String);;1
java.lang.StringBuffer;;<init>;;public void <init>(java.lang.CharSequence);;1
java.lang.StringBuffer;;indexOf;;public synchronized int indexOf(java.lang.String, int);;1
java.lang.StringBuffer;;lastIndexOf;;public synchronized int lastIndexOf(java.lang.String, int);;1
java.lang.AbstractStringBuilder;;replace;;public java.lang.AbstractStringBuilder replace(int, int, java.lang.String);;1
java.lang.AbstractStringBuilder;;indexOf;;public int indexOf(java.lang.String, int);;1
java.lang.AbstractStringBuilder;;lastIndexOf;;public int lastIndexOf(java.lang.String, int);;1
