class name;;Method name;;number of detected pattern;;method Declaration;;parameter;;number of occurrences;;occurrenceType;;unitOnwhichOccurrenceIsDetected;;commentFragment
java.net.URL;;<init>;;1;;public void <init>(java.lang.String, java.lang.String, int, java.lang.String, java.net.URLStreamHandler) throws java.net.MalformedURLException
*;; * ;; * ;;*;;r1;;1
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;r7 = virtualinvoke r1.<java.lang.String: java.lang.String toLowerCase()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
java.net.URL;;<init>;;3;;public void <init>(java.net.URL, java.lang.String, java.net.URLStreamHandler) throws java.net.MalformedURLException
*;; * ;; * ;;*;;r3;;1
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r3.<java.net.URLStreamHandler: void parseURL(java.net.URL,java.lang.String,int,int)>(r0, r2, i0, i1);;pattern detected param  r3 must not be null  because used in  InvokeExpr 
*;; * ;; * ;;*;;r1;;2
*;;*;;*;;*;;*;;*;;FieldRef for param;;$r34 = r1.<java.net.URL: java.lang.String query>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for param;;$r36 = r1.<java.net.URL: java.lang.String ref>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;; * ;; * ;;*;;r2;;10
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;i1 = virtualinvoke r2.<java.lang.String: int length()>();;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$c5 = virtualinvoke r2.<java.lang.String: char charAt(int)>($i4);;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$c6 = virtualinvoke r2.<java.lang.String: char charAt(int)>(i0);;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$z2 = virtualinvoke r2.<java.lang.String: boolean regionMatches(boolean,int,java.lang.String,int,int)>(1, i0, "url:", 0, 4);;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$i7 = virtualinvoke r2.<java.lang.String: int length()>();;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$c8 = virtualinvoke r2.<java.lang.String: char charAt(int)>(i0);;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$c9 = virtualinvoke r2.<java.lang.String: char charAt(int)>(i2);;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r8 = virtualinvoke r2.<java.lang.String: java.lang.String substring(int,int)>(i0, i2);;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;i11 = virtualinvoke r2.<java.lang.String: int indexOf(int,int)>(35, i0);;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r33 = virtualinvoke r2.<java.lang.String: java.lang.String substring(int,int)>($i12, i1);;pattern detected param  r2 must not be null  because used in  InvokeExpr 
java.net.URL;;set;;1;;protected void set(java.lang.String, java.lang.String, int, java.lang.String, java.lang.String)
*;; * ;; * ;;*;;r3;;3
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;i1 = virtualinvoke r3.<java.lang.String: int lastIndexOf(int)>(63);;pattern detected param  r3 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r14 = virtualinvoke r3.<java.lang.String: java.lang.String substring(int)>($i2);;pattern detected param  r3 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r15 = virtualinvoke r3.<java.lang.String: java.lang.String substring(int,int)>(0, i1);;pattern detected param  r3 must not be null  because used in  InvokeExpr 
java.net.URL;;openConnection;;1;;public java.net.URLConnection openConnection(java.net.Proxy) throws java.io.IOException
*;; * ;; * ;;*;;r1;;1
*;;*;;*;;*;;*;;*;;ThrowStmt for param;;throw $r5;;pattern detected param  r1 must not be null  otherwise an exception is thrown 
