class name;;Method name;;method Declaration;;number of detected pattern
java.net.AbstractPlainDatagramSocketImpl;;joinGroup;;protected void joinGroup(java.net.SocketAddress, java.net.NetworkInterface) throws java.io.IOException;;1
java.net.AbstractPlainDatagramSocketImpl;;leaveGroup;;protected void leaveGroup(java.net.SocketAddress, java.net.NetworkInterface) throws java.io.IOException;;1
java.net.AbstractPlainDatagramSocketImpl;;setOption;;public void setOption(int, java.lang.Object) throws java.net.SocketException;;1
java.net.DatagramPacket;;setSocketAddress;;public synchronized void setSocketAddress(java.net.SocketAddress);;1
java.net.NetworkInterface;;getByInetAddress;;public static java.net.NetworkInterface getByInetAddress(java.net.InetAddress) throws java.net.SocketException;;1
java.net.AbstractPlainSocketImpl;;connect;;protected void connect(java.net.SocketAddress, int) throws java.io.IOException;;1
java.net.AbstractPlainSocketImpl;;setOption;;public void setOption(int, java.lang.Object) throws java.net.SocketException;;1
java.net.Socket;;connect;;public void connect(java.net.SocketAddress, int) throws java.io.IOException;;1
java.net.Socket;;bind;;public void bind(java.net.SocketAddress) throws java.io.IOException;;1
java.net.ServerSocket;;bind;;public void bind(java.net.SocketAddress, int) throws java.io.IOException;;1
java.net.Proxy;;<init>;;public void <init>(java.net.Proxy$Type, java.net.SocketAddress);;1
java.net.URI;;compareTo;;public volatile int compareTo(java.lang.Object);;1
java.net.DatagramSocket;;bind;;public synchronized void bind(java.net.SocketAddress) throws java.net.SocketException;;1
java.net.DatagramSocket;;connect;;public void connect(java.net.SocketAddress) throws java.net.SocketException;;1
java.net.Inet4Address;;equals;;public boolean equals(java.lang.Object);;1
java.net.MulticastSocket;;joinGroup;;public void joinGroup(java.net.SocketAddress, java.net.NetworkInterface) throws java.io.IOException;;1
java.net.MulticastSocket;;leaveGroup;;public void leaveGroup(java.net.SocketAddress, java.net.NetworkInterface) throws java.io.IOException;;1
java.net.DualStackPlainDatagramSocketImpl;;socketSetOption;;protected void socketSetOption(int, java.lang.Object) throws java.net.SocketException;;1
java.net.PlainSocketImpl;;accept;;protected synchronized void accept(java.net.SocketImpl) throws java.io.IOException;;1
java.net.SocksSocketImpl;;connect;;protected void connect(java.net.SocketAddress, int) throws java.io.IOException;;1
