class name;;number of detected pattern
java.nio.DirectFloatBufferRU;;0
java.nio.ByteBufferAsLongBufferRL;;0
java.nio.charset.IllegalCharsetNameException;;0
java.nio.channels.Channels;;0
java.nio.ByteBufferAsCharBufferRB;;0
java.nio.channels.IllegalSelectorException;;0
java.nio.ByteBufferAsCharBufferRL;;0
java.nio.DirectFloatBufferRS;;0
java.nio.ByteBufferAsLongBufferRB;;0
java.nio.BufferUnderflowException;;0
java.nio.channels.FileLockInterruptionException;;0
java.nio.DirectByteBufferR;;0
java.nio.file.ReadOnlyFileSystemException;;0
java.nio.charset.CharsetEncoder;;0
java.nio.file.FileSystemLoopException;;0
java.nio.DirectCharBufferRU;;0
java.nio.channels.OverlappingFileLockException;;0
java.nio.channels.AsynchronousCloseException;;0
java.nio.HeapLongBufferR;;0
java.nio.DirectCharBufferRS;;0
java.nio.channels.NonReadableChannelException;;0
java.nio.ByteBufferAsLongBufferL;;0
java.nio.file.FileSystemNotFoundException;;0
java.nio.DoubleBuffer;;1
java.nio.channels.Pipe;;0
java.nio.HeapByteBuffer;;0
java.nio.ByteBufferAsLongBufferB;;0
java.nio.HeapLongBuffer;;0
java.nio.CharBuffer;;1
java.nio.HeapFloatBufferR;;0
java.nio.file.attribute.UserPrincipalNotFoundException;;0
java.nio.file.ProviderNotFoundException;;0
java.nio.file.FileSystemAlreadyExistsException;;0
java.nio.file.ClosedWatchServiceException;;0
java.nio.file.attribute.PosixFilePermissions;;0
java.nio.DirectShortBufferRU;;0
java.nio.channels.AsynchronousFileChannel;;0
java.nio.file.LinkOption;;0
java.nio.InvalidMarkException;;0
java.nio.charset.StandardCharsets;;0
java.nio.DirectShortBufferRS;;0
java.nio.file.attribute.AclEntry;;0
java.nio.file.FileSystemException;;0
java.nio.channels.SelectableChannel;;0
java.nio.StringCharBuffer;;0
java.nio.channels.ClosedChannelException;;0
java.nio.channels.AlreadyConnectedException;;0
java.nio.file.attribute.UserPrincipalLookupService;;0
java.nio.channels.MembershipKey;;0
java.nio.DirectByteBuffer;;0
java.nio.file.FileAlreadyExistsException;;0
java.nio.channels.NoConnectionPendingException;;0
java.nio.channels.AcceptPendingException;;0
java.nio.channels.CancelledKeyException;;0
java.nio.FloatBuffer;;1
java.nio.charset.CodingErrorAction;;0
java.nio.channels.spi.SelectorProvider;;0
java.nio.file.Files;;0
java.nio.IntBuffer;;1
java.nio.channels.AsynchronousChannelGroup;;0
java.nio.DirectDoubleBufferRS;;0
java.nio.DirectDoubleBufferRU;;0
java.nio.ByteBufferAsIntBufferL;;0
java.nio.file.attribute.FileTime;;1
java.nio.ByteBufferAsIntBufferB;;0
java.nio.channels.AlreadyBoundException;;0
java.nio.channels.spi.AbstractInterruptibleChannel;;0
java.nio.ByteBufferAsCharBufferB;;0
java.nio.file.Paths;;0
java.nio.HeapIntBuffer;;0
java.nio.channels.SelectionKey;;0
java.nio.DirectFloatBufferS;;0
java.nio.channels.Selector;;0
java.nio.DirectFloatBufferU;;0
java.nio.channels.ReadPendingException;;0
java.nio.file.attribute.PosixFilePermission;;0
java.nio.ByteBufferAsCharBufferL;;0
java.nio.channels.FileLock;;0
java.nio.file.FileSystems;;0
java.nio.ByteBufferAsDoubleBufferL;;0
java.nio.DirectCharBufferU;;0
java.nio.file.attribute.AclEntryType;;0
java.nio.file.NotDirectoryException;;0
java.nio.file.CopyMoveHelper;;0
java.nio.ByteBufferAsFloatBufferB;;0
java.nio.ByteBufferAsDoubleBufferB;;0
java.nio.channels.spi.AbstractSelectionKey;;0
java.nio.DirectLongBufferRS;;0
java.nio.channels.UnsupportedAddressTypeException;;0
java.nio.DirectCharBufferS;;0
java.nio.ByteBufferAsFloatBufferL;;0
java.nio.file.FileVisitOption;;0
java.nio.channels.IllegalChannelGroupException;;0
java.nio.DirectLongBufferRU;;0
