class name;;Method name;;number of detected pattern;;method Declaration;;parameter;;number of occurrences;;occurrenceType;;unitOnwhichOccurrenceIsDetected;;commentFragment
java.rmi.AccessException;;<init>;;1;;public void <init>(java.lang.String);;;;;;;;;;
*;; * ;; * ;;*;;r1;;1;;;;;;
*;;*;;*;;*;;*;;*;;NullAllowed for param;;specialinvoke r0.<java.rmi.RemoteException: void <init>(java.lang.String)>(r1);;NullAllowed pattern detected param is  :r1
java.rmi.AccessException;;<init>;;2;;public void <init>(java.lang.String, java.lang.Exception);;;;;;;;;;
*;; * ;; * ;;*;;r1;;1;;;;;;
*;;*;;*;;*;;*;;*;;NullAllowed for param;;r2 := @parameter1: java.lang.Exception;;NullAllowed pattern detected param is  :r1
*;; * ;; * ;;*;;r2;;1;;;;;;
*;;*;;*;;*;;*;;*;;NullAllowed for param;;specialinvoke r0.<java.rmi.RemoteException: void <init>(java.lang.String,java.lang.Throwable)>(r1, r2);;NullAllowed pattern detected param is  :r2
java.rmi.RemoteException;;<init>;;1;;public void <init>(java.lang.String);;;;;;;;;;
*;; * ;; * ;;*;;r1;;1;;;;;;
*;;*;;*;;*;;*;;*;;NullAllowed for param;;specialinvoke r0.<java.io.IOException: void <init>(java.lang.String)>(r1);;NullAllowed pattern detected param is  :r1
java.rmi.RemoteException;;<init>;;2;;public void <init>(java.lang.String, java.lang.Throwable);;;;;;;;;;
*;; * ;; * ;;*;;r1;;1;;;;;;
*;;*;;*;;*;;*;;*;;NullAllowed for param;;r2 := @parameter1: java.lang.Throwable;;NullAllowed pattern detected param is  :r1
*;; * ;; * ;;*;;r2;;1;;;;;;
*;;*;;*;;*;;*;;*;;NullAllowed for param;;specialinvoke r0.<java.io.IOException: void <init>(java.lang.String)>(r1);;NullAllowed pattern detected param is  :r2
java.rmi.AlreadyBoundException;;<init>;;1;;public void <init>(java.lang.String);;;;;;;;;;
*;; * ;; * ;;*;;r1;;1;;;;;;
*;;*;;*;;*;;*;;*;;NullAllowed for param;;specialinvoke r0.<java.lang.Exception: void <init>(java.lang.String)>(r1);;NullAllowed pattern detected param is  :r1
java.rmi.ConnectException;;<init>;;1;;public void <init>(java.lang.String);;;;;;;;;;
*;; * ;; * ;;*;;r1;;1;;;;;;
*;;*;;*;;*;;*;;*;;NullAllowed for param;;specialinvoke r0.<java.rmi.RemoteException: void <init>(java.lang.String)>(r1);;NullAllowed pattern detected param is  :r1
java.rmi.ConnectException;;<init>;;2;;public void <init>(java.lang.String, java.lang.Exception);;;;;;;;;;
*;; * ;; * ;;*;;r1;;1;;;;;;
*;;*;;*;;*;;*;;*;;NullAllowed for param;;r2 := @parameter1: java.lang.Exception;;NullAllowed pattern detected param is  :r1
*;; * ;; * ;;*;;r2;;1;;;;;;
*;;*;;*;;*;;*;;*;;NullAllowed for param;;specialinvoke r0.<java.rmi.RemoteException: void <init>(java.lang.String,java.lang.Throwable)>(r1, r2);;NullAllowed pattern detected param is  :r2
java.rmi.ConnectIOException;;<init>;;1;;public void <init>(java.lang.String);;;;;;;;;;
*;; * ;; * ;;*;;r1;;1;;;;;;
*;;*;;*;;*;;*;;*;;NullAllowed for param;;specialinvoke r0.<java.rmi.RemoteException: void <init>(java.lang.String)>(r1);;NullAllowed pattern detected param is  :r1
java.rmi.ConnectIOException;;<init>;;2;;public void <init>(java.lang.String, java.lang.Exception);;;;;;;;;;
*;; * ;; * ;;*;;r1;;1;;;;;;
*;;*;;*;;*;;*;;*;;NullAllowed for param;;r2 := @parameter1: java.lang.Exception;;NullAllowed pattern detected param is  :r1
*;; * ;; * ;;*;;r2;;1;;;;;;
*;;*;;*;;*;;*;;*;;NullAllowed for param;;specialinvoke r0.<java.rmi.RemoteException: void <init>(java.lang.String,java.lang.Throwable)>(r1, r2);;NullAllowed pattern detected param is  :r2
java.rmi.MarshalException;;<init>;;1;;public void <init>(java.lang.String);;;;;;;;;;
*;; * ;; * ;;*;;r1;;1;;;;;;
*;;*;;*;;*;;*;;*;;NullAllowed for param;;specialinvoke r0.<java.rmi.RemoteException: void <init>(java.lang.String)>(r1);;NullAllowed pattern detected param is  :r1
java.rmi.MarshalException;;<init>;;2;;public void <init>(java.lang.String, java.lang.Exception);;;;;;;;;;
*;; * ;; * ;;*;;r1;;1;;;;;;
