class name;;number of detected pattern
java.rmi.RMISecurityManager;;0
java.rmi.activation.ActivationException;;0
java.rmi.activation.ActivationGroupID;;0
java.rmi.activation.ActivateFailedException;;0
java.rmi.ConnectIOException;;0
java.rmi.server.ServerNotActiveException;;0
java.rmi.server.ServerCloneException;;0
java.rmi.UnmarshalException;;0
java.rmi.server.Operation;;0
java.rmi.registry.LocateRegistry;;2
java.rmi.ServerError;;0
java.rmi.ServerException;;0
java.rmi.server.RMIClassLoader;;1
java.rmi.RemoteException;;0
java.rmi.ServerRuntimeException;;0
java.rmi.activation.ActivationID;;0
java.rmi.server.RMISocketFactory;;0
java.rmi.Naming;;0
java.rmi.activation.Activatable;;0
java.rmi.AlreadyBoundException;;0
java.rmi.server.RemoteServer;;1
java.rmi.server.SkeletonMismatchException;;0
java.rmi.activation.ActivationGroupDesc;;0
java.rmi.NoSuchObjectException;;0
java.rmi.server.SkeletonNotFoundException;;0
java.rmi.server.RemoteStub;;0
java.rmi.server.ObjID;;0
java.rmi.server.ExportException;;0
java.rmi.StubNotFoundException;;0
java.rmi.server.UnicastRemoteObject;;0
java.rmi.server.SocketSecurityException;;0
java.rmi.server.LogStream;;0
java.rmi.dgc.VMID;;0
java.rmi.UnexpectedException;;0
java.rmi.dgc.Lease;;0
java.rmi.server.RemoteObject;;1
java.rmi.MarshalledObject;;2
java.rmi.RMISecurityException;;0
java.rmi.MarshalException;;0
java.rmi.AccessException;;0
java.rmi.ConnectException;;0
java.rmi.server.UID;;0
java.rmi.activation.ActivationDesc;;0
java.rmi.server.RMIClassLoaderSpi;;0
java.rmi.NotBoundException;;0
java.rmi.UnknownHostException;;0
java.rmi.activation.UnknownObjectException;;0
java.rmi.server.RemoteObjectInvocationHandler;;0
java.rmi.activation.UnknownGroupException;;0
java.rmi.activation.ActivationGroup;;0
