class name;;number of detected pattern
java.security.acl.NotOwnerException;;0
java.security.spec.PSSParameterSpec;;2
java.security.spec.ECPublicKeySpec;;2
java.security.PolicySpi;;0
java.security.cert.X509Certificate;;0
java.security.spec.InvalidParameterSpecException;;0
java.security.spec.PKCS8EncodedKeySpec;;0
java.security.KeyStoreSpi;;2
java.security.cert.CertificateNotYetValidException;;0
java.security.SecureRandom;;0
java.security.GeneralSecurityException;;0
java.security.spec.EllipticCurve;;4
java.security.SecureClassLoader;;0
java.security.cert.LDAPCertStoreParameters;;1
java.security.AlgorithmParameters;;1
java.security.Permissions;;0
java.security.cert.CertificateRevokedException;;0
java.security.UnresolvedPermissionCollection;;2
java.security.IdentityScope;;1
java.security.cert.CertificateException;;0
java.security.AccessControlException;;0
java.security.cert.CertPathValidatorException;;2
java.security.AccessController;;1
java.security.cert.CertificateEncodingException;;0
java.security.cert.CertPathBuilderSpi;;0
java.security.KeyStoreException;;0
java.security.spec.DSAParameterSpec;;0
java.security.cert.PKIXCertPathValidatorResult;;2
java.security.cert.CertificateParsingException;;0
java.security.MessageDigest;;6
java.security.MessageDigestSpi;;1
java.security.cert.CertStoreSpi;;0
java.security.cert.PolicyQualifierInfo;;1
java.security.GuardedObject;;0
java.security.UnrecoverableEntryException;;0
java.security.AccessControlContext;;4
java.security.InvalidAlgorithmParameterException;;0
java.security.InvalidKeyException;;0
java.security.spec.RSAPrivateCrtKeySpec;;0
java.security.cert.PKIXCertPathChecker;;0
java.security.cert.CRL;;0
java.security.cert.CertStore;;0
java.security.Timestamp;;0
java.security.spec.ECFieldF2m;;2
java.security.cert.CRLReason;;0
java.security.AlgorithmParametersSpi;;0
java.security.cert.PKIXParameters;;2
java.security.KeyPairGenerator;;0
java.security.spec.DSAPrivateKeySpec;;0
java.security.Provider;;2
java.security.cert.PKIXBuilderParameters;;0
java.security.spec.X509EncodedKeySpec;;0
java.security.NoSuchProviderException;;0
java.security.DigestOutputStream;;0
java.security.Signature;;7
java.security.KeyException;;0
java.security.cert.TrustAnchor;;3
java.security.cert.X509CRLSelector;;3
java.security.KeyManagementException;;0
java.security.spec.ECPoint;;1
java.security.SignatureException;;0
java.security.NoSuchAlgorithmException;;0
java.security.cert.CertPathHelperImpl;;2
java.security.cert.CertPathValidatorSpi;;0
java.security.KeyRep;;0
java.security.cert.CollectionCertStoreParameters;;1
java.security.Signer;;1
java.security.CodeSource;;1
java.security.SecureRandomSpi;;0
java.security.cert.PKIXReason;;0
java.security.Security;;5
java.security.cert.Certificate;;0
java.security.cert.CertificateFactorySpi;;0
java.security.Permission;;0
java.security.KeyPair;;0
java.security.cert.X509CRL;;1
java.security.KeyStore;;2
java.security.DigestInputStream;;0
java.security.spec.InvalidKeySpecException;;0
java.security.PermissionCollection;;0
java.security.CodeSigner;;1
java.security.InvalidParameterException;;0
java.security.spec.RSAPrivateKeySpec;;0
java.security.AlgorithmParameterGenerator;;1
java.security.CryptoPrimitive;;0
java.security.spec.RSAPublicKeySpec;;0
java.security.DigestException;;0
java.security.spec.ECParameterSpec;;3
java.security.cert.X509CRLEntry;;1
java.security.BasicPermission;;0
java.security.Identity;;3
java.security.cert.CertPathBuilder;;0
java.security.spec.DSAPublicKeySpec;;0
java.security.cert.CertificateFactory;;0
java.security.cert.CertPathBuilderException;;0
java.security.KeyFactorySpi;;0
java.security.PrivilegedActionException;;0
java.security.ProviderException;;0
java.security.spec.ECGenParameterSpec;;1
java.security.cert.PKIXCertPathBuilderResult;;1
java.security.KeyPairGeneratorSpi;;0
java.security.UnresolvedPermission;;3
java.security.spec.MGF1ParameterSpec;;1
java.security.spec.ECPrivateKeySpec;;2
java.security.spec.RSAOtherPrimeInfo;;3
java.security.SignatureSpi;;1
java.security.URIParameter;;1
java.security.cert.X509CertSelector;;3
java.security.cert.CertStoreException;;0
java.security.cert.CertificateExpiredException;;0
java.security.cert.CertPath;;1
java.security.SecurityPermission;;0
java.security.AuthProvider;;0
java.security.spec.RSAKeyGenParameterSpec;;0
java.security.spec.RSAMultiPrimePrivateCrtKeySpec;;8
java.security.KeyFactory;;0
java.security.spec.ECFieldFp;;2
java.security.cert.CRLException;;0
java.security.Policy;;2
java.security.AlgorithmParameterGeneratorSpi;;0
java.security.cert.CertPathValidator;;0
java.security.acl.AclNotFoundException;;0
java.security.UnrecoverableKeyException;;0
java.security.spec.EncodedKeySpec;;1
java.security.SignedObject;;1
java.security.AllPermission;;0
java.security.ProtectionDomain;;0
java.security.acl.LastOwnerException;;0
