class name;;Method name;;method Declaration;;number of detected pattern
java.security.AccessControlContext;;<init>;;public void <init>(java.security.ProtectionDomain[]);;1
java.security.AccessControlContext;;<init>;;public void <init>(java.security.AccessControlContext, java.security.DomainCombiner);;1
java.security.AccessControlContext;;checkPermission;;public void checkPermission(java.security.Permission) throws java.security.AccessControlException;;1
java.security.AccessControlContext;;equals;;public boolean equals(java.lang.Object);;1
java.security.AccessController;;checkPermission;;public static void checkPermission(java.security.Permission) throws java.security.AccessControlException;;1
java.security.CodeSource;;equals;;public boolean equals(java.lang.Object);;1
java.security.Policy;;getInstance;;public static java.security.Policy getInstance(java.lang.String, java.security.Policy$Parameters, java.security.Provider) throws java.security.NoSuchAlgorithmException;;1
java.security.Policy;;implies;;public boolean implies(java.security.ProtectionDomain, java.security.Permission);;1
java.security.CodeSigner;;<init>;;public void <init>(java.security.cert.CertPath, java.security.Timestamp);;1
java.security.Provider;;putService;;protected synchronized void putService(java.security.Provider$Service);;1
java.security.Provider;;removeService;;protected synchronized void removeService(java.security.Provider$Service);;1
java.security.AlgorithmParameters;;getInstance;;public static java.security.AlgorithmParameters getInstance(java.lang.String, java.security.Provider) throws java.security.NoSuchAlgorithmException;;1
java.security.AlgorithmParameterGenerator;;getInstance;;public static java.security.AlgorithmParameterGenerator getInstance(java.lang.String, java.security.Provider) throws java.security.NoSuchAlgorithmException;;1
java.security.Security;;insertProviderAt;;public static synchronized int insertProviderAt(java.security.Provider, int);;1
java.security.Security;;getProviders;;public static java.security.Provider[] getProviders(java.lang.String);;1
java.security.Security;;getProviders;;public static java.security.Provider[] getProviders(java.util.Map);;1
java.security.Security;;getFilterComponents;;static java.lang.String[] getFilterComponents(java.lang.String, java.lang.String);;2
java.security.MessageDigest;;getInstance;;public static java.security.MessageDigest getInstance(java.lang.String, java.security.Provider) throws java.security.NoSuchAlgorithmException;;1
java.security.MessageDigest;;update;;public void update(byte[], int, int);;1
java.security.MessageDigest;;update;;public final void update(java.nio.ByteBuffer);;1
java.security.MessageDigest;;digest;;public int digest(byte[], int, int) throws java.security.DigestException;;1
java.security.MessageDigest;;isEqual;;public static boolean isEqual(byte[], byte[]);;2
java.security.MessageDigestSpi;;engineUpdate;;protected void engineUpdate(java.nio.ByteBuffer);;1
java.security.cert.CertPath;;equals;;public boolean equals(java.lang.Object);;1
java.security.Identity;;addCertificate;;public void addCertificate(java.security.Certificate) throws java.security.KeyManagementException;;1
java.security.Identity;;equals;;public final boolean equals(java.lang.Object);;1
