class name;;number of detected pattern
java.text.spi.DateFormatSymbolsProvider;;0
java.text.CollationElementIterator;;3
java.text.ChoiceFormat;;4
java.text.PatternEntry;;5
java.text.RBTableBuilder;;1
java.text.DigitList;;4
java.text.CalendarBuilder;;1
java.text.DontCareFieldPosition;;0
java.text.Annotation;;0
java.text.FieldPosition;;0
java.text.spi.BreakIteratorProvider;;0
java.text.RBCollationTables;;2
java.text.CollationKey;;1
java.text.DecimalFormat;;9
java.text.StringCharacterIterator;;4
java.text.CollationRules;;0
java.text.spi.DateFormatProvider;;0
java.text.BreakDictionary;;0
java.text.BreakIterator;;3
java.text.MergeCollation;;0
java.text.DictionaryBasedBreakIterator;;0
java.text.SimpleDateFormat;;8
java.text.DateFormatSymbols;;3
java.text.RuleBasedCollator;;0
java.text.spi.CollatorProvider;;0
java.text.RuleBasedCollationKey;;0
java.text.RuleBasedBreakIterator;;2
java.text.EntryPair;;0
java.text.ParsePosition;;0
java.text.Collator;;0
java.text.spi.NumberFormatProvider;;0
java.text.Format;;0
java.text.Normalizer;;2
java.text.AttributedString;;7
java.text.MessageFormat;;5
java.text.DecimalFormatSymbols;;2
java.text.Bidi;;3
java.text.CharacterIteratorFieldDelegate;;2
java.text.ParseException;;0
java.text.spi.DecimalFormatSymbolsProvider;;0
java.text.DateFormat;;1
java.text.NumberFormat;;1
