class name;;number of detected pattern
java.text.spi.DateFormatSymbolsProvider;;0
java.text.CollationElementIterator;;0
java.text.ChoiceFormat;;0
java.text.PatternEntry;;0
java.text.RBTableBuilder;;0
java.text.DigitList;;0
java.text.CalendarBuilder;;0
java.text.DontCareFieldPosition;;0
java.text.Annotation;;0
java.text.FieldPosition;;0
java.text.spi.BreakIteratorProvider;;0
java.text.RBCollationTables;;0
java.text.CollationKey;;1
java.text.DecimalFormat;;2
java.text.StringCharacterIterator;;0
java.text.CollationRules;;0
java.text.spi.DateFormatProvider;;0
java.text.BreakDictionary;;0
java.text.BreakIterator;;0
java.text.MergeCollation;;0
java.text.DictionaryBasedBreakIterator;;0
java.text.SimpleDateFormat;;1
java.text.DateFormatSymbols;;0
java.text.RuleBasedCollator;;0
java.text.spi.CollatorProvider;;0
java.text.RuleBasedCollationKey;;2
java.text.RuleBasedBreakIterator;;0
java.text.EntryPair;;0
java.text.ParsePosition;;0
java.text.Collator;;2
java.text.spi.NumberFormatProvider;;0
java.text.Format;;0
java.text.Normalizer;;0
java.text.AttributedString;;0
java.text.MessageFormat;;0
java.text.DecimalFormatSymbols;;0
java.text.Bidi;;0
java.text.CharacterIteratorFieldDelegate;;0
java.text.ParseException;;0
java.text.spi.DecimalFormatSymbolsProvider;;0
java.text.DateFormat;;1
java.text.NumberFormat;;1
