class name;;number of detected pattern
java.util.ArrayDeque;;3
java.util.logging.StreamHandler;;1
java.util.spi.LocaleNameProvider;;0
java.util.zip.DataFormatException;;0
java.util.BitSet;;0
java.util.IllegalFormatFlagsException;;0
java.util.zip.DeflaterOutputStream;;0
java.util.prefs.BackingStoreException;;0
java.util.Locale;;1
java.util.ResourceBundle;;0
java.util.ServiceConfigurationError;;0
java.util.LinkedList;;4
java.util.prefs.InvalidPreferencesFormatException;;0
java.util.jar.JarException;;0
java.util.jar.JarOutputStream;;0
java.util.concurrent.ExecutorCompletionService;;0
java.util.zip.ZStreamRef;;0
java.util.XMLUtils;;0
java.util.concurrent.locks.ReentrantReadWriteLock;;0
java.util.ServiceLoader;;0
java.util.zip.ZipInputStream;;0
java.util.concurrent.locks.AbstractQueuedLongSynchronizer;;0
java.util.concurrent.atomic.AtomicBoolean;;0
java.util.prefs.Base64;;0
java.util.logging.ErrorManager;;0
java.util.spi.CurrencyNameProvider;;0
java.util.zip.ZipError;;0
java.util.logging.Logging;;0
java.util.HashMap;;6
java.util.concurrent.locks.AbstractQueuedSynchronizer;;0
java.util.concurrent.ExecutionException;;0
java.util.TreeSet;;0
java.util.jar.JarInputStream;;0
java.util.Formatter;;1
java.util.zip.ZipEntry;;0
java.util.concurrent.ForkJoinPool;;1
java.util.prefs.XmlSupport;;0
java.util.ConcurrentModificationException;;0
java.util.Hashtable;;0
java.util.concurrent.Semaphore;;0
java.util.zip.ZipCoder;;0
java.util.Scanner;;0
java.util.Dictionary;;0
java.util.Observable;;0
java.util.prefs.PreferenceChangeEvent;;0
java.util.regex.Matcher;;0
java.util.logging.Logger;;2
java.util.WeakHashMap;;2
java.util.StringTokenizer;;0
java.util.EmptyStackException;;0
java.util.prefs.WindowsPreferences;;0
java.util.concurrent.ThreadLocalRandom;;0
java.util.UnknownFormatConversionException;;0
java.util.TimeZone;;0
java.util.concurrent.Exchanger;;2
java.util.MissingResourceException;;0
java.util.InvalidPropertiesFormatException;;1
java.util.concurrent.ConcurrentSkipListMap;;1
java.util.concurrent.atomic.AtomicReferenceFieldUpdater;;0
java.util.zip.ZipException;;0
java.util.PriorityQueue;;0
java.util.concurrent.ScheduledThreadPoolExecutor;;0
java.util.FormatFlagsConversionMismatchException;;0
java.util.jar.Attributes;;0
java.util.concurrent.ConcurrentHashMap;;2
java.util.JapaneseImperialCalendar;;0
java.util.concurrent.Phaser;;1
java.util.ComparableTimSort;;0
java.util.RegularEnumSet;;2
java.util.concurrent.CopyOnWriteArrayList;;0
java.util.NoSuchElementException;;0
java.util.logging.FileHandler;;0
java.util.concurrent.RecursiveAction;;0
java.util.logging.Handler;;0
java.util.concurrent.CountDownLatch;;0
java.util.Calendar;;0
java.util.concurrent.CyclicBarrier;;0
java.util.ListResourceBundle;;0
java.util.IllegalFormatWidthException;;0
java.util.DuplicateFormatFlagsException;;0
java.util.Collections;;8
java.util.concurrent.atomic.AtomicIntegerFieldUpdater;;0
java.util.GregorianCalendar;;0
java.util.regex.Pattern;;0
java.util.MissingFormatArgumentException;;0
java.util.concurrent.atomic.AtomicReference;;0
java.util.spi.LocaleServiceProvider;;0
java.util.logging.ConsoleHandler;;0
java.util.IllegalFormatPrecisionException;;0
java.util.concurrent.LinkedBlockingDeque;;3
java.util.zip.GZIPInputStream;;0
java.util.Date;;1
java.util.regex.UnicodeProp;;0
java.util.concurrent.atomic.AtomicStampedReference;;0
java.util.AbstractQueue;;0
java.util.logging.SocketHandler;;0
java.util.HashSet;;0
java.util.IllformedLocaleException;;0
java.util.zip.InflaterInputStream;;0
java.util.zip.Deflater;;0
java.util.prefs.AbstractPreferences;;1
java.util.LinkedHashSet;;0
java.util.logging.LoggingProxyImpl;;0
java.util.jar.JavaUtilJarAccessImpl;;0
java.util.jar.Pack200;;0
java.util.concurrent.ForkJoinWorkerThread;;1
java.util.jar.JarVerifier;;1
java.util.concurrent.BrokenBarrierException;;0
java.util.zip.GZIPOutputStream;;0
java.util.concurrent.AbstractExecutorService;;0
java.util.concurrent.ThreadPoolExecutor;;0
java.util.AbstractMap;;4
java.util.spi.TimeZoneNameProvider;;0
java.util.InputMismatchException;;0
java.util.zip.ZipOutputStream;;0
java.util.regex.ASCII;;0
java.util.EventListenerProxy;;0
java.util.concurrent.SynchronousQueue;;0
java.util.concurrent.CopyOnWriteArraySet;;0
java.util.zip.CheckedOutputStream;;0
java.util.TreeMap;;6
java.util.TimerTask;;0
java.util.concurrent.locks.LockSupport;;0
java.util.AbstractSet;;0
java.util.concurrent.atomic.AtomicIntegerArray;;0
java.util.concurrent.LinkedBlockingQueue;;2
java.util.LinkedHashMap;;1
java.util.concurrent.DelayQueue;;0
java.util.TooManyListenersException;;0
java.util.AbstractCollection;;2
java.util.concurrent.atomic.AtomicLongFieldUpdater;;0
java.util.IllegalFormatCodePointException;;0
java.util.concurrent.atomic.AtomicMarkableReference;;0
java.util.UnknownFormatFlagsException;;0
java.util.Currency;;0
java.util.Properties;;0
java.util.zip.CheckedInputStream;;0
java.util.logging.LogManager;;0
java.util.concurrent.Executors;;0
java.util.concurrent.ConcurrentSkipListSet;;0
java.util.Objects;;2
java.util.concurrent.RecursiveTask;;0
java.util.concurrent.LinkedTransferQueue;;1
java.util.jar.JarFile;;0
java.util.ArrayList;;3
java.util.prefs.Preferences;;0
