class name;;Method name;;method Declaration;;number of detected pattern
java.util.WeakHashMap;;<init>;;public void <init>(java.util.Map);;1
java.util.WeakHashMap;;hash;;int hash(java.lang.Object);;1
java.util.WeakHashMap;;putAll;;public void putAll(java.util.Map);;1
java.util.WeakHashMap;;removeMapping;;boolean removeMapping(java.lang.Object);;1
java.util.AbstractMap;;putAll;;public void putAll(java.util.Map);;1
java.util.AbstractMap;;equals;;public boolean equals(java.lang.Object);;1
java.util.AbstractCollection;;toArray;;public java.lang.Object[] toArray(java.lang.Object[]);;1
java.util.AbstractCollection;;containsAll;;public boolean containsAll(java.util.Collection);;1
java.util.AbstractCollection;;addAll;;public boolean addAll(java.util.Collection);;1
java.util.AbstractCollection;;removeAll;;public boolean removeAll(java.util.Collection);;1
java.util.AbstractCollection;;retainAll;;public boolean retainAll(java.util.Collection);;1
java.util.Arrays;;fill;;public static void fill(long[], long);;1
java.util.Arrays;;fill;;public static void fill(long[], int, int, long);;1
java.util.Arrays;;fill;;public static void fill(int[], int);;1
java.util.Arrays;;fill;;public static void fill(int[], int, int, int);;1
java.util.Arrays;;fill;;public static void fill(short[], short);;1
java.util.Arrays;;fill;;public static void fill(short[], int, int, short);;1
java.util.Arrays;;fill;;public static void fill(char[], char);;1
java.util.Arrays;;fill;;public static void fill(char[], int, int, char);;1
java.util.Arrays;;fill;;public static void fill(byte[], byte);;1
java.util.Arrays;;fill;;public static void fill(byte[], int, int, byte);;1
java.util.Arrays;;fill;;public static void fill(boolean[], boolean);;1
java.util.Arrays;;fill;;public static void fill(boolean[], int, int, boolean);;1
java.util.Arrays;;fill;;public static void fill(double[], double);;1
java.util.Arrays;;fill;;public static void fill(double[], int, int, double);;1
java.util.Arrays;;fill;;public static void fill(float[], float);;1
java.util.Arrays;;fill;;public static void fill(float[], int, int, float);;1
java.util.Arrays;;fill;;public static void fill(java.lang.Object[], java.lang.Object);;1
java.util.Arrays;;fill;;public static void fill(java.lang.Object[], int, int, java.lang.Object);;1
java.util.Arrays;;copyOf;;public static java.lang.Object[] copyOf(java.lang.Object[], int);;1
java.util.Arrays;;copyOf;;public static java.lang.Object[] copyOf(java.lang.Object[], int, java.lang.Class);;1
java.util.Arrays;;copyOfRange;;public static java.lang.Object[] copyOfRange(java.lang.Object[], int, int);;1
java.util.Arrays;;copyOfRange;;public static java.lang.Object[] copyOfRange(java.lang.Object[], int, int, java.lang.Class);;1
java.util.Arrays;;deepEquals0;;static boolean deepEquals0(java.lang.Object, java.lang.Object);;1
java.util.Locale;;getDefault;;public static java.util.Locale getDefault(java.util.Locale$Category);;1
java.util.Locale;;setDefault;;public static synchronized void setDefault(java.util.Locale$Category, java.util.Locale);;2
java.util.Locale;;equals;;public boolean equals(java.lang.Object);;1
java.util.AbstractList;;addAll;;public boolean addAll(int, java.util.Collection);;1
java.util.AbstractList;;equals;;public boolean equals(java.lang.Object);;1
java.util.AbstractSet;;equals;;public boolean equals(java.lang.Object);;1
java.util.AbstractSet;;removeAll;;public boolean removeAll(java.util.Collection);;1
java.util.AbstractQueue;;addAll;;public boolean addAll(java.util.Collection);;1
java.util.AbstractSequentialList;;addAll;;public boolean addAll(int, java.util.Collection);;1
java.util.ArrayDeque;;<init>;;public void <init>(java.util.Collection);;1
java.util.ArrayDeque;;addFirst;;public void addFirst(java.lang.Object);;1
java.util.ArrayDeque;;addLast;;public void addLast(java.lang.Object);;1
java.util.ArrayDeque;;toArray;;public java.lang.Object[] toArray(java.lang.Object[]);;1
java.util.Properties;;loadFromXML;;public synchronized void loadFromXML(java.io.InputStream) throws java.io.IOException, java.util.InvalidPropertiesFormatException;;1
java.util.Properties;;storeToXML;;public void storeToXML(java.io.OutputStream, java.lang.String) throws java.io.IOException;;1
java.util.Properties;;storeToXML;;public void storeToXML(java.io.OutputStream, java.lang.String, java.lang.String) throws java.io.IOException;;1
java.util.Properties;;list;;public void list(java.io.PrintStream);;1
java.util.Properties;;list;;public void list(java.io.PrintWriter);;1
java.util.HashMap;;<init>;;public void <init>(java.util.Map);;1
java.util.HashMap;;hash;;final int hash(java.lang.Object);;1
java.util.HashMap;;transfer;;void transfer(java.util.HashMap$Entry[], boolean);;1
java.util.HashMap;;putAll;;public void putAll(java.util.Map);;1
java.util.HashMap;;removeMapping;;final java.util.HashMap$Entry removeMapping(java.lang.Object);;1
java.util.Hashtable;;<init>;;public void <init>(java.util.Map);;1
java.util.Hashtable;;contains;;public synchronized boolean contains(java.lang.Object);;1
java.util.Hashtable;;put;;public synchronized java.lang.Object put(java.lang.Object, java.lang.Object);;1
java.util.Hashtable;;putAll;;public synchronized void putAll(java.util.Map);;1
java.util.Hashtable;;equals;;public synchronized boolean equals(java.lang.Object);;1
java.util.ArrayList;;<init>;;public void <init>(java.util.Collection);;1
java.util.ArrayList;;toArray;;public java.lang.Object[] toArray(java.lang.Object[]);;1
java.util.ArrayList;;addAll;;public boolean addAll(java.util.Collection);;1
java.util.ArrayList;;addAll;;public boolean addAll(int, java.util.Collection);;1
java.util.DualPivotQuicksort;;sort;;public static void sort(int[], int, int);;1
java.util.DualPivotQuicksort;;sort;;public static void sort(long[], int, int);;1
java.util.DualPivotQuicksort;;sort;;public static void sort(short[], int, int);;1
java.util.DualPivotQuicksort;;sort;;public static void sort(char[], int, int);;1
java.util.DualPivotQuicksort;;sort;;public static void sort(byte[], int, int);;1
java.util.DualPivotQuicksort;;sort;;public static void sort(float[], int, int);;1
java.util.DualPivotQuicksort;;sort;;public static void sort(double[], int, int);;1
java.util.HashSet;;<init>;;public void <init>(java.util.Collection);;1
java.util.Random;;nextBytes;;public void nextBytes(byte[]);;1
java.util.BitSet;;valueOf;;public static java.util.BitSet valueOf(long[]);;1
java.util.BitSet;;valueOf;;public static java.util.BitSet valueOf(java.nio.LongBuffer);;1
java.util.BitSet;;valueOf;;public static java.util.BitSet valueOf(java.nio.ByteBuffer);;1
java.util.BitSet;;intersects;;public boolean intersects(java.util.BitSet);;1
java.util.BitSet;;and;;public void and(java.util.BitSet);;1
java.util.BitSet;;or;;public void or(java.util.BitSet);;1
java.util.BitSet;;xor;;public void xor(java.util.BitSet);;1
java.util.BitSet;;andNot;;public void andNot(java.util.BitSet);;1
java.util.BitSet;;equals;;public boolean equals(java.lang.Object);;1
java.util.Calendar;;setTime;;public final void setTime(java.util.Date);;1
java.util.Calendar;;checkDisplayNameParams;;boolean checkDisplayNameParams(int, int, int, int, java.util.Locale, int);;1
java.util.Calendar;;equals;;public boolean equals(java.lang.Object);;1
java.util.TimeZone;;setID;;public void setID(java.lang.String);;1
java.util.Date;;equals;;public boolean equals(java.lang.Object);;1
java.util.Date;;getMillisOf;;static final long getMillisOf(java.util.Date);;1
java.util.ResourceBundle;;getBundle;;public static java.util.ResourceBundle getBundle(java.lang.String, java.util.Locale, java.lang.ClassLoader);;1
java.util.ResourceBundle;;clearCache;;public static final void clearCache(java.lang.ClassLoader);;1
java.util.ResourceBundle;;containsKey;;public boolean containsKey(java.lang.String);;1
java.util.concurrent.ConcurrentHashMap;;<init>;;public void <init>(java.util.Map);;1
java.util.concurrent.ConcurrentHashMap;;get;;public java.lang.Object get(java.lang.Object);;1
java.util.concurrent.ConcurrentHashMap;;containsKey;;public boolean containsKey(java.lang.Object);;1
java.util.concurrent.ConcurrentHashMap;;containsValue;;public boolean containsValue(java.lang.Object);;1
java.util.concurrent.ConcurrentHashMap;;put;;public java.lang.Object put(java.lang.Object, java.lang.Object);;1
java.util.concurrent.ConcurrentHashMap;;putIfAbsent;;public java.lang.Object putIfAbsent(java.lang.Object, java.lang.Object);;1
java.util.concurrent.ConcurrentHashMap;;putAll;;public void putAll(java.util.Map);;1
java.util.concurrent.ConcurrentHashMap;;replace;;public java.lang.Object replace(java.lang.Object, java.lang.Object);;1
java.util.GregorianCalendar;;setGregorianChange;;public void setGregorianChange(java.util.Date);;1
java.util.GregorianCalendar;;equals;;public boolean equals(java.lang.Object);;1
java.util.SimpleTimeZone;;inDaylightTime;;public boolean inDaylightTime(java.util.Date);;1
java.util.SimpleTimeZone;;equals;;public boolean equals(java.lang.Object);;1
java.util.SimpleTimeZone;;hasSameRules;;public boolean hasSameRules(java.util.TimeZone);;1
java.util.concurrent.locks.ReentrantLock;;tryLock;;public boolean tryLock(long, java.util.concurrent.TimeUnit) throws java.lang.InterruptedException;;1
java.util.concurrent.locks.ReentrantLock;;hasWaiters;;public boolean hasWaiters(java.util.concurrent.locks.Condition);;1
java.util.concurrent.locks.ReentrantLock;;getWaitQueueLength;;public int getWaitQueueLength(java.util.concurrent.locks.Condition);;1
java.util.concurrent.locks.ReentrantLock;;getWaitingThreads;;protected java.util.Collection getWaitingThreads(java.util.concurrent.locks.Condition);;1
java.util.Collections;;sort;;public static void sort(java.util.List);;1
java.util.Collections;;sort;;public static void sort(java.util.List, java.util.Comparator);;1
java.util.Collections;;binarySearch;;public static int binarySearch(java.util.List, java.lang.Object);;1
java.util.Collections;;binarySearch;;public static int binarySearch(java.util.List, java.lang.Object, java.util.Comparator);;1
java.util.Collections;;reverse;;public static void reverse(java.util.List);;1
java.util.Collections;;shuffle;;public static void shuffle(java.util.List, java.util.Random);;2
java.util.Collections;;swap;;public static void swap(java.util.List, int, int);;1
java.util.Collections;;fill;;public static void fill(java.util.List, java.lang.Object);;1
java.util.Collections;;copy;;public static void copy(java.util.List, java.util.List);;2
java.util.Collections;;min;;public static java.lang.Object min(java.util.Collection);;1
java.util.Collections;;min;;public static java.lang.Object min(java.util.Collection, java.util.Comparator);;1
java.util.Collections;;max;;public static java.lang.Object max(java.util.Collection);;1
java.util.Collections;;max;;public static java.lang.Object max(java.util.Collection, java.util.Comparator);;1
java.util.Collections;;rotate;;public static void rotate(java.util.List, int);;1
java.util.Collections;;replaceAll;;public static boolean replaceAll(java.util.List, java.lang.Object, java.lang.Object);;1
java.util.Collections;;indexOfSubList;;public static int indexOfSubList(java.util.List, java.util.List);;2
java.util.Collections;;lastIndexOfSubList;;public static int lastIndexOfSubList(java.util.List, java.util.List);;2
java.util.Collections;;list;;public static java.util.ArrayList list(java.util.Enumeration);;1
java.util.Collections;;frequency;;public static int frequency(java.util.Collection, java.lang.Object);;1
java.util.Collections;;disjoint;;public static boolean disjoint(java.util.Collection, java.util.Collection);;2
java.util.Collections;;addAll;;public static transient boolean addAll(java.util.Collection, java.lang.Object[]);;2
java.util.Currency;;getInstance;;public static java.util.Currency getInstance(java.util.Locale);;1
java.util.regex.Pattern;;split;;public java.lang.String[] split(java.lang.CharSequence, int);;1
