class name;;number of detected pattern
java.util.ArrayDeque;;0
java.util.logging.StreamHandler;;0
java.util.spi.LocaleNameProvider;;0
java.util.zip.DataFormatException;;0
java.util.BitSet;;0
java.util.IllegalFormatFlagsException;;0
java.util.zip.DeflaterOutputStream;;0
java.util.prefs.BackingStoreException;;0
java.util.Locale;;0
java.util.ResourceBundle;;0
java.util.ServiceConfigurationError;;0
java.util.LinkedList;;0
java.util.prefs.InvalidPreferencesFormatException;;0
java.util.jar.JarException;;0
java.util.jar.JarOutputStream;;0
java.util.concurrent.ExecutorCompletionService;;2
java.util.zip.ZStreamRef;;0
java.util.XMLUtils;;0
java.util.concurrent.locks.ReentrantReadWriteLock;;3
java.util.ServiceLoader;;0
java.util.zip.ZipInputStream;;0
java.util.concurrent.locks.AbstractQueuedLongSynchronizer;;0
java.util.concurrent.atomic.AtomicBoolean;;0
java.util.prefs.Base64;;0
java.util.logging.ErrorManager;;0
java.util.spi.CurrencyNameProvider;;0
java.util.zip.ZipError;;0
java.util.logging.Logging;;0
java.util.HashMap;;0
java.util.concurrent.locks.AbstractQueuedSynchronizer;;0
java.util.concurrent.ExecutionException;;0
java.util.TreeSet;;1
java.util.jar.JarInputStream;;0
java.util.Formatter;;0
java.util.zip.ZipEntry;;0
java.util.concurrent.ForkJoinPool;;2
java.util.prefs.XmlSupport;;1
java.util.ConcurrentModificationException;;0
java.util.Hashtable;;0
java.util.concurrent.Semaphore;;0
java.util.zip.ZipCoder;;0
java.util.Scanner;;0
java.util.Dictionary;;0
java.util.Observable;;0
java.util.prefs.PreferenceChangeEvent;;0
java.util.regex.Matcher;;0
java.util.logging.Logger;;0
java.util.WeakHashMap;;0
java.util.StringTokenizer;;0
java.util.EmptyStackException;;0
java.util.prefs.WindowsPreferences;;0
java.util.concurrent.ThreadLocalRandom;;0
java.util.UnknownFormatConversionException;;0
java.util.TimeZone;;0
java.util.concurrent.Exchanger;;0
java.util.MissingResourceException;;0
java.util.InvalidPropertiesFormatException;;0
java.util.concurrent.ConcurrentSkipListMap;;0
java.util.concurrent.atomic.AtomicReferenceFieldUpdater;;0
java.util.zip.ZipException;;0
java.util.PriorityQueue;;1
java.util.concurrent.ScheduledThreadPoolExecutor;;0
java.util.FormatFlagsConversionMismatchException;;0
java.util.jar.Attributes;;2
java.util.concurrent.ConcurrentHashMap;;0
java.util.JapaneseImperialCalendar;;1
java.util.concurrent.Phaser;;0
java.util.ComparableTimSort;;0
java.util.RegularEnumSet;;1
java.util.concurrent.CopyOnWriteArrayList;;0
java.util.NoSuchElementException;;0
java.util.logging.FileHandler;;0
java.util.concurrent.RecursiveAction;;1
java.util.logging.Handler;;0
java.util.concurrent.CountDownLatch;;0
java.util.Calendar;;3
java.util.concurrent.CyclicBarrier;;0
java.util.ListResourceBundle;;0
java.util.IllegalFormatWidthException;;0
java.util.DuplicateFormatFlagsException;;0
java.util.Collections;;12
java.util.concurrent.atomic.AtomicIntegerFieldUpdater;;0
java.util.GregorianCalendar;;1
java.util.regex.Pattern;;0
java.util.MissingFormatArgumentException;;0
java.util.concurrent.atomic.AtomicReference;;0
java.util.spi.LocaleServiceProvider;;0
java.util.logging.ConsoleHandler;;0
java.util.IllegalFormatPrecisionException;;0
java.util.concurrent.LinkedBlockingDeque;;0
java.util.zip.GZIPInputStream;;0
java.util.Date;;2
java.util.regex.UnicodeProp;;0
java.util.concurrent.atomic.AtomicStampedReference;;0
java.util.AbstractQueue;;0
java.util.logging.SocketHandler;;0
java.util.HashSet;;0
java.util.IllformedLocaleException;;0
java.util.zip.InflaterInputStream;;0
java.util.zip.Deflater;;0
java.util.prefs.AbstractPreferences;;0
java.util.LinkedHashSet;;0
java.util.logging.LoggingProxyImpl;;12
java.util.jar.JavaUtilJarAccessImpl;;0
java.util.jar.Pack200;;0
java.util.concurrent.ForkJoinWorkerThread;;0
java.util.jar.JarVerifier;;0
java.util.concurrent.BrokenBarrierException;;0
java.util.zip.GZIPOutputStream;;0
java.util.concurrent.AbstractExecutorService;;0
java.util.concurrent.ThreadPoolExecutor;;0
java.util.AbstractMap;;0
java.util.spi.TimeZoneNameProvider;;0
java.util.InputMismatchException;;0
java.util.zip.ZipOutputStream;;0
java.util.regex.ASCII;;0
java.util.EventListenerProxy;;0
java.util.concurrent.SynchronousQueue;;0
java.util.concurrent.CopyOnWriteArraySet;;0
java.util.zip.CheckedOutputStream;;0
java.util.TreeMap;;2
java.util.TimerTask;;0
java.util.concurrent.locks.LockSupport;;0
java.util.AbstractSet;;0
java.util.concurrent.atomic.AtomicIntegerArray;;0
java.util.concurrent.LinkedBlockingQueue;;0
java.util.LinkedHashMap;;0
java.util.concurrent.DelayQueue;;4
java.util.TooManyListenersException;;0
java.util.AbstractCollection;;0
java.util.concurrent.atomic.AtomicLongFieldUpdater;;0
java.util.IllegalFormatCodePointException;;0
java.util.concurrent.atomic.AtomicMarkableReference;;0
java.util.UnknownFormatFlagsException;;0
java.util.Currency;;0
java.util.Properties;;1
java.util.zip.CheckedInputStream;;0
java.util.logging.LogManager;;0
java.util.concurrent.Executors;;0
java.util.concurrent.ConcurrentSkipListSet;;0
java.util.Objects;;0
java.util.concurrent.RecursiveTask;;0
java.util.concurrent.LinkedTransferQueue;;0
java.util.jar.JarFile;;0
java.util.ArrayList;;0
java.util.prefs.Preferences;;0
java.util.SimpleTimeZone;;0
java.util.TimSort;;0
java.util.logging.LoggingPermission;;0
java.util.jar.JarEntry;;0
java.util.concurrent.TimeUnit;;0
java.util.IllegalFormatConversionException;;0
java.util.JumboEnumSet;;1
java.util.zip.Adler32;;0
java.util.concurrent.PriorityBlockingQueue;;1
java.util.AbstractSequentialList;;0
java.util.PropertyResourceBundle;;0
java.util.concurrent.CancellationException;;0
java.util.PropertyPermission;;0
java.util.concurrent.ArrayBlockingQueue;;0
java.util.concurrent.atomic.AtomicReferenceArray;;0
java.util.concurrent.TimeoutException;;0
java.util.Stack;;0
java.util.Timer;;0
java.util.EnumSet;;0
java.util.concurrent.atomic.AtomicInteger;;0
java.util.Vector;;0
java.util.concurrent.locks.ReentrantLock;;3
java.util.DualPivotQuicksort;;0
java.util.logging.Formatter;;0
java.util.MissingFormatWidthException;;0
java.util.EventObject;;0
java.util.concurrent.FutureTask;;0
java.util.IllegalFormatException;;0
java.util.concurrent.locks.AbstractOwnableSynchronizer;;0
java.util.concurrent.atomic.AtomicLongArray;;0
java.util.logging.SimpleFormatter;;0
java.util.concurrent.RejectedExecutionException;;0
java.util.concurrent.atomic.AtomicLong;;0
java.util.logging.XMLFormatter;;0
java.util.Arrays;;0
java.util.logging.LogRecord;;0
java.util.UUID;;1
java.util.AbstractList;;0
java.util.FormatterClosedException;;0
java.util.zip.InflaterOutputStream;;0
java.util.logging.MemoryHandler;;0
java.util.concurrent.ForkJoinTask;;1
java.util.zip.Inflater;;0
java.util.regex.PatternSyntaxException;;0
java.util.Random;;0
java.util.EnumMap;;5
