class name;;number of detected pattern
java.util.ArrayDeque;;4
java.util.logging.StreamHandler;;1
java.util.spi.LocaleNameProvider;;0
java.util.zip.DataFormatException;;0
java.util.BitSet;;9
java.util.IllegalFormatFlagsException;;1
java.util.zip.DeflaterOutputStream;;0
java.util.prefs.BackingStoreException;;0
java.util.Locale;;4
java.util.ResourceBundle;;3
java.util.ServiceConfigurationError;;0
java.util.LinkedList;;4
java.util.prefs.InvalidPreferencesFormatException;;0
java.util.jar.JarException;;0
java.util.jar.JarOutputStream;;2
java.util.concurrent.ExecutorCompletionService;;3
java.util.zip.ZStreamRef;;0
java.util.XMLUtils;;3
java.util.concurrent.locks.ReentrantReadWriteLock;;3
java.util.ServiceLoader;;0
java.util.zip.ZipInputStream;;2
java.util.concurrent.locks.AbstractQueuedLongSynchronizer;;9
java.util.concurrent.atomic.AtomicBoolean;;0
java.util.prefs.Base64;;1
java.util.logging.ErrorManager;;0
java.util.spi.CurrencyNameProvider;;0
java.util.zip.ZipError;;0
java.util.logging.Logging;;1
java.util.HashMap;;5
java.util.concurrent.locks.AbstractQueuedSynchronizer;;9
java.util.concurrent.ExecutionException;;0
java.util.TreeSet;;2
java.util.jar.JarInputStream;;0
java.util.Formatter;;0
java.util.zip.ZipEntry;;2
java.util.concurrent.ForkJoinPool;;16
java.util.prefs.XmlSupport;;3
java.util.ConcurrentModificationException;;0
java.util.Hashtable;;5
java.util.concurrent.Semaphore;;2
java.util.zip.ZipCoder;;1
java.util.Scanner;;6
java.util.Dictionary;;0
java.util.Observable;;1
java.util.prefs.PreferenceChangeEvent;;0
java.util.regex.Matcher;;8
java.util.logging.Logger;;16
java.util.WeakHashMap;;4
java.util.StringTokenizer;;1
java.util.EmptyStackException;;0
java.util.prefs.WindowsPreferences;;0
java.util.concurrent.ThreadLocalRandom;;0
java.util.UnknownFormatConversionException;;1
java.util.TimeZone;;1
java.util.concurrent.Exchanger;;1
java.util.MissingResourceException;;0
java.util.InvalidPropertiesFormatException;;0
java.util.concurrent.ConcurrentSkipListMap;;13
java.util.concurrent.atomic.AtomicReferenceFieldUpdater;;0
java.util.zip.ZipException;;0
java.util.PriorityQueue;;5
java.util.concurrent.ScheduledThreadPoolExecutor;;1
java.util.FormatFlagsConversionMismatchException;;1
java.util.jar.Attributes;;5
java.util.concurrent.ConcurrentHashMap;;8
java.util.JapaneseImperialCalendar;;0
java.util.concurrent.Phaser;;1
java.util.ComparableTimSort;;0
java.util.RegularEnumSet;;8
java.util.concurrent.CopyOnWriteArrayList;;8
java.util.NoSuchElementException;;0
java.util.logging.FileHandler;;4
java.util.concurrent.RecursiveAction;;0
java.util.logging.Handler;;4
java.util.concurrent.CountDownLatch;;1
java.util.Calendar;;3
java.util.concurrent.CyclicBarrier;;1
java.util.ListResourceBundle;;1
java.util.IllegalFormatWidthException;;0
java.util.DuplicateFormatFlagsException;;1
java.util.Collections;;27
java.util.concurrent.atomic.AtomicIntegerFieldUpdater;;0
java.util.GregorianCalendar;;2
java.util.regex.Pattern;;2
java.util.MissingFormatArgumentException;;1
java.util.concurrent.atomic.AtomicReference;;0
java.util.spi.LocaleServiceProvider;;0
java.util.logging.ConsoleHandler;;0
java.util.IllegalFormatPrecisionException;;0
java.util.concurrent.LinkedBlockingDeque;;14
java.util.zip.GZIPInputStream;;0
java.util.Date;;2
java.util.regex.UnicodeProp;;2
java.util.concurrent.atomic.AtomicStampedReference;;3
java.util.AbstractQueue;;1
java.util.logging.SocketHandler;;0
java.util.HashSet;;1
java.util.IllformedLocaleException;;0
java.util.zip.InflaterInputStream;;1
java.util.zip.Deflater;;3
java.util.prefs.AbstractPreferences;;6
java.util.LinkedHashSet;;1
java.util.logging.LoggingProxyImpl;;7
java.util.jar.JavaUtilJarAccessImpl;;7
java.util.jar.Pack200;;0
java.util.concurrent.ForkJoinWorkerThread;;3
java.util.jar.JarVerifier;;7
java.util.concurrent.BrokenBarrierException;;0
java.util.zip.GZIPOutputStream;;0
java.util.concurrent.AbstractExecutorService;;5
java.util.concurrent.ThreadPoolExecutor;;8
java.util.AbstractMap;;2
java.util.spi.TimeZoneNameProvider;;0
java.util.InputMismatchException;;0
java.util.zip.ZipOutputStream;;2
java.util.regex.ASCII;;0
java.util.EventListenerProxy;;0
java.util.concurrent.SynchronousQueue;;11
java.util.concurrent.CopyOnWriteArraySet;;0
java.util.zip.CheckedOutputStream;;0
java.util.TreeMap;;7
java.util.TimerTask;;0
