class name;;Method name;;number of detected pattern
java.awt.AWTEvent;;<init>;;1
java.awt.AWTEvent;;copyPrivateDataInto;;1
java.awt.AWTEvent;;access$002;;1
java.awt.AWTEvent;;access$000;;1
java.awt.AWTEvent;;access$100;;1
java.awt.AWTEvent;;access$102;;1
java.awt.AlphaComposite;;equals;;1
java.awt.image.ColorModel;;<init>;;2
java.awt.image.ColorModel;;getUnnormalizedComponents;;1
java.awt.image.ColorModel;;getNormalizedComponents;;1
java.awt.image.ColorModel;;equals;;1
java.awt.image.ColorModel;;getGray8TosRGB8LUT;;1
java.awt.image.ColorModel;;getLinearGray16ToOtherGray8LUT;;1
java.awt.image.ColorModel;;getGray16TosRGB8LUT;;1
java.awt.image.ColorModel;;getLinearGray16ToOtherGray16LUT;;1
java.awt.RenderingHints;;put;;1
java.awt.RenderingHints;;add;;1
java.awt.RenderingHints;;putAll;;1
java.awt.RenderingHints;;equals;;1
java.awt.image.Raster;;createInterleavedRaster;;1
java.awt.image.Raster;;createBandedRaster;;2
java.awt.image.Raster;;createInterleavedRaster;;1
java.awt.image.Raster;;createBandedRaster;;1
java.awt.image.Raster;;createPackedRaster;;1
java.awt.image.Raster;;createPackedRaster;;1
java.awt.image.Raster;;createWritableRaster;;1
java.awt.image.Raster;;<init>;;2
java.awt.image.Raster;;<init>;;2
java.awt.image.Raster;;createCompatibleWritableRaster;;1
java.awt.image.WritableRaster;;<init>;;2
java.awt.image.WritableRaster;;<init>;;2
java.awt.image.WritableRaster;;setDataElements;;1
java.awt.image.WritableRaster;;setRect;;1
java.awt.image.SampleModel;;setPixel;;1
java.awt.image.SampleModel;;setPixel;;1
java.awt.image.SampleModel;;setPixel;;1
java.awt.image.SampleModel;;setPixels;;1
java.awt.image.SampleModel;;setPixels;;1
java.awt.image.SampleModel;;setPixels;;1
java.awt.image.SampleModel;;setSamples;;1
java.awt.image.SampleModel;;setSamples;;1
java.awt.image.SampleModel;;setSamples;;1
java.awt.color.ICC_ColorSpace;;<init>;;1
java.awt.color.ICC_ColorSpace;;toRGB;;1
java.awt.color.ICC_ColorSpace;;fromRGB;;1
java.awt.color.ICC_ColorSpace;;toCIEXYZ;;1
java.awt.color.ICC_ColorSpace;;fromCIEXYZ;;1
java.awt.Event;;getOldEventKey;;1
java.awt.Button;;eventEnabled;;1
java.awt.Button;;writeObject;;1
java.awt.Button;;readObject;;1
java.awt.Point;;<init>;;1
java.awt.Point;;setLocation;;1
java.awt.Point;;equals;;1
java.awt.MenuComponent;;dispatchEventImpl;;1
java.awt.MenuComponent;;readObject;;1
java.awt.Component;;pointRelativeToComponent;;1
java.awt.Component;;findUnderMouseInWindow;;1
java.awt.Component;;setLocation;;1
java.awt.Component;;resize;;1
java.awt.Component;;setBounds;;1
java.awt.Component;;paintAll;;1
java.awt.Component;;printAll;;1
java.awt.Component;;createBufferStrategy;;1
java.awt.Component;;contains;;1
java.awt.Component;;getComponentAt;;1
java.awt.Component;;dispatchEventImpl;;1
java.awt.Component;;dispatchMouseWheelToAncestor;;1
java.awt.Component;;eventEnabled;;1
java.awt.Component;;postEvent;;1
java.awt.Component;;isCoalesceEventsOverriden;;1
java.awt.Component;;processEvent;;1
java.awt.Component;;processComponentEvent;;1
java.awt.Component;;processFocusEvent;;1
java.awt.Component;;processKeyEvent;;1
java.awt.Component;;processMouseEvent;;1
java.awt.Component;;processMouseMotionEvent;;1
java.awt.Component;;processMouseWheelEvent;;1
java.awt.Component;;processInputMethodEvent;;1
java.awt.Component;;processHierarchyEvent;;1
java.awt.Component;;processHierarchyBoundsEvent;;1
java.awt.Component;;handleEvent;;1
java.awt.Component;;add;;1
java.awt.Component;;remove;;1
java.awt.Component;;list;;1
java.awt.Component;;list;;1
java.awt.Component;;writeObject;;1
java.awt.Component;;readObject;;1
java.awt.Component;;applyComponentOrientation;;1
java.awt.Component;;applyCompoundShape;;1
java.awt.Component;;access$002;;1
java.awt.Component;;access$100;;1
java.awt.Component;;access$400;;1
java.awt.Dialog;;shouldBlock;;1
java.awt.Dialog;;blockWindow;;1
java.awt.Dialog;;blockWindows;;1
java.awt.Dialog;;unblockWindow;;1
java.awt.Dialog;;checkShouldBeBlocked;;1
java.awt.Dialog;;readObject;;1
java.awt.event.KeyEvent;;readObject;;1
java.awt.event.KeyEvent;;access$002;;1
java.awt.event.KeyEvent;;access$102;;1
java.awt.event.KeyEvent;;access$202;;1
java.awt.MenuItem;;deleteShortcut;;1
java.awt.MenuItem;;handleShortcut;;1
java.awt.MenuItem;;getShortcutMenuItem;;1
java.awt.MenuItem;;eventEnabled;;1
java.awt.MenuItem;;writeObject;;1
java.awt.MenuItem;;readObject;;1
java.awt.MenuItem;;access$000;;1
java.awt.MenuItem;;access$100;;1
java.awt.GraphicsEnvironment;;registerFont;;1
java.awt.event.MouseEvent;;<init>;;1
java.awt.event.MouseEvent;;readObject;;1
java.awt.List;;eventEnabled;;1
java.awt.List;;writeObject;;1
java.awt.List;;readObject;;1
java.awt.Frame;;postProcessKeyEvent;;1
java.awt.Frame;;writeObject;;1
java.awt.Frame;;readObject;;1
java.awt.Frame;;access$002;;1
java.awt.Frame;;access$000;;1
java.awt.Toolkit;;getNativeContainer;;1
java.awt.Toolkit;;getDesktopProperty;;1
java.awt.Toolkit;;deProxyAWTEventListener;;1
java.awt.Choice;;insertNoInvalidate;;1
java.awt.Choice;;eventEnabled;;1
java.awt.Choice;;writeObject;;1
java.awt.Choice;;readObject;;1
java.awt.Container;;checkAdding;;1
java.awt.Container;;removeDelicately;;1
java.awt.Container;;isRemoveNotifyNeeded;;2
java.awt.Container;;setComponentZOrder;;1
java.awt.Container;;reparentTraverse;;1
java.awt.Container;;addDelicately;;2
java.awt.Container;;addImpl;;1
java.awt.Container;;remove;;1
java.awt.Container;;update;;1
java.awt.Container;;eventEnabled;;1
java.awt.Container;;processContainerEvent;;1
java.awt.Container;;dispatchEventImpl;;1
java.awt.Container;;getMouseEventTargetImpl;;1
java.awt.Container;;deliverEvent;;1
java.awt.Container;;getComponentAt;;1
java.awt.Container;;findComponentAt;;1
java.awt.Container;;writeObject;;1
java.awt.Container;;readObject;;1
java.awt.Container;;getAccessibleAt;;1
java.awt.Container;;increaseComponentCount;;1
java.awt.Container;;decreaseComponentCount;;1
java.awt.Container;;recursiveSubtractAndApplyShape;;1
java.awt.Container;;recursiveRelocateHeavyweightChildren;;1
java.awt.geom.Point2D;;setLocation;;1
java.awt.geom.Point2D;;distanceSq;;1
java.awt.geom.Point2D;;distance;;1
java.awt.geom.Point2D;;equals;;1
java.awt.Font;;<init>;;1
java.awt.Font;;<init>;;2
java.awt.Font;;<init>;;1
java.awt.Font;;initFromValues;;1
java.awt.Font;;getFont;;1
java.awt.Font;;createFont;;1
java.awt.Font;;createFont;;1
java.awt.Font;;getFamily;;1
java.awt.Font;;getFontName;;1
java.awt.Font;;decode;;1
java.awt.Font;;writeObject;;1
java.awt.Font;;readObject;;1
java.awt.Font;;canDisplayUpTo;;1
java.awt.Font;;canDisplayUpTo;;1
java.awt.Font;;canDisplayUpTo;;1
java.awt.Font;;defaultLineMetrics;;1
java.awt.Font;;getLineMetrics;;1
java.awt.Font;;getStringBounds;;1
java.awt.Font;;getStringBounds;;1
java.awt.Font;;getStringBounds;;1
java.awt.Font;;applyTransform;;2
java.awt.Font;;applyStyle;;1
java.awt.Font;;access$000;;1
java.awt.Font;;access$102;;1
java.awt.Font;;access$202;;1
java.awt.Font;;access$200;;1
java.awt.Color;;<init>;;2
java.awt.Color;;equals;;1
java.awt.Color;;getComponents;;1
java.awt.Color;;getColorComponents;;1
java.awt.Cursor;;access$000;;1
java.awt.Cursor;;access$002;;1
java.awt.dnd.DropTarget;;dragEnter;;1
java.awt.dnd.DropTarget;;dragOver;;1
java.awt.dnd.DropTarget;;dropActionChanged;;1
java.awt.dnd.DropTarget;;drop;;1
java.awt.dnd.DropTarget;;addNotify;;1
java.awt.dnd.DropTarget;;writeObject;;1
java.awt.dnd.DropTarget;;readObject;;1
java.awt.Dimension;;<init>;;1
java.awt.Dimension;;setSize;;1
java.awt.Dimension;;equals;;1
java.awt.ComponentOrientation;;getOrientation;;1
java.awt.ComponentOrientation;;getOrientation;;1
java.awt.Rectangle;;<init>;;1
java.awt.Rectangle;;<init>;;2
java.awt.Rectangle;;<init>;;1
java.awt.Rectangle;;<init>;;1
java.awt.Rectangle;;setBounds;;1
java.awt.Rectangle;;setLocation;;1
java.awt.Rectangle;;setSize;;1
java.awt.Rectangle;;contains;;1
java.awt.Rectangle;;contains;;1
java.awt.Rectangle;;intersects;;1
java.awt.Rectangle;;intersection;;1
java.awt.Rectangle;;union;;1
java.awt.Rectangle;;add;;1
java.awt.Rectangle;;add;;1
java.awt.Rectangle;;equals;;1
java.awt.Graphics;;drawPolygon;;1
java.awt.Graphics;;fillPolygon;;1
java.awt.Graphics;;getClipBounds;;1
java.awt.FontMetrics;;stringWidth;;1
java.awt.FontMetrics;;myFRC;;1
java.awt.Insets;;equals;;1
java.awt.event.InputMethodEvent;;readObject;;1
java.awt.Window;;setMinimumSize;;1
java.awt.Window;;updateChildFocusableWindowState;;1
java.awt.Window;;getWindows;;1
java.awt.Window;;eventEnabled;;1
java.awt.Window;;processEvent;;1
java.awt.Window;;processWindowEvent;;1
java.awt.Window;;processWindowFocusEvent;;1
java.awt.Window;;processWindowStateEvent;;1
java.awt.Window;;preProcessKeyEvent;;1
java.awt.Window;;dispatchEventImpl;;1
java.awt.Window;;postEvent;;1
java.awt.Window;;connectOwnedWindow;;1
java.awt.Window;;removeFromWindowList;;1
java.awt.Window;;setType;;1
java.awt.Window;;writeObject;;1
java.awt.Window;;deserializeResources;;1
java.awt.Window;;readObject;;1
java.awt.Window;;setBounds;;1
java.awt.Window;;paint;;1
java.awt.Window;;setLayersOpaque;;1
java.awt.Window;;access$000;;1
java.awt.Window;;access$202;;1
java.awt.Window;;access$300;;1
java.awt.Window;;access$400;;1
java.awt.Window;;access$500;;1
java.awt.Window;;access$600;;1
java.awt.Window;;access$700;;1
java.awt.Window;;access$602;;1
java.awt.Window;;access$702;;1
java.awt.Window;;access$802;;1
java.awt.Window;;access$902;;1
java.awt.Window;;access$1002;;1
java.awt.Window;;access$1102;;1
java.awt.Window;;access$1200;;1
java.awt.Window;;access$1300;;1
java.awt.ModalEventFilter;;acceptEvent;;1
java.awt.ModalEventFilter;;compareTo;;1
java.awt.ModalEventFilter;;createFilterForDialog;;1
java.awt.GraphicsDevice;;getBestConfiguration;;1
java.awt.GraphicsDevice;;isWindowTranslucencySupported;;1
java.awt.image.BufferedImage;;<init>;;1
java.awt.image.BufferedImage;;<init>;;2
java.awt.image.BufferedImage;;setRGB;;1
java.awt.image.BufferedImage;;getProperty;;1
java.awt.image.BufferedImage;;getData;;1
java.awt.image.BufferedImage;;setData;;1
java.awt.MenuBar;;setHelpMenu;;1
java.awt.MenuBar;;add;;1
java.awt.MenuBar;;handleShortcut;;1
java.awt.MenuBar;;writeObject;;1
java.awt.MenuBar;;readObject;;1
java.awt.Desktop;;checkFileValidation;;1
java.awt.Desktop;;checkActionSupport;;1
java.awt.Desktop;;edit;;1
java.awt.Desktop;;browse;;1
java.awt.Desktop;;mail;;1
java.awt.TextField;;eventEnabled;;1
java.awt.TextField;;writeObject;;1
java.awt.TextField;;readObject;;1
java.awt.Label;;readObject;;1
java.awt.Checkbox;;eventEnabled;;1
java.awt.Checkbox;;writeObject;;1
java.awt.Checkbox;;readObject;;1
java.awt.Scrollbar;;eventEnabled;;1
java.awt.Scrollbar;;writeObject;;1
java.awt.Scrollbar;;readObject;;1
java.awt.ScrollPane;;setScrollPosition;;1
java.awt.ScrollPane;;printComponents;;1
java.awt.ScrollPane;;processMouseWheelEvent;;1
java.awt.ScrollPane;;writeObject;;1
java.awt.ScrollPane;;readObject;;1
java.awt.TextArea;;readObject;;1
java.awt.Canvas;;paint;;1
java.awt.Canvas;;update;;1
java.awt.Menu;;add;;1
java.awt.Menu;;writeObject;;1
java.awt.Menu;;readObject;;1
java.awt.FileDialog;;readObject;;1
java.awt.FileDialog;;access$000;;1
java.awt.FileDialog;;access$100;;1
java.awt.CheckboxMenuItem;;eventEnabled;;1
java.awt.CheckboxMenuItem;;writeObject;;1
java.awt.CheckboxMenuItem;;readObject;;1
java.awt.JobAttributes;;set;;1
