class name;;number of detected pattern
java.beans.PersistenceDelegate;;4
java.beans.ChangeListenerMap;;1
java.beans.beancontext.BeanContextEvent;;0
java.beans.IndexedPropertyChangeEvent;;1
java.beans.Encoder;;3
java.beans.BeanDescriptor;;2
java.beans.beancontext.BeanContextSupport;;22
java.beans.SimpleBeanInfo;;0
java.beans.beancontext.BeanContextMembershipEvent;;2
java.beans.Introspector;;18
java.beans.PropertyVetoException;;0
java.beans.PropertyChangeSupport;;4
java.beans.FeatureDescriptor;;7
java.beans.PropertyEditorSupport;;1
java.beans.VetoableChangeSupport;;4
java.beans.EventHandler;;8
java.beans.VetoableChangeListenerProxy;;0
java.beans.Beans;;3
java.beans.IndexedPropertyDescriptor;;3
java.beans.beancontext.BeanContextServiceRevokedEvent;;0
java.beans.ReflectionUtils;;1
java.beans.PropertyDescriptor;;6
java.beans.MethodDescriptor;;5
java.beans.ParameterDescriptor;;0
java.beans.IntrospectionException;;0
java.beans.PropertyEditorManager;;0
java.beans.Statement;;1
java.beans.MetaData;;5
java.beans.EventSetDescriptor;;6
java.beans.beancontext.BeanContextServiceAvailableEvent;;0
java.beans.NameGenerator;;1
java.beans.ThreadGroupContext;;0
java.beans.PropertyChangeEvent;;0
java.beans.beancontext.BeanContext;;0
java.beans.Expression;;0
java.beans.XMLEncoder;;6
java.beans.PropertyChangeListenerProxy;;0
java.beans.DefaultPersistenceDelegate;;14
java.beans.beancontext.BeanContextServicesSupport;;21
java.beans.XMLDecoder;;2
java.beans.beancontext.BeanContextChildSupport;;2
