class name;;Method name;;number of detected pattern
java.io.PrintStream;;print;;1
java.io.PrintStream;;append;;1
java.io.PrintStream;;append;;1
java.io.PrintWriter;;print;;1
java.io.PrintWriter;;append;;1
java.io.PrintWriter;;append;;1
java.io.ObjectOutputStream;;writeTypeString;;1
java.io.ObjectOutputStream;;writeClass;;1
java.io.ObjectOutputStream;;writeClassDesc;;1
java.io.ObjectOutputStream;;writeString;;1
java.io.FileNotFoundException;;<init>;;1
java.io.Writer;;append;;1
java.io.Writer;;append;;1
java.io.CharArrayWriter;;append;;1
java.io.CharArrayWriter;;append;;1
java.io.FileInputStream;;<init>;;1
java.io.FileInputStream;;<init>;;1
java.io.FileOutputStream;;<init>;;1
java.io.FileOutputStream;;<init>;;1
java.io.FileOutputStream;;<init>;;1
java.io.File;;<init>;;1
java.io.File;;<init>;;1
java.io.File;;createTempFile;;1
java.io.FilePermission;;getMask;;1
java.io.RandomAccessFile;;<init>;;1
java.io.RandomAccessFile;;<init>;;1
java.io.StringWriter;;append;;1
java.io.StringWriter;;append;;1
java.io.Win32FileSystem;;parentOrNull;;1
