class name;;Method name;;number of detected pattern
java.io.PrintStream;;requireNonNull;;1
java.io.PrintStream;;write;;1
java.io.PrintStream;;write;;1
java.io.PrintWriter;;write;;1
java.io.ObjectInputStream;;resolveClass;;1
java.io.ObjectInputStream;;resolveProxyClass;;1
java.io.ObjectInputStream;;read;;1
java.io.ObjectInputStream;;readExternalData;;1
java.io.ObjectInputStream;;readSerialData;;1
java.io.ObjectInputStream;;defaultReadFields;;1
java.io.ObjectInputStream;;access$000;;1
java.io.ObjectInputStream;;access$100;;1
java.io.ObjectInputStream;;access$200;;1
java.io.ObjectInputStream;;access$300;;1
java.io.ObjectInputStream;;access$002;;1
java.io.ObjectInputStream;;access$500;;1
java.io.ObjectInputStream;;access$600;;1
java.io.ObjectOutputStream;;writeClassDescriptor;;1
java.io.ObjectOutputStream;;write;;1
java.io.ObjectOutputStream;;writeProxyDesc;;1
java.io.ObjectOutputStream;;writeNonProxyDesc;;1
java.io.ObjectOutputStream;;writeArray;;2
java.io.ObjectOutputStream;;writeEnum;;2
java.io.ObjectOutputStream;;writeOrdinaryObject;;2
java.io.ObjectOutputStream;;writeExternalData;;1
java.io.ObjectOutputStream;;writeSerialData;;1
java.io.ObjectOutputStream;;defaultWriteFields;;1
java.io.ObjectOutputStream;;access$000;;1
java.io.ObjectOutputStream;;access$200;;1
java.io.ObjectOutputStream;;access$300;;1
java.io.FilterOutputStream;;write;;1
java.io.Writer;;<init>;;1
java.io.Writer;;write;;1
java.io.Writer;;write;;1
java.io.InputStream;;read;;1
java.io.OutputStream;;write;;1
java.io.ObjectStreamField;;<init>;;1
java.io.ObjectStreamField;;<init>;;2
java.io.ObjectStreamField;;<init>;;1
java.io.ObjectStreamField;;compareTo;;1
java.io.ObjectStreamField;;getClassSignature;;1
java.io.Bits;;getBoolean;;1
java.io.Bits;;getChar;;1
java.io.Bits;;getShort;;1
java.io.Bits;;getInt;;1
java.io.Bits;;getLong;;1
java.io.Bits;;putBoolean;;1
java.io.Bits;;putChar;;1
java.io.Bits;;putShort;;1
java.io.Bits;;putInt;;1
java.io.Bits;;putLong;;1
java.io.Console;;readLine;;1
java.io.Console;;readPassword;;1
java.io.Console;;access$000;;1
java.io.Console;;access$100;;1
java.io.Console;;access$200;;1
java.io.Console;;access$800;;1
java.io.Reader;;<init>;;1
java.io.Reader;;read;;1
java.io.BufferedWriter;;write;;1
java.io.ByteArrayInputStream;;read;;1
java.io.ByteArrayOutputStream;;writeTo;;1
java.io.CharArrayWriter;;write;;1
java.io.CharArrayWriter;;writeTo;;1
java.io.FileInputStream;;<init>;;1
java.io.FileOutputStream;;<init>;;1
java.io.FileDescriptor;;access$002;;1
java.io.FileDescriptor;;access$000;;1
java.io.FileDescriptor;;access$102;;1
java.io.FileDescriptor;;access$100;;1
java.io.File;;<init>;;1
java.io.File;;<init>;;1
java.io.File;;<init>;;1
java.io.File;;<init>;;1
java.io.File;;<init>;;1
java.io.File;;slashify;;1
java.io.File;;renameTo;;1
java.io.File;;createTempFile;;2
java.io.File;;writeObject;;1
java.io.File;;readObject;;1
java.io.DataInputStream;;readUTF;;1
java.io.PushbackInputStream;;read;;1
java.io.DataOutputStream;;writeBytes;;1
java.io.DataOutputStream;;writeChars;;1
java.io.DataOutputStream;;writeUTF;;2
java.io.ExpiringCache;;access$000;;1
java.io.ObjectStreamClass;;<init>;;1
java.io.ObjectStreamClass;;initNonProxy;;1
java.io.ObjectStreamClass;;readNonProxy;;1
