class name;;Method name;;number of detected pattern
java.math.BigDecimal;;<init>;;1
java.math.BigDecimal;;<init>;;1
java.math.BigDecimal;;<init>;;1
java.math.BigDecimal;;<init>;;2
java.math.BigDecimal;;<init>;;1
java.math.BigDecimal;;<init>;;1
java.math.BigDecimal;;<init>;;1
java.math.BigDecimal;;<init>;;1
java.math.BigDecimal;;<init>;;1
java.math.BigDecimal;;add;;1
java.math.BigDecimal;;add;;2
java.math.BigDecimal;;preAlign;;3
java.math.BigDecimal;;subtract;;1
java.math.BigDecimal;;subtract;;2
java.math.BigDecimal;;multiply;;1
java.math.BigDecimal;;multiply;;1
java.math.BigDecimal;;divide;;1
java.math.BigDecimal;;divideAndRound;;2
java.math.BigDecimal;;divide;;1
java.math.BigDecimal;;divide;;1
java.math.BigDecimal;;divide;;1
java.math.BigDecimal;;divide;;2
java.math.BigDecimal;;divideToIntegralValue;;1
java.math.BigDecimal;;divideToIntegralValue;;2
java.math.BigDecimal;;divideAndRemainder;;1
java.math.BigDecimal;;pow;;1
java.math.BigDecimal;;plus;;1
java.math.BigDecimal;;setScale;;1
java.math.BigDecimal;;compareTo;;1
java.math.BigDecimal;;compareMagnitude;;1
java.math.BigDecimal;;equals;;1
java.math.BigDecimal;;getValueString;;1
java.math.BigDecimal;;matchScale;;1
java.math.BigDecimal;;readObject;;1
java.math.BigDecimal;;writeObject;;1
java.math.BigDecimal;;bigDigitLength;;1
java.math.BigDecimal;;doRound;;2
java.math.BigDecimal;;compactValFor;;1
java.math.BigDecimal;;print;;1
java.math.BigDecimal;;access$000;;1
java.math.BigDecimal;;access$100;;1
java.math.BigInteger;;<init>;;1
java.math.BigInteger;;<init>;;1
java.math.BigInteger;;<init>;;1
java.math.BigInteger;;<init>;;1
java.math.BigInteger;;parseInt;;1
java.math.BigInteger;;destructiveMulAdd;;1
java.math.BigInteger;;randomBits;;1
java.math.BigInteger;;smallPrime;;1
java.math.BigInteger;;jacobiSymbol;;1
java.math.BigInteger;;lucasLehmerSequence;;1
java.math.BigInteger;;valueOf;;1
java.math.BigInteger;;add;;1
java.math.BigInteger;;add;;2
java.math.BigInteger;;subtract;;1
java.math.BigInteger;;subtract;;2
java.math.BigInteger;;multiply;;1
java.math.BigInteger;;multiplyToLen;;2
java.math.BigInteger;;squareToLen;;1
java.math.BigInteger;;divide;;1
java.math.BigInteger;;divideAndRemainder;;1
java.math.BigInteger;;remainder;;1
java.math.BigInteger;;gcd;;1
java.math.BigInteger;;leftShift;;1
java.math.BigInteger;;primitiveRightShift;;1
java.math.BigInteger;;primitiveLeftShift;;1
java.math.BigInteger;;bitLength;;1
java.math.BigInteger;;mod;;1
java.math.BigInteger;;modPow;;2
java.math.BigInteger;;oddModPow;;2
java.math.BigInteger;;montReduce;;1
java.math.BigInteger;;intArrayCmpToLen;;2
java.math.BigInteger;;subN;;2
java.math.BigInteger;;mulAdd;;2
java.math.BigInteger;;addOne;;1
java.math.BigInteger;;modPow2;;1
java.math.BigInteger;;modInverse;;1
java.math.BigInteger;;javaIncrement;;1
java.math.BigInteger;;and;;1
java.math.BigInteger;;or;;1
java.math.BigInteger;;xor;;1
java.math.BigInteger;;andNot;;1
java.math.BigInteger;;compareTo;;1
java.math.BigInteger;;compareMagnitude;;1
java.math.BigInteger;;equals;;1
java.math.BigInteger;;stripLeadingZeroInts;;1
java.math.BigInteger;;trustedStripLeadingZeroInts;;1
java.math.BigInteger;;stripLeadingZeroBytes;;1
java.math.BigInteger;;makePositive;;1
java.math.BigInteger;;makePositive;;1
java.math.BigInteger;;readObject;;1
java.math.BigInteger;;writeObject;;1
java.math.MathContext;;<init>;;1
java.math.MathContext;;<init>;;1
java.math.MathContext;;equals;;1
java.math.MathContext;;readObject;;1
java.math.MutableBigInteger;;<init>;;1
java.math.MutableBigInteger;;<init>;;1
java.math.MutableBigInteger;;compare;;1
java.math.MutableBigInteger;;compareHalf;;1
java.math.MutableBigInteger;;copyValue;;1
java.math.MutableBigInteger;;divadd;;2
java.math.MutableBigInteger;;mulsub;;2
java.math.MutableBigInteger;;add;;1
java.math.MutableBigInteger;;subtract;;1
java.math.MutableBigInteger;;difference;;1
java.math.MutableBigInteger;;multiply;;2
java.math.MutableBigInteger;;mul;;1
java.math.MutableBigInteger;;divideOneWord;;1
java.math.MutableBigInteger;;divide;;2
java.math.MutableBigInteger;;divide;;1
java.math.MutableBigInteger;;divideMagnitude;;2
java.math.MutableBigInteger;;divWord;;1
java.math.MutableBigInteger;;hybridGCD;;1
java.math.MutableBigInteger;;binaryGCD;;1
java.math.MutableBigInteger;;mutableModInverse;;1
java.math.MutableBigInteger;;fixup;;2
java.math.BitSieve;;retrieve;;1
java.math.SignedMutableBigInteger;;signedAdd;;1
java.math.SignedMutableBigInteger;;signedSubtract;;1
