class name;;Method name;;number of detected pattern
java.net.URL;;<init>;;1
java.net.URL;;set;;1
java.net.InetAddress;;createNSProvider;;1
java.net.InetSocketAddress;;<init>;;1
java.net.Socket;;<init>;;1
java.net.Socket;;<init>;;1
java.net.Socket;;<init>;;1
java.net.Socket;;<init>;;1
java.net.Socket;;<init>;;1
java.net.Socket;;<init>;;1
java.net.Socket;;bind;;1
java.net.Socket;;checkAddress;;1
java.net.ServerSocket;;bind;;1
java.net.URLStreamHandler;;setURL;;1
java.net.URI;;hash;;1
java.net.URI;;hashIgnoringCase;;1
java.net.URI;;compare;;2
java.net.URI;;compareIgnoringCase;;2
java.net.URI;;appendAuthority;;1
java.net.URI;;appendSchemeSpecificPart;;1
java.net.URI;;decode;;1
java.net.URLConnection;;stripOffParameters;;1
java.net.CookieManager;;<init>;;2
java.net.HttpCookie;;setDomain;;1
java.net.DatagramSocket;;bind;;1
java.net.DatagramSocket;;checkAddress;;1
java.net.URLClassLoader;;definePackage;;1
