class name;;number of detected pattern
java.net.Proxy;;0
java.net.JarURLConnection;;1
java.net.BindException;;0
java.net.StandardSocketOptions;;0
java.net.Socket;;3
java.net.SdpSocketImpl;;0
java.net.NoRouteToHostException;;0
java.net.InetAddress;;7
java.net.HttpRetryException;;0
java.net.TwoStacksPlainDatagramSocketImpl;;1
java.net.AbstractPlainDatagramSocketImpl;;0
java.net.DatagramPacket;;1
java.net.ServerSocket;;3
java.net.PlainSocketImpl;;1
java.net.CacheResponse;;0
java.net.ProxySelector;;0
java.net.CookieHandler;;0
java.net.SocketImpl;;0
java.net.StandardProtocolFamily;;0
java.net.URLEncoder;;2
java.net.InMemoryCookieStore;;10
java.net.PasswordAuthentication;;1
java.net.DualStackPlainDatagramSocketImpl;;7
java.net.HttpCookie;;9
java.net.CacheRequest;;0
java.net.CookiePolicy;;0
java.net.HttpURLConnection;;1
java.net.MalformedURLException;;0
java.net.MulticastSocket;;3
java.net.DefaultDatagramSocketImplFactory;;0
java.net.SocketAddress;;0
java.net.DatagramSocketImpl;;0
java.net.URLStreamHandler;;12
java.net.SocketOutputStream;;1
java.net.ProtocolException;;0
java.net.Inet4Address;;1
java.net.TwoStacksPlainSocketImpl;;1
java.net.InetSocketAddress;;3
java.net.InterfaceAddress;;1
java.net.SocketException;;0
java.net.NetworkInterface;;5
java.net.ContentHandler;;1
java.net.URLConnection;;8
java.net.URISyntaxException;;0
java.net.NetPermission;;0
java.net.SocketPermission;;13
java.net.DefaultInterface;;0
java.net.SocksSocketImpl;;19
java.net.UnknownServiceException;;0
java.net.SocketTimeoutException;;0
java.net.AbstractPlainSocketImpl;;1
java.net.SocketInputStream;;1
java.net.URLDecoder;;2
java.net.DatagramSocket;;4
java.net.Inet6AddressImpl;;1
java.net.Inet4AddressImpl;;1
java.net.ConnectException;;0
java.net.PortUnreachableException;;0
java.net.UnknownHostException;;0
java.net.DualStackPlainSocketImpl;;4
java.net.IDN;;6
java.net.URLClassLoader;;10
java.net.Authenticator;;0
java.net.CookieManager;;2
java.net.URI;;40
java.net.Inet6Address;;7
java.net.SecureCacheResponse;;0
java.net.URL;;11
java.net.ResponseCache;;0
