class name;;Method name;;number of detected pattern
java.net.URL;;<init>;;1
java.net.URL;;<init>;;3
java.net.URL;;isValidProtocol;;1
java.net.URL;;checkSpecifyHandler;;1
java.net.URL;;set;;1
java.net.URL;;openConnection;;1
java.net.URL;;getURLStreamHandler;;1
java.net.URL;;writeObject;;1
java.net.URL;;readObject;;1
java.net.InetAddress;;getHostFromNameService;;1
java.net.InetAddress;;cacheAddresses;;1
java.net.InetAddress;;getCachedAddresses;;1
java.net.InetAddress;;getAllByName;;1
java.net.InetAddress;;checkNumericZone;;1
java.net.InetAddress;;getAddressesFromNameService;;1
java.net.InetAddress;;readObject;;1
java.net.DatagramPacket;;setData;;1
java.net.NetworkInterface;;getByName;;1
java.net.NetworkInterface;;getByInetAddress;;1
java.net.NetworkInterface;;equals;;1
java.net.NetworkInterface;;access$000;;1
java.net.NetworkInterface;;access$100;;1
java.net.InetSocketAddress;;<init>;;1
java.net.InetSocketAddress;;createUnresolved;;1
java.net.InetSocketAddress;;readObject;;1
java.net.InterfaceAddress;;equals;;1
java.net.AbstractPlainSocketImpl;;connectToAddress;;1
java.net.SocketInputStream;;<init>;;1
java.net.Socket;;<init>;;1
java.net.Socket;;<init>;;1
java.net.Socket;;connect;;1
java.net.ServerSocket;;<init>;;1
java.net.ServerSocket;;implAccept;;1
java.net.ServerSocket;;access$000;;1
java.net.SocketOutputStream;;<init>;;1
java.net.PasswordAuthentication;;<init>;;1
java.net.URLStreamHandler;;parseURL;;2
java.net.URLStreamHandler;;equals;;2
java.net.URLStreamHandler;;hashCode;;1
java.net.URLStreamHandler;;sameFile;;2
java.net.URLStreamHandler;;getHostAddress;;1
java.net.URLStreamHandler;;hostsEqual;;2
java.net.URLStreamHandler;;toExternalForm;;1
java.net.URLStreamHandler;;setURL;;1
java.net.URI;;equals;;1
java.net.URI;;compareTo;;1
java.net.URI;;writeObject;;1
java.net.URI;;readObject;;1
java.net.URI;;appendAuthority;;1
java.net.URI;;appendSchemeSpecificPart;;1
java.net.URI;;appendFragment;;1
java.net.URI;;resolvePath;;2
java.net.URI;;resolve;;2
java.net.URI;;normalize;;1
java.net.URI;;relativize;;2
java.net.URI;;needsNormalization;;1
java.net.URI;;split;;2
java.net.URI;;join;;2
java.net.URI;;removeDots;;2
java.net.URI;;maybeAddLeadingDot;;2
java.net.URI;;normalize;;1
java.net.URI;;lowMask;;1
java.net.URI;;highMask;;1
java.net.URI;;appendEscape;;1
java.net.URI;;appendEncoded;;1
java.net.URI;;quote;;1
java.net.URI;;encode;;1
java.net.URI;;access$002;;1
java.net.URI;;access$702;;1
java.net.URI;;access$1002;;1
java.net.URI;;access$1102;;1
java.net.URI;;access$1402;;1
java.net.URI;;access$1502;;1
java.net.URI;;access$2202;;1
java.net.URI;;access$2302;;1
java.net.URI;;access$2402;;1
java.net.URI;;access$2502;;1
java.net.URLConnection;;setRequestProperty;;1
java.net.URLConnection;;addRequestProperty;;1
java.net.URLConnection;;typeToPackageName;;1
java.net.URLConnection;;guessContentTypeFromStream;;1
java.net.URLConnection;;checkfpx;;1
java.net.URLConnection;;readBytes;;2
java.net.URLConnection;;skipForward;;1
java.net.ContentHandler;;getContent;;1
java.net.SocketPermission;;getHost;;1
java.net.SocketPermission;;init;;1
java.net.SocketPermission;;getMask;;1
java.net.SocketPermission;;match;;2
java.net.SocketPermission;;authorizedIPv4;;1
java.net.SocketPermission;;authorizedIPv6;;1
java.net.SocketPermission;;implies;;1
java.net.SocketPermission;;impliesIgnoreMask;;1
java.net.SocketPermission;;compareHostnames;;1
