class name;;Method name;;number of detected pattern
java.nio.Bits;;getCharL;;1
java.nio.Bits;;getCharB;;1
java.nio.Bits;;putCharL;;1
java.nio.Bits;;putCharB;;1
java.nio.Bits;;getShortL;;1
java.nio.Bits;;getShortB;;1
java.nio.Bits;;putShortL;;1
java.nio.Bits;;putShortB;;1
java.nio.Bits;;getIntL;;1
java.nio.Bits;;getIntB;;1
java.nio.Bits;;putIntL;;1
java.nio.Bits;;putIntB;;1
java.nio.Bits;;getLongL;;1
java.nio.Bits;;getLongB;;1
java.nio.Bits;;putLongL;;1
java.nio.Bits;;putLongB;;1
java.nio.ByteBuffer;;get;;1
java.nio.ByteBuffer;;put;;1
java.nio.ByteBuffer;;put;;1
java.nio.ByteBuffer;;equals;;1
java.nio.ByteBuffer;;compareTo;;1
java.nio.charset.Charset;;checkName;;1
java.nio.charset.Charset;;lookup;;1
java.nio.charset.Charset;;lookup2;;1
java.nio.charset.Charset;;put;;2
java.nio.charset.Charset;;compareTo;;1
java.nio.charset.Charset;;equals;;1
java.nio.CharBuffer;;read;;1
java.nio.CharBuffer;;wrap;;1
java.nio.CharBuffer;;get;;1
java.nio.CharBuffer;;put;;1
java.nio.CharBuffer;;put;;1
java.nio.CharBuffer;;put;;1
java.nio.CharBuffer;;put;;1
java.nio.CharBuffer;;equals;;1
java.nio.CharBuffer;;compareTo;;1
java.nio.ShortBuffer;;get;;1
java.nio.ShortBuffer;;put;;1
java.nio.ShortBuffer;;put;;1
java.nio.ShortBuffer;;equals;;1
java.nio.ShortBuffer;;compareTo;;1
java.nio.IntBuffer;;get;;1
java.nio.IntBuffer;;put;;1
java.nio.IntBuffer;;put;;1
java.nio.IntBuffer;;equals;;1
java.nio.IntBuffer;;compareTo;;1
java.nio.LongBuffer;;get;;1
java.nio.LongBuffer;;put;;1
java.nio.LongBuffer;;put;;1
java.nio.LongBuffer;;equals;;1
java.nio.LongBuffer;;compareTo;;1
java.nio.FloatBuffer;;get;;1
java.nio.FloatBuffer;;put;;1
java.nio.FloatBuffer;;put;;1
java.nio.FloatBuffer;;equals;;1
java.nio.FloatBuffer;;compareTo;;1
java.nio.DoubleBuffer;;get;;1
java.nio.DoubleBuffer;;put;;1
java.nio.DoubleBuffer;;put;;1
java.nio.DoubleBuffer;;equals;;1
java.nio.DoubleBuffer;;compareTo;;1
java.nio.HeapByteBuffer;;put;;1
java.nio.DirectByteBuffer;;<init>;;1
java.nio.DirectByteBuffer;;put;;1
java.nio.ByteBufferAsCharBufferB;;<init>;;1
java.nio.ByteBufferAsCharBufferL;;<init>;;1
java.nio.ByteBufferAsDoubleBufferB;;<init>;;1
java.nio.ByteBufferAsDoubleBufferL;;<init>;;1
java.nio.ByteBufferAsFloatBufferB;;<init>;;1
java.nio.ByteBufferAsFloatBufferL;;<init>;;1
java.nio.ByteBufferAsIntBufferB;;<init>;;1
java.nio.ByteBufferAsIntBufferL;;<init>;;1
java.nio.ByteBufferAsLongBufferB;;<init>;;1
java.nio.ByteBufferAsLongBufferL;;<init>;;1
java.nio.ByteBufferAsShortBufferB;;<init>;;1
java.nio.ByteBufferAsShortBufferL;;<init>;;1
java.nio.StringCharBuffer;;<init>;;1
java.nio.HeapCharBuffer;;put;;1
java.nio.DirectIntBufferS;;<init>;;1
java.nio.DirectIntBufferS;;put;;1
java.nio.DirectIntBufferU;;<init>;;1
java.nio.DirectIntBufferU;;put;;1
java.nio.DirectShortBufferU;;<init>;;1
java.nio.DirectShortBufferU;;put;;1
java.nio.DirectShortBufferS;;<init>;;1
java.nio.DirectShortBufferS;;put;;1
java.nio.DirectDoubleBufferU;;<init>;;1
java.nio.DirectDoubleBufferU;;put;;1
java.nio.DirectDoubleBufferS;;<init>;;1
java.nio.DirectDoubleBufferS;;put;;1
java.nio.DirectLongBufferU;;<init>;;1
java.nio.DirectLongBufferU;;put;;1
java.nio.DirectFloatBufferS;;<init>;;1
java.nio.DirectFloatBufferS;;put;;1
java.nio.DirectLongBufferS;;<init>;;1
java.nio.DirectLongBufferS;;put;;1
java.nio.DirectFloatBufferU;;<init>;;1
java.nio.DirectFloatBufferU;;put;;1
java.nio.DirectCharBufferU;;<init>;;1
java.nio.DirectCharBufferU;;put;;1
java.nio.DirectCharBufferS;;<init>;;1
java.nio.DirectCharBufferS;;put;;1
java.nio.HeapDoubleBuffer;;put;;1
java.nio.HeapFloatBuffer;;put;;1
java.nio.HeapIntBuffer;;put;;1
java.nio.HeapLongBuffer;;put;;1
java.nio.HeapShortBuffer;;put;;1
java.nio.channels.AsynchronousFileChannel;;open;;1
java.nio.file.spi.FileSystemProvider;;newInputStream;;1
java.nio.file.spi.FileSystemProvider;;newOutputStream;;1
java.nio.channels.FileChannel;;open;;1
java.nio.channels.spi.AbstractInterruptibleChannel;;access$000;;1
java.nio.channels.spi.AbstractInterruptibleChannel;;access$100;;1
java.nio.channels.spi.AbstractInterruptibleChannel;;access$102;;1
java.nio.channels.spi.AbstractInterruptibleChannel;;access$202;;1
java.nio.channels.Channels;;writeFullyImpl;;2
java.nio.channels.Channels;;writeFully;;1
java.nio.channels.Channels;;newChannel;;1
java.nio.channels.Channels;;newChannel;;1
java.nio.channels.Channels;;newReader;;1
java.nio.channels.Channels;;newWriter;;1
java.nio.charset.CharsetDecoder;;replaceWith;;1
java.nio.charset.CharsetDecoder;;onMalformedInput;;1
java.nio.charset.CharsetDecoder;;onUnmappableCharacter;;1
java.nio.charset.CharsetDecoder;;decode;;2
java.nio.charset.CharsetDecoder;;decode;;1
java.nio.charset.CharsetEncoder;;replaceWith;;1
java.nio.charset.CharsetEncoder;;onMalformedInput;;1
java.nio.charset.CharsetEncoder;;onUnmappableCharacter;;1
java.nio.charset.CharsetEncoder;;encode;;2
java.nio.charset.CharsetEncoder;;encode;;1
java.nio.charset.CharsetEncoder;;canEncode;;1
java.nio.channels.spi.AbstractSelectableChannel;;removeKey;;1
java.nio.channels.spi.AbstractSelectableChannel;;register;;1
java.nio.channels.spi.AbstractSelector;;deregister;;1
java.nio.file.CopyMoveHelper;;convertMoveToCopyOptions;;1
java.nio.file.CopyMoveHelper;;copyToForeignTarget;;1
java.nio.file.Files;;provider;;1
java.nio.file.Files;;newDirectoryStream;;2
java.nio.file.Files;;createDirectories;;1
java.nio.file.Files;;getAttribute;;1
java.nio.file.Files;;followLinks;;1
java.nio.file.Files;;newBufferedReader;;1
java.nio.file.Files;;newBufferedWriter;;1
java.nio.file.Files;;copy;;2
java.nio.file.Files;;copy;;1
java.nio.file.Files;;read;;1
java.nio.file.Files;;write;;2
