class name;;Method name;;number of detected pattern
java.rmi.Naming;;bind;;1
java.rmi.Naming;;rebind;;1
java.rmi.Naming;;getRegistry;;1
java.rmi.Naming;;parseURL;;1
java.rmi.activation.Activatable;;exportObject;;1
java.rmi.activation.Activatable;;exportObject;;2
java.rmi.activation.ActivationID;;equals;;1
java.rmi.activation.ActivationID;;writeObject;;1
java.rmi.activation.ActivationID;;readObject;;1
java.rmi.activation.ActivationDesc;;<init>;;1
java.rmi.activation.ActivationDesc;;equals;;1
java.rmi.server.RemoteObject;;equals;;1
java.rmi.server.RemoteObject;;writeObject;;1
java.rmi.server.RemoteObject;;readObject;;1
java.rmi.activation.ActivationGroup;;createGroup;;2
java.rmi.server.ObjID;;write;;1
java.rmi.server.ObjID;;read;;1
java.rmi.server.ObjID;;equals;;1
java.rmi.dgc.VMID;;equals;;1
java.rmi.server.UID;;equals;;1
java.rmi.server.UID;;write;;1
java.rmi.server.UID;;read;;1
java.rmi.activation.ActivationGroupID;;equals;;1
java.rmi.activation.ActivationGroupDesc;;equals;;1
java.rmi.server.UnicastRemoteObject;;readObject;;1
java.rmi.server.UnicastRemoteObject;;exportObject;;2
java.rmi.server.RemoteObjectInvocationHandler;;<init>;;1
java.rmi.server.RemoteObjectInvocationHandler;;invoke;;1
java.rmi.server.RemoteObjectInvocationHandler;;invokeObjectMethod;;2
java.rmi.server.RemoteObjectInvocationHandler;;invokeRemoteMethod;;2
java.rmi.server.RemoteObjectInvocationHandler;;proxyToString;;1
java.rmi.server.RemoteObjectInvocationHandler;;getMethodHash;;1
java.rmi.server.LogStream;;write;;1
java.rmi.server.LogStream;;parseLevel;;1
