class name;;Method name;;number of detected pattern
java.security.ProtectionDomain;;<init>;;1
java.security.AccessController;;preserveCombiner;;1
java.security.CodeSource;;implies;;1
java.security.CodeSource;;convertCertArrayToSignerArray;;1
java.security.Policy;;setPolicy;;1
java.security.Policy;;getPermissions;;1
java.security.Security;;getImpl;;1
java.security.Security;;getImpl;;1
java.security.Security;;isCriterionSatisfied;;1
java.security.KeyStoreSpi;;engineLoad;;1
java.security.KeyStoreSpi;;engineGetEntry;;1
java.security.UnresolvedPermission;;resolve;;1
java.security.SecureClassLoader;;getProtectionDomain;;1
java.security.cert.X509CertSelector;;setIssuer;;1
java.security.cert.X509CertSelector;;setIssuer;;1
java.security.cert.X509CertSelector;;setSubject;;1
java.security.cert.X509CertSelector;;setSubject;;1
java.security.cert.X509CertSelector;;setSubjectKeyIdentifier;;1
java.security.cert.X509CertSelector;;setAuthorityKeyIdentifier;;1
java.security.cert.X509CertSelector;;setCertificateValid;;1
java.security.cert.X509CertSelector;;setPrivateKeyValid;;1
java.security.cert.X509CertSelector;;setSubjectPublicKeyAlgID;;1
java.security.cert.X509CertSelector;;setSubjectPublicKey;;1
java.security.cert.X509CertSelector;;setSubjectPublicKey;;1
java.security.cert.X509CertSelector;;setKeyUsage;;1
java.security.cert.X509CertSelector;;setSubjectAlternativeNames;;1
java.security.cert.X509CertSelector;;setNameConstraints;;1
java.security.cert.X509CertSelector;;setPolicy;;1
java.security.cert.X509CRLSelector;;setDateAndTime;;1
java.security.cert.X509CRLSelector;;setDateAndTime;;1
java.security.cert.CertPathValidatorException;;<init>;;1
java.security.cert.PKIXParameters;;setInitialPolicies;;1
java.security.cert.PKIXParameters;;setCertStores;;1
java.security.cert.PKIXParameters;;setDate;;1
java.security.cert.PKIXParameters;;setCertPathCheckers;;1
java.security.cert.PKIXParameters;;setTargetCertConstraints;;1
java.security.cert.TrustAnchor;;setNameConstraints;;1
java.security.spec.EllipticCurve;;<init>;;1
java.security.spec.RSAMultiPrimePrivateCrtKeySpec;;<init>;;1
