class name;;Method name;;number of detected pattern
java.security.AccessControlContext;;<init>;;1
java.security.AccessControlContext;;<init>;;1
java.security.AccessControlContext;;checkPermission;;1
java.security.AccessControlContext;;goCombiner;;1
java.security.AccessControlContext;;equals;;1
java.security.AccessControlContext;;containsAllPDs;;1
java.security.AccessController;;checkPermission;;1
java.security.CodeSource;;equals;;1
java.security.CodeSource;;matchCerts;;1
java.security.CodeSource;;writeObject;;1
java.security.CodeSource;;readObject;;1
java.security.Policy;;initPolicy;;1
java.security.Policy;;getInstance;;1
java.security.Policy;;handleException;;1
java.security.Policy;;addStaticPerms;;1
java.security.Policy;;implies;;1
java.security.CodeSigner;;<init>;;1
java.security.CodeSigner;;readObject;;1
java.security.BasicPermission;;init;;1
java.security.BasicPermission;;readObject;;1
java.security.Provider;;readObject;;1
java.security.Provider;;implPutAll;;1
java.security.Provider;;implRemove;;1
java.security.Provider;;implPut;;1
java.security.Provider;;removeInvalidServices;;1
java.security.Provider;;getTypeAndAlgorithm;;1
java.security.Provider;;parseLegacyPut;;1
java.security.Provider;;putService;;1
java.security.Provider;;putPropertyStrings;;1
java.security.Provider;;removePropertyStrings;;1
java.security.Provider;;removeService;;1
java.security.Provider;;addEngine;;1
java.security.Provider;;getEngineName;;1
java.security.AlgorithmParameters;;getInstance;;1
java.security.AlgorithmParameterGenerator;;getInstance;;1
java.security.Security;;getProviderProperty;;1
java.security.Security;;getProviderProperty;;2
java.security.Security;;insertProviderAt;;1
java.security.Security;;getProviders;;1
java.security.Security;;getProviders;;1
java.security.Security;;invalidateSMCache;;1
java.security.Security;;getProvidersNotUsingCache;;1
java.security.Security;;isCriterionSatisfied;;1
java.security.Security;;isStandardAttr;;1
java.security.Security;;isConstraintSatisfied;;2
java.security.Security;;getFilterComponents;;2
java.security.MessageDigest;;getInstance;;1
java.security.MessageDigest;;update;;1
java.security.MessageDigest;;update;;1
java.security.MessageDigest;;digest;;1
java.security.MessageDigest;;isEqual;;2
java.security.MessageDigest;;access$000;;1
java.security.MessageDigest;;access$102;;1
java.security.MessageDigest;;access$100;;1
java.security.MessageDigest;;access$202;;1
java.security.MessageDigest;;access$200;;1
java.security.MessageDigestSpi;;engineUpdate;;1
java.security.cert.CertPath;;equals;;1
java.security.Timestamp;;readObject;;1
java.security.GuardedObject;;writeObject;;1
java.security.Identity;;addCertificate;;1
java.security.Identity;;keyEquals;;2
java.security.Identity;;equals;;1
java.security.Identity;;identityEquals;;1
java.security.IdentityScope;;getIdentity;;1
java.security.KeyPairGenerator;;getInstance;;1
java.security.spec.EncodedKeySpec;;<init>;;1
java.security.KeyStore;;getInstance;;1
java.security.KeyStore;;getEntry;;1
java.security.KeyStore;;access$000;;1
java.security.KeyStoreSpi;;engineSetEntry;;2
java.security.Permissions;;getPermissionCollection;;1
java.security.Permissions;;getUnresolvedPermissions;;1
java.security.Permissions;;writeObject;;1
java.security.Permissions;;readObject;;1
java.security.UnresolvedPermission;;<init>;;1
java.security.UnresolvedPermission;;resolve;;1
java.security.UnresolvedPermission;;equals;;1
java.security.UnresolvedPermission;;writeObject;;1
java.security.UnresolvedPermission;;readObject;;1
java.security.UnresolvedPermissionCollection;;add;;1
java.security.UnresolvedPermissionCollection;;getUnresolvedPermissions;;1
java.security.UnresolvedPermissionCollection;;writeObject;;1
java.security.UnresolvedPermissionCollection;;readObject;;1
java.security.Signature;;getInstance;;1
java.security.Signature;;getInstance;;1
java.security.Signature;;isSpi;;1
java.security.Signature;;getInstance;;1
java.security.Signature;;getInstance;;2
java.security.Signature;;getInstanceRSA;;1
java.security.Signature;;initVerify;;1
java.security.Signature;;sign;;1
java.security.Signature;;update;;1
java.security.Signature;;access$000;;1
java.security.SignatureSpi;;engineUpdate;;1
java.security.SignedObject;;verify;;1
java.security.SignedObject;;sign;;1
java.security.SignedObject;;readObject;;1
java.security.Signer;;setKeyPair;;1
java.security.URIParameter;;<init>;;1
java.security.cert.CertificateRevokedException;;writeObject;;1
java.security.cert.CertificateRevokedException;;readObject;;1
java.security.cert.CertPathHelperImpl;;implSetPathToNames;;1
java.security.cert.CertPathHelperImpl;;implSetDateAndTime;;1
java.security.cert.X509CertSelector;;addSubjectAlternativeName;;1
java.security.cert.X509CertSelector;;parseNames;;1
java.security.cert.X509CertSelector;;addPathToName;;1
java.security.cert.X509CertSelector;;cloneAndCheckNames;;1
java.security.cert.X509CertSelector;;keyUsageToString;;1
java.security.cert.X509CertSelector;;getExtensionObject;;1
java.security.cert.X509CertSelector;;match;;1
java.security.cert.X509CertSelector;;matchSubjectKeyID;;1
java.security.cert.X509CertSelector;;matchAuthorityKeyID;;1
java.security.cert.X509CertSelector;;matchSubjectPublicKeyAlgID;;1
java.security.cert.X509CertSelector;;matchKeyUsage;;1
java.security.cert.X509CertSelector;;matchExcluded;;1
java.security.cert.X509CertSelector;;matchPermitted;;1
java.security.cert.X509CertSelector;;matchBasicConstraints;;1
java.security.cert.X509CertSelector;;cloneSet;;1
java.security.cert.X509CRLSelector;;addIssuer;;1
java.security.cert.X509CRLSelector;;addIssuerName;;1
java.security.cert.X509CRLSelector;;cloneAndCheckIssuerNames;;1
java.security.cert.X509CRLSelector;;parseIssuerNames;;1
java.security.cert.X509CRLSelector;;match;;1
java.security.cert.CertPathValidatorException;;<init>;;2
java.security.cert.CertPathValidatorException;;readObject;;1
java.security.cert.CertStore;;handleException;;1
java.security.cert.CollectionCertStoreParameters;;<init>;;1
java.security.cert.LDAPCertStoreParameters;;<init>;;1
java.security.cert.PKIXParameters;;<init>;;1
java.security.cert.PKIXParameters;;setTrustAnchors;;1
java.security.cert.PKIXCertPathBuilderResult;;<init>;;1
java.security.cert.PKIXCertPathValidatorResult;;<init>;;2
java.security.cert.TrustAnchor;;<init>;;1
java.security.cert.TrustAnchor;;<init>;;2
java.security.cert.PolicyQualifierInfo;;<init>;;1
java.security.cert.X509CRL;;getRevokedCertificate;;1
java.security.cert.X509CRLEntry;;equals;;1
java.security.spec.ECParameterSpec;;<init>;;3
java.security.spec.EllipticCurve;;checkValidity;;2
java.security.spec.EllipticCurve;;<init>;;3
java.security.spec.EllipticCurve;;equals;;1
java.security.spec.ECPoint;;equals;;1
java.security.spec.RSAOtherPrimeInfo;;<init>;;3
java.security.spec.ECFieldF2m;;<init>;;1
java.security.spec.ECFieldF2m;;equals;;1
java.security.spec.ECFieldFp;;<init>;;1
java.security.spec.ECFieldFp;;equals;;1
java.security.spec.ECGenParameterSpec;;<init>;;1
java.security.spec.ECPrivateKeySpec;;<init>;;2
java.security.spec.ECPublicKeySpec;;<init>;;2
java.security.spec.MGF1ParameterSpec;;<init>;;1
java.security.spec.PSSParameterSpec;;<init>;;2
java.security.spec.RSAMultiPrimePrivateCrtKeySpec;;<init>;;8
