class name;;number of detected pattern
java.text.spi.DateFormatSymbolsProvider;;0
java.text.CollationElementIterator;;3
java.text.ChoiceFormat;;5
java.text.PatternEntry;;5
java.text.RBTableBuilder;;6
java.text.DigitList;;5
java.text.CalendarBuilder;;1
java.text.DontCareFieldPosition;;0
java.text.Annotation;;0
java.text.FieldPosition;;2
java.text.spi.BreakIteratorProvider;;0
java.text.RBCollationTables;;10
java.text.CollationKey;;1
java.text.DecimalFormat;;35
java.text.StringCharacterIterator;;4
java.text.CollationRules;;0
java.text.spi.DateFormatProvider;;0
java.text.BreakDictionary;;0
java.text.BreakIterator;;3
java.text.MergeCollation;;2
java.text.DictionaryBasedBreakIterator;;1
java.text.SimpleDateFormat;;35
java.text.DateFormatSymbols;;7
java.text.RuleBasedCollator;;1
java.text.spi.CollatorProvider;;0
java.text.RuleBasedCollationKey;;0
java.text.RuleBasedBreakIterator;;2
java.text.EntryPair;;0
java.text.ParsePosition;;0
java.text.Collator;;0
java.text.spi.NumberFormatProvider;;0
java.text.Format;;0
java.text.Normalizer;;2
java.text.AttributedString;;14
java.text.MessageFormat;;14
java.text.DecimalFormatSymbols;;4
java.text.Bidi;;3
java.text.CharacterIteratorFieldDelegate;;2
java.text.ParseException;;0
java.text.spi.DecimalFormatSymbolsProvider;;0
java.text.DateFormat;;1
java.text.NumberFormat;;3
