class name;;Method name;;number of detected pattern
java.util.WeakHashMap;;maskNull;;1
java.util.WeakHashMap;;unmaskNull;;1
java.util.WeakHashMap;;containsValue;;1
java.util.AbstractMap;;containsValue;;1
java.util.AbstractMap;;containsKey;;1
java.util.AbstractMap;;get;;1
java.util.AbstractMap;;remove;;1
java.util.AbstractMap;;eq;;2
java.util.AbstractCollection;;contains;;1
java.util.AbstractCollection;;remove;;1
java.util.Arrays;;legacyMergeSort;;1
java.util.Arrays;;legacyMergeSort;;1
java.util.Arrays;;binarySearch0;;1
java.util.Arrays;;hashCode;;1
java.util.Arrays;;hashCode;;1
java.util.Arrays;;hashCode;;1
java.util.Arrays;;hashCode;;1
java.util.Arrays;;hashCode;;1
java.util.Arrays;;hashCode;;1
java.util.Arrays;;hashCode;;1
java.util.Arrays;;hashCode;;1
java.util.Arrays;;hashCode;;1
java.util.Arrays;;deepHashCode;;1
java.util.Arrays;;toString;;1
java.util.Arrays;;toString;;1
java.util.Arrays;;toString;;1
java.util.Arrays;;toString;;1
java.util.Arrays;;toString;;1
java.util.Arrays;;toString;;1
java.util.Arrays;;toString;;1
java.util.Arrays;;toString;;1
java.util.Arrays;;toString;;1
java.util.Arrays;;deepToString;;1
java.util.Arrays;;deepToString;;1
java.util.Locale;;getInstance;;1
java.util.AbstractList;;indexOf;;1
java.util.AbstractList;;lastIndexOf;;1
java.util.ArrayDeque;;removeFirstOccurrence;;1
java.util.ArrayDeque;;removeLastOccurrence;;1
java.util.ArrayDeque;;contains;;1
java.util.HashMap;;get;;1
java.util.HashMap;;getEntry;;1
java.util.HashMap;;put;;1
java.util.HashMap;;putForCreate;;1
java.util.HashMap;;removeEntryForKey;;1
java.util.HashMap;;containsValue;;1
java.util.HashMap;;addEntry;;1
java.util.InvalidPropertiesFormatException;;<init>;;1
java.util.ArrayList;;indexOf;;1
java.util.ArrayList;;lastIndexOf;;1
java.util.ArrayList;;remove;;1
java.util.TimSort;;sort;;1
java.util.Date;;parse;;1
java.util.ResourceBundle;;hasValidParentChain;;1
java.util.concurrent.ConcurrentHashMap;;entryAt;;1
java.util.concurrent.ConcurrentHashMap;;segmentAt;;1
java.util.Collections;;binarySearch;;1
java.util.Collections;;min;;1
java.util.Collections;;max;;1
java.util.Collections;;replaceAll;;1
java.util.Collections;;reverseOrder;;1
java.util.Collections;;eq;;2
java.util.Collections;;frequency;;1
java.util.Currency;;info;;1
java.util.regex.Pattern;;printObjectTree;;1
java.util.EnumMap;;maskNull;;1
java.util.EnumMap;;unmaskNull;;1
java.util.EnumMap;;isValidKey;;1
java.util.JumboEnumSet;;contains;;1
java.util.JumboEnumSet;;remove;;1
java.util.RegularEnumSet;;contains;;1
java.util.RegularEnumSet;;remove;;1
java.util.Formatter;;nonNullAppendable;;1
java.util.Formatter;;format;;1
java.util.Objects;;hashCode;;1
java.util.Objects;;toString;;1
java.util.LinkedHashMap;;containsValue;;1
java.util.IdentityHashMap;;maskNull;;1
java.util.IdentityHashMap;;unmaskNull;;1
java.util.LinkedList;;remove;;1
java.util.LinkedList;;indexOf;;1
java.util.LinkedList;;lastIndexOf;;1
java.util.LinkedList;;removeLastOccurrence;;1
java.util.PropertyPermission;;getMask;;1
java.util.Vector;;indexOf;;1
java.util.Vector;;lastIndexOf;;1
java.util.Scanner;;getCompleteTokenInBuffer;;1
java.util.TreeMap;;valEquals;;2
java.util.TreeMap;;exportEntry;;1
java.util.TreeMap;;keyOrNull;;1
java.util.TreeMap;;successor;;1
java.util.TreeMap;;predecessor;;1
java.util.TreeMap;;colorOf;;1
java.util.TreeMap;;parentOf;;1
java.util.TreeMap;;leftOf;;1
java.util.TreeMap;;rightOf;;1
java.util.TreeMap;;buildFromSorted;;2
java.util.concurrent.locks.AbstractQueuedSynchronizer;;cancelAcquire;;1
java.util.concurrent.ArrayBlockingQueue;;remove;;1
java.util.concurrent.ArrayBlockingQueue;;contains;;1
java.util.concurrent.ConcurrentLinkedDeque;;initHeadTail;;1
java.util.concurrent.ConcurrentLinkedDeque;;contains;;1
java.util.concurrent.ConcurrentLinkedQueue;;contains;;1
java.util.concurrent.ConcurrentLinkedQueue;;remove;;1
java.util.concurrent.ConcurrentSkipListMap;;remove;;1
java.util.concurrent.CopyOnWriteArrayList;;eq;;2
java.util.concurrent.CopyOnWriteArrayList;;indexOf;;1
java.util.concurrent.CopyOnWriteArrayList;;lastIndexOf;;1
java.util.concurrent.CopyOnWriteArraySet;;eq;;2
java.util.concurrent.Exchanger;;exchange;;1
java.util.concurrent.Exchanger;;exchange;;1
java.util.concurrent.LinkedBlockingQueue;;remove;;1
java.util.concurrent.LinkedBlockingQueue;;contains;;1
java.util.concurrent.ThreadPoolExecutor;;addWorker;;1
java.util.concurrent.ForkJoinPool;;deregisterWorker;;1
java.util.concurrent.ForkJoinWorkerThread;;onTermination;;1
java.util.concurrent.LinkedBlockingDeque;;removeFirstOccurrence;;1
java.util.concurrent.LinkedBlockingDeque;;removeLastOccurrence;;1
java.util.concurrent.LinkedBlockingDeque;;contains;;1
java.util.concurrent.LinkedTransferQueue;;contains;;1
java.util.concurrent.Phaser;;<init>;;1
java.util.concurrent.locks.AbstractQueuedLongSynchronizer;;cancelAcquire;;1
java.util.zip.ZipFile;;getZipEntry;;1
java.util.jar.JarVerifier;;beginEntry;;1
java.util.jar.JarVerifier;;mapSignersToCertArray;;1
java.util.logging.StreamHandler;;setEncoding;;1
java.util.logging.Logger;;entering;;1
java.util.logging.Logger;;removeHandler;;1
java.util.logging.Logger;;setupResourceInfo;;1
java.util.logging.XMLFormatter;;escape;;1
java.util.logging.XMLFormatter;;getHead;;1
java.util.prefs.AbstractPreferences;;<init>;;1
