class name;;Method name;;number of detected pattern
java.util.WeakHashMap;;<init>;;1
java.util.WeakHashMap;;eq;;1
java.util.WeakHashMap;;hash;;1
java.util.WeakHashMap;;transfer;;2
java.util.WeakHashMap;;putAll;;1
java.util.WeakHashMap;;removeMapping;;1
java.util.AbstractMap;;putAll;;1
java.util.AbstractMap;;equals;;1
java.util.AbstractCollection;;toArray;;1
java.util.AbstractCollection;;finishToArray;;2
java.util.AbstractCollection;;containsAll;;1
java.util.AbstractCollection;;addAll;;1
java.util.AbstractCollection;;removeAll;;1
java.util.AbstractCollection;;retainAll;;1
java.util.Arrays;;legacyMergeSort;;1
java.util.Arrays;;mergeSort;;2
java.util.Arrays;;swap;;1
java.util.Arrays;;legacyMergeSort;;1
java.util.Arrays;;mergeSort;;3
java.util.Arrays;;binarySearch0;;1
java.util.Arrays;;binarySearch0;;1
java.util.Arrays;;binarySearch0;;1
java.util.Arrays;;binarySearch0;;1
java.util.Arrays;;binarySearch0;;1
java.util.Arrays;;binarySearch0;;1
java.util.Arrays;;binarySearch0;;1
java.util.Arrays;;binarySearch0;;1
java.util.Arrays;;binarySearch0;;1
java.util.Arrays;;fill;;1
java.util.Arrays;;fill;;1
java.util.Arrays;;fill;;1
java.util.Arrays;;fill;;1
java.util.Arrays;;fill;;1
java.util.Arrays;;fill;;1
java.util.Arrays;;fill;;1
java.util.Arrays;;fill;;1
java.util.Arrays;;fill;;1
java.util.Arrays;;fill;;1
java.util.Arrays;;fill;;1
java.util.Arrays;;fill;;1
java.util.Arrays;;fill;;1
java.util.Arrays;;fill;;1
java.util.Arrays;;fill;;1
java.util.Arrays;;fill;;1
java.util.Arrays;;fill;;1
java.util.Arrays;;fill;;1
java.util.Arrays;;copyOf;;1
java.util.Arrays;;copyOf;;1
java.util.Arrays;;copyOfRange;;1
java.util.Arrays;;copyOfRange;;1
java.util.Arrays;;deepEquals0;;1
java.util.Arrays;;deepToString;;2
java.util.Locale;;getDefault;;1
java.util.Locale;;initDefault;;1
java.util.Locale;;setDefault;;2
java.util.Locale;;getISO2Table;;1
java.util.Locale;;getISO3Code;;2
java.util.Locale;;getDisplayString;;2
java.util.Locale;;equals;;1
java.util.Locale;;formatList;;1
java.util.Locale;;composeList;;2
java.util.Locale;;writeObject;;1
java.util.Locale;;readObject;;1
java.util.Locale;;getCompatibilityExtensions;;1
java.util.Locale;;access$600;;1
java.util.Locale;;access$700;;1
java.util.AbstractList;;addAll;;1
java.util.AbstractList;;equals;;1
java.util.AbstractSet;;equals;;1
java.util.AbstractSet;;removeAll;;1
java.util.AbstractQueue;;addAll;;1
java.util.AbstractSequentialList;;addAll;;1
java.util.ArrayDeque;;<init>;;1
java.util.ArrayDeque;;addFirst;;1
java.util.ArrayDeque;;addLast;;1
java.util.ArrayDeque;;toArray;;1
java.util.ArrayDeque;;writeObject;;1
java.util.ArrayDeque;;readObject;;1
java.util.ArrayDeque;;access$200;;1
java.util.ArrayDeque;;access$300;;1
java.util.ArrayDeque;;access$400;;1
java.util.ArrayDeque;;access$500;;1
java.util.Properties;;load0;;1
java.util.Properties;;loadConvert;;2
java.util.Properties;;saveConvert;;1
java.util.Properties;;writeComments;;2
java.util.Properties;;store0;;1
java.util.Properties;;loadFromXML;;1
java.util.Properties;;storeToXML;;1
