class name;;number of detected pattern
org.jhotdraw.draw.ToolEvent;;0
org.jhotdraw.draw.action.VerticalGridLayout;;3
org.jhotdraw.draw.AbstractConnector;;4
org.jhotdraw.draw.HandleTracker;;5
org.jhotdraw.draw.AbstractFigure;;1
org.jhotdraw.xml.XMLTransferable;;0
org.jhotdraw.samples.svg.SVGApplicationModel;;4
org.jhotdraw.app.action.OpenRecentAction;;4
org.jhotdraw.samples.pert.figures.SeparatorLineFigure;;2
net.n3.nanoxml.XMLElement;;7
org.jhotdraw.samples.pert.Main;;0
org.jhotdraw.draw.action.AbstractEditorAction;;0
net.n3.nanoxml.PIReader;;1
org.jhotdraw.app.action.ClearRecentFilesAction;;3
org.jhotdraw.xml.NanoXMLDOMOutput;;2
org.jhotdraw.geom.Geom;;29
org.jhotdraw.app.AbstractProject;;0
org.jhotdraw.app.action.Actions;;4
org.jhotdraw.util.ResourceBundleUtil;;5
org.jhotdraw.app.action.AbstractApplicationAction;;2
org.jhotdraw.samples.svg.figures.SVGText;;3
org.jhotdraw.draw.GeneralPathTip;;0
org.jhotdraw.app.action.MaximizeAction;;0
org.jhotdraw.draw.EllipseFigure;;6
org.jhotdraw.draw.HorizontalLayouter;;3
org.jhotdraw.draw.action.ZoomEditorAction;;0
org.jhotdraw.app.action.NewAction;;0
net.n3.nanoxml.XMLAttribute;;0
org.jhotdraw.draw.HandleMulticaster;;2
org.jhotdraw.samples.svg.SVGUtil;;11
org.jhotdraw.samples.svg.SVGLiveConnectApplet;;0
org.jhotdraw.draw.DefaultDrawing;;13
org.jhotdraw.samples.draw.Main;;0
org.jhotdraw.draw.DiamondFigure;;6
org.jhotdraw.app.action.OpenAction;;3
org.jhotdraw.draw.RelativeDecoratorLocator;;1
org.jhotdraw.app.action.ToggleProjectPropertyAction;;5
org.jhotdraw.draw.action.ZoomAction;;0
org.jhotdraw.draw.action.UngroupAction;;4
org.jhotdraw.draw.FigureEvent;;0
org.jhotdraw.app.action.ClearAction;;1
org.jhotdraw.draw.LineFigure;;2
org.jhotdraw.geom.Insets2DDouble;;3
org.jhotdraw.draw.BezierFigure;;12
org.jhotdraw.draw.AbstractLocator;;0
org.jhotdraw.app.DefaultMDIApplication;;9
org.jhotdraw.draw.CompositeFigure;;0
org.jhotdraw.draw.FontSizeHandle;;2
org.jhotdraw.app.action.ToggleVisibleAction;;2
org.jhotdraw.draw.AbstractLayouter;;1
org.jhotdraw.draw.BezierScaleHandle;;2
org.jhotdraw.app.action.SaveBeforeAction;;4
org.jhotdraw.draw.action.JPopupButtonBeanInfo;;0
org.jhotdraw.draw.action.AbstractViewAction;;2
org.jhotdraw.draw.BezierControlPointHandle;;3
org.jhotdraw.draw.TextTool;;3
org.jhotdraw.samples.pert.PertApplicationModel;;3
org.jhotdraw.draw.CloseHandle;;1
org.jhotdraw.draw.AttributeKey;;4
net.n3.nanoxml.ContentReader;;1
org.jhotdraw.draw.GraphicalCompositeFigure;;5
org.jhotdraw.draw.action.DefaultAttributeAction;;2
org.jhotdraw.draw.ChopBoxConnector;;2
org.jhotdraw.app.DefaultOSXApplication;;0
org.jhotdraw.samples.svg.SVGApplet;;0
org.jhotdraw.draw.AbstractTool;;5
org.jhotdraw.draw.FontSizeLocator;;1
org.jhotdraw.samples.draw.DrawFigureFactory;;0
org.jhotdraw.draw.AttributedFigure;;9
org.jhotdraw.draw.action.RunnableWorker;;0
org.jhotdraw.draw.action.AlignAction;;0
org.jhotdraw.draw.action.MoveToFrontAction;;2
org.jhotdraw.xml.NanoXMLLiteDOMOutput;;2
org.jhotdraw.draw.ChopEllipseConnector;;0
org.jhotdraw.samples.net.Main;;0
org.jhotdraw.app.action.PasteAction;;0
org.jhotdraw.samples.draw.DrawingPanel;;2
org.jhotdraw.draw.AttributeKeys;;0
org.jhotdraw.app.action.UndoAction;;2
org.jhotdraw.geom.GrowStroke;;1
org.jhotdraw.samples.svg.SVGPanelBeanInfo;;0
org.jhotdraw.app.action.SaveAction;;3
org.jhotdraw.samples.svg.SVGFigureFactory;;0
org.jhotdraw.draw.action.ToggleGridAction;;0
org.jhotdraw.util.ReversedList;;0
org.jhotdraw.draw.ConnectionTool;;8
org.jhotdraw.samples.net.NetProject;;4
org.jhotdraw.draw.HandleEvent;;0
org.jhotdraw.draw.FloatingTextField;;3
org.jhotdraw.draw.NullHandle;;2
net.n3.nanoxml.XMLException;;2
net.n3.nanoxml.StdXMLBuilder;;1
org.jhotdraw.xml.NanoXMLLiteDOMInput;;0
org.jhotdraw.app.action.FocusAction;;1
org.jhotdraw.samples.svg.figures.SVGRect;;1
org.jhotdraw.samples.svg.SVGProject;;2
org.jhotdraw.draw.ChopBezierConnector;;0
org.jhotdraw.draw.action.LineDecorationIcon;;1
org.jhotdraw.geom.BezierPath;;6
org.jhotdraw.samples.pert.PertApplet;;0
org.jhotdraw.draw.AbstractFigureListener;;0
org.jhotdraw.gui.PlacardScrollPaneLayout;;0
org.jhotdraw.draw.RestoreDataEdit;;1
org.jhotdraw.samples.svg.figures.SVGGroup;;2
org.jhotdraw.gui.datatransfer.CompositeTransferable;;1
org.jhotdraw.draw.AbstractLineDecoration;;3
org.jhotdraw.samples.svg.action.CombineAction;;5
org.jhotdraw.draw.LocatorHandle;;0
org.jhotdraw.draw.BezierNodeHandle;;1
nanoxml.XMLParseException;;0
org.jhotdraw.app.action.SelectAllAction;;0
org.jhotdraw.draw.SlantedLiner;;3
org.jhotdraw.geom.QuadTree2DDouble;;5
org.jhotdraw.app.action.OSXTogglePaletteAction;;1
org.jhotdraw.draw.action.PaletteMenuItemUI;;2
org.jhotdraw.draw.AbstractHandle;;5
org.jhotdraw.app.action.OSXDropOnDockAction;;0
org.jhotdraw.draw.TextAreaTool;;3
org.jhotdraw.draw.RelativeLocator;;3
org.jhotdraw.draw.ChangeConnectionHandle;;2
org.jhotdraw.gui.JSheet;;11
org.jhotdraw.app.DefaultAppletApplication;;1
org.jhotdraw.samples.net.NetPanel;;2
org.jhotdraw.draw.SetBoundsEdit;;2
org.jhotdraw.samples.svg.PathTool;;0
org.jhotdraw.draw.GroupFigure;;0
org.jhotdraw.app.DefaultApplicationModel;;0
org.jhotdraw.draw.SelectionTool;;2
org.jhotdraw.draw.CreationTool;;3
org.jhotdraw.draw.ArrowTip;;2
org.jhotdraw.draw.DelegationSelectionTool;;7
org.jhotdraw.draw.ChopTriangleConnector;;0
