class name;;Method name;;number of detected pattern
nanoxml.XMLElement;;setAttribute;;2
nanoxml.XMLElement;;setIntAttribute;;1
nanoxml.XMLElement;;setDoubleAttribute;;1
nanoxml.XMLElement;;getAttribute;;1
nanoxml.XMLElement;;getAttribute;;2
nanoxml.XMLElement;;getIntAttribute;;1
nanoxml.XMLElement;;getIntAttribute;;2
nanoxml.XMLElement;;getDoubleAttribute;;1
nanoxml.XMLElement;;getDoubleAttribute;;2
nanoxml.XMLElement;;getBooleanAttribute;;1
nanoxml.XMLElement;;parseString;;1
nanoxml.XMLElement;;parseString;;1
nanoxml.XMLElement;;parseString;;1
nanoxml.XMLElement;;removeAttribute;;1
nanoxml.XMLElement;;write;;1
nanoxml.XMLElement;;print;;1
nanoxml.XMLElement;;writeEncoded;;2
nanoxml.XMLElement;;scanIdentifier;;1
nanoxml.XMLElement;;scanWhitespace;;1
nanoxml.XMLElement;;scanString;;1
nanoxml.XMLElement;;scanPCData;;1
nanoxml.XMLElement;;checkCDATA;;1
nanoxml.XMLElement;;checkLiteral;;1
nanoxml.XMLElement;;scanElement;;1
nanoxml.XMLElement;;resolveEntity;;1
net.n3.nanoxml.CDATAReader;;read;;1
net.n3.nanoxml.ContentReader;;read;;1
net.n3.nanoxml.XMLUtil;;skipComment;;1
net.n3.nanoxml.XMLUtil;;skipTag;;1
net.n3.nanoxml.XMLUtil;;scanPublicID;;1
net.n3.nanoxml.XMLUtil;;scanIdentifier;;1
net.n3.nanoxml.XMLUtil;;scanString;;1
net.n3.nanoxml.XMLUtil;;processEntity;;3
net.n3.nanoxml.XMLUtil;;processCharLiteral;;1
net.n3.nanoxml.XMLUtil;;skipWhitespace;;1
net.n3.nanoxml.XMLUtil;;read;;1
net.n3.nanoxml.XMLUtil;;readChar;;1
net.n3.nanoxml.XMLUtil;;checkLiteral;;2
net.n3.nanoxml.XMLException;;printStackTrace;;1
net.n3.nanoxml.XMLException;;printStackTrace;;1
net.n3.nanoxml.NonValidator;;parseDTD;;1
net.n3.nanoxml.NonValidator;;processConditionalSection;;1
net.n3.nanoxml.NonValidator;;processAttList;;1
net.n3.nanoxml.NonValidator;;processEntity;;2
net.n3.nanoxml.NonValidator;;elementAttributesProcessed;;1
net.n3.nanoxml.XMLEntityResolver;;openExternalEntity;;1
net.n3.nanoxml.PIReader;;read;;1
net.n3.nanoxml.StdXMLBuilder;;addPCData;;1
net.n3.nanoxml.XMLElement;;<init>;;1
net.n3.nanoxml.XMLElement;;setName;;1
net.n3.nanoxml.XMLElement;;addChild;;1
net.n3.nanoxml.XMLElement;;insertChild;;1
net.n3.nanoxml.XMLElement;;removeChild;;1
net.n3.nanoxml.XMLElement;;setAttribute;;1
net.n3.nanoxml.XMLElement;;equalsXMLElement;;1
net.n3.nanoxml.StdXMLParser;;processElement;;1
net.n3.nanoxml.StdXMLParser;;processAttribute;;3
net.n3.nanoxml.StdXMLReader;;getEncoding;;1
net.n3.nanoxml.StdXMLReader;;stream2reader;;1
net.n3.nanoxml.XMLWriter;;write;;1
net.n3.nanoxml.XMLWriter;;writeEncoded;;1
org.jhotdraw.app.AbstractApplication;;remove;;1
org.jhotdraw.app.AbstractApplication;;add;;1
org.jhotdraw.app.AbstractApplication;;dispose;;1
org.jhotdraw.util.ResourceBundleUtil;;getImageIcon;;1
org.jhotdraw.util.ResourceBundleUtil;;configureAction;;1
org.jhotdraw.util.ResourceBundleUtil;;configureButton;;1
org.jhotdraw.util.ResourceBundleUtil;;configureToolBarButton;;1
org.jhotdraw.util.ResourceBundleUtil;;configureMenu;;1
org.jhotdraw.app.DefaultAppletApplication;;show;;1
org.jhotdraw.app.DefaultMDIApplication;;initProjectActions;;1
org.jhotdraw.app.DefaultMDIApplication;;show;;1
org.jhotdraw.app.DefaultMDIApplication;;hide;;1
org.jhotdraw.app.DefaultMDIApplication;;wrapDesktopPane;;1
org.jhotdraw.app.DefaultMDIApplication;;addStandardActionsTo;;1
org.jhotdraw.app.DefaultMDIApplication;;updateOpenRecentMenu;;1
org.jhotdraw.app.DefaultMDIApplication;;access$0;;1
org.jhotdraw.app.DefaultMDIApplication;;access$1;;1
org.jhotdraw.app.DefaultMDIApplication;;access$2;;1
org.jhotdraw.gui.MDIDesktopPane;;setArrangement;;1
org.jhotdraw.gui.MDIDesktopPane;;setAllSize;;1
org.jhotdraw.app.action.OpenRecentAction;;<init>;;1
org.jhotdraw.app.action.OpenRecentAction;;openFile;;1
org.jhotdraw.app.action.OpenRecentAction;;fileOpened;;1
org.jhotdraw.app.action.OpenRecentAction;;access$0;;1
org.jhotdraw.app.action.ClearRecentFilesAction;;installApplicationListeners;;1
org.jhotdraw.app.action.ClearRecentFilesAction;;uninstallApplicationListeners;;1
org.jhotdraw.app.action.ClearRecentFilesAction;;access$0;;1
org.jhotdraw.app.action.Actions;;configureJCheckBoxMenuItem;;2
org.jhotdraw.app.action.Actions;;unconfigureJCheckBoxMenuItem;;2
org.jhotdraw.app.action.ToggleToolBarAction;;putValue;;1
org.jhotdraw.app.action.RedoAction;;installProjectListeners;;1
org.jhotdraw.app.action.RedoAction;;uninstallProjectListeners;;1
org.jhotdraw.app.action.OpenAction;;openFile;;2
org.jhotdraw.app.action.OpenAction;;fileOpened;;1
org.jhotdraw.app.action.CloseAction;;doIt;;1
org.jhotdraw.app.action.UndoAction;;installProjectListeners;;1
org.jhotdraw.app.action.UndoAction;;uninstallProjectListeners;;1
org.jhotdraw.app.action.SaveAction;;saveToFile;;1
org.jhotdraw.app.action.SaveAction;;fileSaved;;1
org.jhotdraw.app.action.SaveAction;;access$0;;1
org.jhotdraw.app.action.ExitAction;;fileSaved;;1
org.jhotdraw.app.action.ExitAction;;fileSavedAndReviewNext;;1
org.jhotdraw.app.action.ExitAction;;access$0;;1
org.jhotdraw.app.action.ExitAction;;access$1;;1
org.jhotdraw.app.action.FocusAction;;<init>;;1
org.jhotdraw.util.prefs.PreferencesUtil;;installFramePrefsHandler;;2
org.jhotdraw.util.prefs.PreferencesUtil;;installPalettePrefsHandler;;2
org.jhotdraw.util.prefs.PreferencesUtil;;installInternalFramePrefsHandler;;3
org.jhotdraw.app.action.ArrangeAction;;<init>;;1
org.jhotdraw.app.action.AbstractApplicationAction;;installApplicationListeners;;1
org.jhotdraw.app.action.AbstractApplicationAction;;uninstallApplicationListeners;;1
org.jhotdraw.app.action.AbstractProjectAction;;installProjectListeners;;1
org.jhotdraw.app.action.AbstractProjectAction;;uninstallProjectListeners;;1
org.jhotdraw.app.action.SaveBeforeAction;;saveChanges;;1
org.jhotdraw.app.action.SaveBeforeAction;;saveToFile;;1
org.jhotdraw.app.action.SaveBeforeAction;;fileSaved;;1
org.jhotdraw.app.action.SaveBeforeAction;;access$0;;1
org.jhotdraw.app.OSXPaletteHandler;;add;;1
org.jhotdraw.app.OSXPaletteHandler;;remove;;1
org.jhotdraw.app.OSXPaletteHandler;;addPalette;;1
org.jhotdraw.app.OSXPaletteHandler;;removePalette;;1
org.jhotdraw.app.OSXPaletteHandler;;isFocused;;1
org.jhotdraw.app.OSXPaletteHandler;;access$0;;1
org.jhotdraw.app.OSXPaletteHandler;;access$1;;1
org.jhotdraw.app.OSXPaletteHandler;;access$2;;1
org.jhotdraw.app.OSXPaletteHandler;;access$3;;1
org.jhotdraw.app.OSXPaletteHandler;;access$4;;1
org.jhotdraw.app.DefaultSDIApplication;;show;;1
org.jhotdraw.app.DefaultSDIApplication;;wrapProjectComponent;;1
org.jhotdraw.app.DefaultSDIApplication;;addStandardActionsTo;;1
org.jhotdraw.app.DefaultSDIApplication;;hide;;1
org.jhotdraw.app.DefaultSDIApplication;;updateOpenRecentMenu;;1
org.jhotdraw.app.DefaultSDIApplication;;access$0;;1
org.jhotdraw.app.action.LoadAction;;doIt;;1
org.jhotdraw.app.action.LoadAction;;openFile;;2
org.jhotdraw.app.action.LoadAction;;fileOpened;;1
org.jhotdraw.app.action.ClearAction;;doIt;;1
org.jhotdraw.app.action.ToggleVisibleAction;;<init>;;1
org.jhotdraw.app.action.ToggleVisibleAction;;access$0;;1
org.jhotdraw.app.action.LoadRecentAction;;<init>;;1
org.jhotdraw.app.action.LoadRecentAction;;doIt;;1
org.jhotdraw.app.action.LoadRecentAction;;fileOpened;;1
org.jhotdraw.app.action.LoadRecentAction;;access$0;;1
org.jhotdraw.gui.JSheet;;fireOptionSelected;;1
org.jhotdraw.gui.JSheet;;showSheet;;1
org.jhotdraw.gui.JSheet;;showInputSheet;;1
org.jhotdraw.gui.JSheet;;showOptionSheet;;1
org.jhotdraw.gui.JSheet;;createSheet;;1
org.jhotdraw.gui.JSheet;;showSaveSheet;;1
org.jhotdraw.gui.JSheet;;showOpenSheet;;1
org.jhotdraw.gui.JSheet;;showSheet;;1
org.jhotdraw.gui.JSheet;;access$0;;1
org.jhotdraw.gui.JSheet;;access$1;;1
org.jhotdraw.gui.JSheet;;access$2;;1
org.jhotdraw.app.action.ExportAction;;exportToFile;;1
org.jhotdraw.app.action.ExportAction;;fileExported;;1
org.jhotdraw.app.action.ExportAction;;access$0;;1
org.jhotdraw.util.Methods;;invoke;;1
org.jhotdraw.util.Methods;;invoke;;1
org.jhotdraw.util.Methods;;invokeStatic;;1
org.jhotdraw.util.Methods;;invokeStatic;;1
org.jhotdraw.util.Methods;;invokeGetter;;1
org.jhotdraw.util.Methods;;invokeGetter;;1
org.jhotdraw.util.Methods;;invokeGetter;;1
org.jhotdraw.util.Methods;;invokeGetter;;1
org.jhotdraw.util.Methods;;invokeStaticGetter;;1
org.jhotdraw.util.Methods;;invoke;;1
org.jhotdraw.util.Methods;;invoke;;1
org.jhotdraw.util.Methods;;invoke;;1
org.jhotdraw.util.Methods;;invoke;;1
org.jhotdraw.util.Methods;;invoke;;1
org.jhotdraw.app.action.OSXTogglePaletteAction;;putValue;;1
org.jhotdraw.app.action.ProjectPropertyAction;;<init>;;1
org.jhotdraw.app.action.ProjectPropertyAction;;<init>;;1
org.jhotdraw.app.action.ProjectPropertyAction;;installProjectListeners;;1
org.jhotdraw.app.action.ProjectPropertyAction;;uninstallProjectListeners;;1
org.jhotdraw.app.action.ProjectPropertyAction;;access$0;;1
org.jhotdraw.app.action.ProjectPropertyAction;;access$1;;1
org.jhotdraw.app.action.ToggleProjectPropertyAction;;<init>;;1
org.jhotdraw.app.action.ToggleProjectPropertyAction;;installProjectListeners;;1
org.jhotdraw.app.action.ToggleProjectPropertyAction;;uninstallProjectListeners;;1
org.jhotdraw.app.action.ToggleProjectPropertyAction;;access$0;;1
org.jhotdraw.app.action.ToggleProjectPropertyAction;;access$1;;1
org.jhotdraw.draw.AbstractAttributedCompositeFigure;;setAttributes;;1
org.jhotdraw.draw.AbstractAttributedCompositeFigure;;getAttribute;;1
org.jhotdraw.draw.AbstractAttributedCompositeFigure;;drawFigure;;1
org.jhotdraw.draw.AbstractAttributedCompositeFigure;;writeAttributes;;1
org.jhotdraw.draw.AbstractAttributedCompositeFigure;;readAttributes;;1
org.jhotdraw.draw.AbstractAttributedCompositeFigure;;applyAttributesTo;;1
org.jhotdraw.draw.AbstractAttributedCompositeFigure;;removeAttribute;;1
org.jhotdraw.draw.AbstractCompositeFigure;;add;;1
org.jhotdraw.draw.AbstractCompositeFigure;;addAll;;1
org.jhotdraw.draw.AbstractCompositeFigure;;basicAdd;;1
org.jhotdraw.draw.AbstractCompositeFigure;;basicAddAll;;1
org.jhotdraw.draw.AbstractCompositeFigure;;remove;;1
org.jhotdraw.draw.AbstractCompositeFigure;;sendToBack;;1
org.jhotdraw.draw.AbstractCompositeFigure;;sendToFront;;1
org.jhotdraw.draw.AbstractCompositeFigure;;basicSetBounds;;2
org.jhotdraw.draw.AbstractCompositeFigure;;undoableEditHappened;;1
org.jhotdraw.draw.AbstractCompositeFigure;;read;;1
org.jhotdraw.draw.AbstractCompositeFigure;;write;;1
org.jhotdraw.draw.AbstractCompositeFigure;;restoreTo;;1
org.jhotdraw.draw.AttributeKey;;get;;1
org.jhotdraw.draw.AttributeKey;;set;;1
org.jhotdraw.draw.AttributeKey;;basicSet;;1
org.jhotdraw.draw.AttributeKey;;equals;;1
org.jhotdraw.draw.AbstractFigure;;setBounds;;1
org.jhotdraw.geom.Dimension2DDouble;;<init>;;1
org.jhotdraw.geom.Dimension2DDouble;;setSize;;1
org.jhotdraw.geom.Dimension2DDouble;;equals;;1
org.jhotdraw.geom.Geom;;outcode;;2
org.jhotdraw.geom.Geom;;outcode;;2
org.jhotdraw.geom.Geom;;south;;1
org.jhotdraw.geom.Geom;;south;;1
org.jhotdraw.geom.Geom;;center;;1
org.jhotdraw.geom.Geom;;center;;1
org.jhotdraw.geom.Geom;;chop;;2
org.jhotdraw.geom.Geom;;west;;1
org.jhotdraw.geom.Geom;;west;;1
org.jhotdraw.geom.Geom;;east;;1
org.jhotdraw.geom.Geom;;east;;1
org.jhotdraw.geom.Geom;;north;;1
org.jhotdraw.geom.Geom;;north;;1
org.jhotdraw.geom.Geom;;length;;2
org.jhotdraw.geom.Geom;;cap;;2
org.jhotdraw.geom.Geom;;pointToAngle;;2
org.jhotdraw.geom.Geom;;pointToAngle;;2
org.jhotdraw.geom.Geom;;angleToPoint;;1
org.jhotdraw.geom.Geom;;angleToPoint;;1
org.jhotdraw.geom.Geom;;ovalAngleToPoint;;1
org.jhotdraw.geom.Geom;;ovalAngleToPoint;;1
org.jhotdraw.geom.Geom;;grow;;1
org.jhotdraw.draw.AbstractConnector;;getConnectorTarget;;1
org.jhotdraw.draw.AbstractConnector;;draw;;1
org.jhotdraw.draw.AbstractConnector;;read;;1
org.jhotdraw.draw.AbstractConnector;;write;;1
org.jhotdraw.draw.AbstractDrawing;;addAll;;1
org.jhotdraw.draw.AbstractDrawing;;basicAddAll;;1
org.jhotdraw.draw.AbstractDrawing;;add;;1
org.jhotdraw.draw.AbstractDrawing;;remove;;1
org.jhotdraw.draw.AbstractDrawing;;fireFigureAdded;;1
org.jhotdraw.draw.AbstractDrawing;;fireFigureRemoved;;1
org.jhotdraw.draw.AbstractDrawing;;read;;1
org.jhotdraw.draw.AbstractDrawing;;write;;1
org.jhotdraw.draw.SetBoundsEdit;;addEdit;;1
org.jhotdraw.draw.SetBoundsEdit;;replaceEdit;;1
org.jhotdraw.draw.BoxHandleKit;;addLeadHandles;;1
org.jhotdraw.draw.BoxHandleKit;;addEdgeHandles;;1
org.jhotdraw.draw.TransformEdit;;<init>;;1
org.jhotdraw.draw.TransformEdit;;<init>;;1
org.jhotdraw.draw.TransformEdit;;addEdit;;1
org.jhotdraw.draw.TransformEdit;;replaceEdit;;1
org.jhotdraw.geom.Insets2DDouble;;equals;;1
org.jhotdraw.geom.Insets2DDouble;;write;;1
org.jhotdraw.geom.Insets2DDouble;;read;;1
org.jhotdraw.draw.ChopBoxConnector;;findStart;;1
org.jhotdraw.draw.ChopBoxConnector;;findEnd;;1
org.jhotdraw.draw.AbstractHandle;;<init>;;1
org.jhotdraw.draw.AbstractHandle;;drawCircle;;1
org.jhotdraw.draw.AbstractHandle;;drawRectangle;;1
org.jhotdraw.draw.AbstractHandle;;drawDiamond;;1
org.jhotdraw.draw.AbstractHandle;;isCombinableWith;;1
org.jhotdraw.draw.AbstractLayouter;;getInsets;;1
org.jhotdraw.draw.AbstractLineDecoration;;draw;;1
org.jhotdraw.draw.AbstractLineDecoration;;getTransformedDecoratorPath;;2
org.jhotdraw.draw.AbstractTool;;keyPressed;;1
org.jhotdraw.draw.AbstractTool;;mouseEntered;;1
org.jhotdraw.draw.AbstractTool;;mousePressed;;1
org.jhotdraw.draw.AbstractTool;;fireAreaInvalidated;;1
org.jhotdraw.draw.AbstractTool;;updateCursor;;1
org.jhotdraw.draw.ArrowTip;;read;;1
org.jhotdraw.draw.ArrowTip;;write;;1
org.jhotdraw.draw.AttributedFigure;;setAttributes;;1
org.jhotdraw.draw.AttributedFigure;;getAttribute;;1
org.jhotdraw.draw.AttributedFigure;;drawFigure;;1
org.jhotdraw.draw.AttributedFigure;;writeAttributes;;1
org.jhotdraw.draw.AttributedFigure;;readAttributes;;1
