class name;;Method name;;number of detected pattern;;parameter;;number of occurrences;;occurrenceType;;unitOnwhichOccurrenceIsDetected;;commentFragment
nanoxml.XMLElement;;setAttribute;;2
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;r1 = virtualinvoke r1.<java.lang.String: java.lang.String toUpperCase()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;; * ;; * ;;r2;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;$r4 = virtualinvoke r2.<java.lang.Object: java.lang.String toString()>();;pattern detected param  r2 must not be null  because used in  InvokeExpr 
nanoxml.XMLElement;;setIntAttribute;;1
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;r1 = virtualinvoke r1.<java.lang.String: java.lang.String toUpperCase()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
nanoxml.XMLElement;;setDoubleAttribute;;1
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;r1 = virtualinvoke r1.<java.lang.String: java.lang.String toUpperCase()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
nanoxml.XMLElement;;getAttribute;;1
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;r1 = virtualinvoke r1.<java.lang.String: java.lang.String toUpperCase()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
nanoxml.XMLElement;;getAttribute;;2
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;r1 = virtualinvoke r1.<java.lang.String: java.lang.String toUpperCase()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;; * ;; * ;;r2;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;r5 = interfaceinvoke r2.<java.util.Map: java.lang.Object get(java.lang.Object)>(r4);;pattern detected param  r2 must not be null  because used in  InvokeExpr 
nanoxml.XMLElement;;getIntAttribute;;1
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;r1 = virtualinvoke r1.<java.lang.String: java.lang.String toUpperCase()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
nanoxml.XMLElement;;getIntAttribute;;2
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;r1 = virtualinvoke r1.<java.lang.String: java.lang.String toUpperCase()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;; * ;; * ;;r2;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;$r8 = virtualinvoke r2.<java.util.HashMap: java.lang.Object get(java.lang.Object)>(r4);;pattern detected param  r2 must not be null  because used in  InvokeExpr 
nanoxml.XMLElement;;getDoubleAttribute;;1
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;r1 = virtualinvoke r1.<java.lang.String: java.lang.String toUpperCase()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
nanoxml.XMLElement;;getDoubleAttribute;;2
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;r1 = virtualinvoke r1.<java.lang.String: java.lang.String toUpperCase()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;; * ;; * ;;r2;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;$r8 = virtualinvoke r2.<java.util.HashMap: java.lang.Object get(java.lang.Object)>(r4);;pattern detected param  r2 must not be null  because used in  InvokeExpr 
nanoxml.XMLElement;;getBooleanAttribute;;1
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;r1 = virtualinvoke r1.<java.lang.String: java.lang.String toUpperCase()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
nanoxml.XMLElement;;parseString;;1
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;$r2 = virtualinvoke r1.<java.lang.String: java.lang.String substring(int)>(i0);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
nanoxml.XMLElement;;parseString;;1
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;$r2 = virtualinvoke r1.<java.lang.String: java.lang.String substring(int,int)>(i0, i1);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
nanoxml.XMLElement;;parseString;;1
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;r3 = virtualinvoke r1.<java.lang.String: java.lang.String substring(int,int)>(i0, i1);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
nanoxml.XMLElement;;removeAttribute;;1
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;r1 = virtualinvoke r1.<java.lang.String: java.lang.String toUpperCase()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
nanoxml.XMLElement;;write;;1
*;; * ;; * ;;r1;;19
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(60);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(java.lang.String)>($r7);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(32);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
