class name;;Method name;;number of detected pattern;;method Declaration;;parameter;;number of occurrences;;occurrenceType;;unitOnwhichOccurrenceIsDetected;;commentFragment
Test1;;method0;;1;;protected void method0(java.lang.String, java.lang.String, java.lang.String, int[])
*;; * ;; * ;;*;;r4;;2
*;;*;;*;;*;;*;;*;;ArrayRef for param;;r4[0] = 1;;pattern detected param  r4 must not be null  because used in  ArrayRef 
*;;*;;*;;*;;*;;*;;ArrayRef for param;;r4[1] = 2;;pattern detected param  r4 must not be null  because used in  ArrayRef 
Test1;;method1;;1;;public void method1(java.lang.String, java.lang.String, java.lang.String, java.lang.String[])
*;; * ;; * ;;*;;r4;;3
*;;*;;*;;*;;*;;*;;ArrayRef for local initialized from param;;r5[0] = r1;;pattern detected param  r4 must not be null it define a local r5which used in  ArrayRef 
*;;*;;*;;*;;*;;*;;ArrayRef for local initialized from param;;r5[1] = r2;;pattern detected param  r4 must not be null it define a local r5which used in  ArrayRef 
*;;*;;*;;*;;*;;*;;ArrayRef for local initialized from param;;r5[2] = r3;;pattern detected param  r4 must not be null it define a local r5which used in  ArrayRef 
Test1;;method2;;1;;public void method2(java.lang.String, java.lang.String, java.lang.String, Test1)
*;; * ;; * ;;*;;r4;;5
*;;*;;*;;*;;*;;*;;FieldRef for param;;r4.<Test1: java.lang.String f> = "aymen";;pattern detected param  r4 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for param;;r4.<Test1: int z> = 1;;pattern detected param  r4 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for param;;$r7 = r4.<Test1: java.lang.String f>;;pattern detected param  r4 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for param;;$i0 = r4.<Test1: int z>;;pattern detected param  r4 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;specialinvoke r4.<Test1: void methodx(java.lang.String,java.lang.String,java.lang.String)>("aymen", "saied", "PhD");;pattern detected param  r4 must not be null  because used in  InvokeExpr 
Test1;;method3;;1;;public void method3(java.lang.String, java.lang.String, java.lang.String, Test1)
*;; * ;; * ;;*;;r4;;5
*;;*;;*;;*;;*;;*;;FieldRef for local initialized from param;;r5.<Test1: java.lang.String f> = "aymen";;pattern detected param  r4 must not be null it define a local r5which used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for local initialized from param;;r5.<Test1: int z> = 1;;pattern detected param  r4 must not be null it define a local r5which used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for local initialized from param;;$r8 = r5.<Test1: java.lang.String f>;;pattern detected param  r4 must not be null it define a local r5which used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for local initialized from param;;$i0 = r5.<Test1: int z>;;pattern detected param  r4 must not be null it define a local r5which used in  FieldRef 
*;;*;;*;;*;;*;;*;;InvokeExpr for local initialized from param;;specialinvoke r5.<Test1: void methodx(java.lang.String,java.lang.String,java.lang.String)>("aymen", "saied", "PhD");;pattern detected param  r4 must not be null it define a local r5which used in  InvokeExpr 
Test1;;method7;;1;;public void method7(java.lang.String, java.lang.String, java.lang.String, Test1) throws java.lang.Exception
*;; * ;; * ;;*;;r3;;1
*;;*;;*;;*;;*;;*;;ThrowStmt for param;;throw $r5;;pattern detected param  r3 must not be null  otherwise an exception is thrown 
Test1;;method8;;1;;public void method8(java.lang.String, java.lang.String, java.lang.String, Test1) throws java.lang.Exception
*;; * ;; * ;;*;;r3;;1
*;;*;;*;;*;;*;;*;;ThrowStmt for local initialized from param;;throw $r6;;pattern detected param  r3 must not be null it define a local r5which when is null an exception is thrown 
