class name;;Method name;;method Declaration;;number of detected pattern
java.awt.AWTEvent;;setSource;;public void setSource(java.lang.Object);;1
java.awt.image.ColorModel;;getUnnormalizedComponents;;public int[] getUnnormalizedComponents(float[], int, int[], int);;1
java.awt.image.ColorModel;;getNormalizedComponents;;public float[] getNormalizedComponents(int[], int, float[], int);;1
java.awt.image.Raster;;createInterleavedRaster;;public static java.awt.image.WritableRaster createInterleavedRaster(java.awt.image.DataBuffer, int, int, int, int, int[], java.awt.Point);;1
java.awt.image.Raster;;createBandedRaster;;public static java.awt.image.WritableRaster createBandedRaster(java.awt.image.DataBuffer, int, int, int, int[], int[], java.awt.Point);;1
java.awt.image.Raster;;createPackedRaster;;public static java.awt.image.WritableRaster createPackedRaster(java.awt.image.DataBuffer, int, int, int, int[], java.awt.Point);;1
java.awt.image.Raster;;createPackedRaster;;public static java.awt.image.WritableRaster createPackedRaster(java.awt.image.DataBuffer, int, int, int, java.awt.Point);;1
java.awt.image.Raster;;createRaster;;public static java.awt.image.Raster createRaster(java.awt.image.SampleModel, java.awt.image.DataBuffer, java.awt.Point);;1
java.awt.image.Raster;;createWritableRaster;;public static java.awt.image.WritableRaster createWritableRaster(java.awt.image.SampleModel, java.awt.Point);;1
java.awt.image.Raster;;createWritableRaster;;public static java.awt.image.WritableRaster createWritableRaster(java.awt.image.SampleModel, java.awt.image.DataBuffer, java.awt.Point);;1
java.awt.Dialog;;setModalityType;;public void setModalityType(java.awt.Dialog$ModalityType);;1
java.awt.List;;addItem;;public synchronized void addItem(java.lang.String, int);;1
java.awt.Frame;;setTitle;;public void setTitle(java.lang.String);;1
java.awt.Color;;RGBtoHSB;;public static float[] RGBtoHSB(int, int, int, float[]);;1
java.awt.Color;;getComponents;;public float[] getComponents(java.awt.color.ColorSpace, float[]);;1
java.awt.Cursor;;getSystemCustomCursor;;public static java.awt.Cursor getSystemCustomCursor(java.lang.String) throws java.awt.AWTException, java.awt.HeadlessException;;1
java.awt.Window;;setCursor;;public void setCursor(java.awt.Cursor);;1
java.awt.Window;;setModalExclusionType;;public void setModalExclusionType(java.awt.Dialog$ModalExclusionType);;1
java.awt.Window;;setGraphicsConfiguration;;void setGraphicsConfiguration(java.awt.GraphicsConfiguration);;1
java.awt.image.BufferedImage;;getRGB;;public int[] getRGB(int, int, int, int, int[], int, int);;1
java.awt.geom.AffineTransform;;transform;;public java.awt.geom.Point2D transform(java.awt.geom.Point2D, java.awt.geom.Point2D);;1
java.awt.geom.AffineTransform;;inverseTransform;;public java.awt.geom.Point2D inverseTransform(java.awt.geom.Point2D, java.awt.geom.Point2D) throws java.awt.geom.NoninvertibleTransformException;;1
java.awt.geom.AffineTransform;;deltaTransform;;public java.awt.geom.Point2D deltaTransform(java.awt.geom.Point2D, java.awt.geom.Point2D);;1
java.awt.BorderLayout;;addLayoutComponent;;public void addLayoutComponent(java.lang.String, java.awt.Component);;1
java.awt.CardLayout;;addLayoutComponent;;public void addLayoutComponent(java.awt.Component, java.lang.Object);;1
java.awt.KeyboardFocusManager;;setGlobalFocusOwner;;protected void setGlobalFocusOwner(java.awt.Component);;1
java.awt.KeyboardFocusManager;;processSynchronousLightweightTransfer;;static boolean processSynchronousLightweightTransfer(java.awt.Component, java.awt.Component, boolean, boolean, long);;2
java.awt.KeyboardFocusManager;;shouldNativelyFocusHeavyweight;;static int shouldNativelyFocusHeavyweight(java.awt.Component, java.awt.Component, boolean, boolean, long, sun.awt.CausedFocusEvent$Cause);;1
java.awt.font.GlyphVector;;getGlyphCharIndices;;public int[] getGlyphCharIndices(int, int, int[]);;1
java.awt.font.TextLine;;createComponentsOnRun;;public static sun.font.TextLineComponent[] createComponentsOnRun(int, int, char[], int[], byte[], sun.font.TextLabelFactory, java.awt.Font, sun.font.CoreMetrics, java.awt.font.FontRenderContext, sun.font.Decoration, sun.font.TextLineComponent[], int);;1
java.awt.image.DirectColorModel;;getComponents;;public final int[] getComponents(int, int[], int);;1
java.awt.image.IndexColorModel;;getComponents;;public int[] getComponents(int, int[], int);;1
java.awt.datatransfer.SystemFlavorMap;;getNativesForFlavors;;public synchronized java.util.Map getNativesForFlavors(java.awt.datatransfer.DataFlavor[]);;1
java.awt.datatransfer.SystemFlavorMap;;getFlavorsForNatives;;public synchronized java.util.Map getFlavorsForNatives(java.lang.String[]);;1
java.awt.image.ColorConvertOp;;filter;;public final java.awt.image.BufferedImage filter(java.awt.image.BufferedImage, java.awt.image.BufferedImage);;1
java.awt.image.ColorConvertOp;;getPoint2D;;public final java.awt.geom.Point2D getPoint2D(java.awt.geom.Point2D, java.awt.geom.Point2D);;1
java.awt.image.Kernel;;getKernelData;;public final float[] getKernelData(float[]);;1
java.awt.image.BandCombineOp;;getPoint2D;;public final java.awt.geom.Point2D getPoint2D(java.awt.geom.Point2D, java.awt.geom.Point2D);;1
java.awt.image.ComponentColorModel;;getComponents;;public int[] getComponents(int, int[], int);;1
java.awt.image.ComponentColorModel;;getComponents;;public int[] getComponents(java.lang.Object, int[], int);;1
java.awt.image.ComponentColorModel;;getNormalizedComponents;;public float[] getNormalizedComponents(java.lang.Object, float[], int);;1
java.awt.image.ByteLookupTable;;lookupPixel;;public int[] lookupPixel(int[], int[]);;1
java.awt.image.ByteLookupTable;;lookupPixel;;public byte[] lookupPixel(byte[], byte[]);;1
java.awt.image.ConvolveOp;;filter;;public final java.awt.image.WritableRaster filter(java.awt.image.Raster, java.awt.image.WritableRaster);;1
java.awt.image.ConvolveOp;;getPoint2D;;public final java.awt.geom.Point2D getPoint2D(java.awt.geom.Point2D, java.awt.geom.Point2D);;1
java.awt.image.LookupOp;;getPoint2D;;public final java.awt.geom.Point2D getPoint2D(java.awt.geom.Point2D, java.awt.geom.Point2D);;1
java.awt.image.ShortLookupTable;;lookupPixel;;public int[] lookupPixel(int[], int[]);;1
java.awt.image.ShortLookupTable;;lookupPixel;;public short[] lookupPixel(short[], short[]);;1
java.awt.image.RescaleOp;;getPoint2D;;public final java.awt.geom.Point2D getPoint2D(java.awt.geom.Point2D, java.awt.geom.Point2D);;1
