class name;;number of detected pattern
java.awt.MouseInfo;;0
java.awt.im.InputSubset;;0
java.awt.image.ColorModel;;2
java.awt.image.ComponentSampleModel;;4
java.awt.image.MemoryImageSource;;0
java.awt.font.TransformAttribute;;0
java.awt.GraphicsCallback;;0
java.awt.DisplayMode;;1
java.awt.geom.AffineTransform;;4
java.awt.geom.LineIterator;;0
java.awt.image.PackedColorModel;;0
java.awt.SplashScreen;;0
java.awt.font.LineMetrics;;0
java.awt.DefaultFocusTraversalPolicy;;0
java.awt.event.InputMethodEvent;;0
java.awt.Dialog;;1
java.awt.datatransfer.StringSelection;;0
java.awt.Rectangle;;0
java.awt.geom.QuadCurve2D;;0
java.awt.font.StyledParagraph;;0
java.awt.KeyboardFocusManager;;8
java.awt.print.PrinterIOException;;0
java.awt.print.PrinterJob;;0
java.awt.image.RescaleOp;;4
java.awt.datatransfer.Clipboard;;1
java.awt.ModalEventFilter;;0
java.awt.image.BandCombineOp;;1
java.awt.geom.Area;;1
java.awt.image.ComponentColorModel;;6
java.awt.event.MouseEvent;;0
java.awt.FileDialog;;2
java.awt.List;;5
java.awt.print.PrinterException;;0
java.awt.event.MouseAdapter;;0
java.awt.LinearGradientPaintContext;;0
java.awt.AWTPermission;;0
java.awt.dnd.DropTargetAdapter;;0
java.awt.WaitDispatchSupport;;0
java.awt.image.IndexColorModel;;1
java.awt.image.RasterFormatException;;0
java.awt.Window;;14
java.awt.FontMetrics;;0
java.awt.Color;;7
java.awt.image.PixelInterleavedSampleModel;;0
java.awt.GraphicsConfigTemplate;;0
java.awt.SystemTray;;3
java.awt.print.Book;;0
java.awt.Cursor;;1
java.awt.HeadlessException;;0
java.awt.event.ItemEvent;;0
java.awt.datatransfer.UnsupportedFlavorException;;1
java.awt.image.BufferStrategy;;0
java.awt.dnd.DropTargetDragEvent;;0
java.awt.AlphaComposite;;0
java.awt.event.FocusAdapter;;0
java.awt.Desktop;;0
java.awt.event.InvocationEvent;;0
java.awt.image.DataBuffer;;1
java.awt.DefaultKeyboardFocusManager;;3
java.awt.ContainerOrderFocusTraversalPolicy;;0
java.awt.font.TextLayout;;2
java.awt.Toolkit;;1
java.awt.event.TextEvent;;0
java.awt.event.FocusEvent;;0
java.awt.color.CMMException;;0
java.awt.color.ColorSpace;;0
java.awt.event.WindowEvent;;0
java.awt.Label;;0
java.awt.Insets;;0
java.awt.SentEvent;;1
java.awt.dnd.MouseDragGestureRecognizer;;0
java.awt.geom.QuadIterator;;0
java.awt.ScrollPane;;0
java.awt.MenuComponent;;0
java.awt.TexturePaint;;1
java.awt.GridBagLayoutInfo;;0
java.awt.image.DataBufferDouble;;0
java.awt.GraphicsConfiguration;;0
java.awt.AWTKeyStroke;;0
java.awt.ComponentOrientation;;0
java.awt.GridLayout;;0
java.awt.image.DataBufferByte;;0
java.awt.font.ImageGraphicAttribute;;1
java.awt.geom.RoundRectIterator;;0
java.awt.geom.RectIterator;;0
java.awt.image.AffineTransformOp;;2
java.awt.color.ICC_Profile;;0
java.awt.Scrollbar;;2
java.awt.image.DataBufferFloat;;0
java.awt.RadialGradientPaint;;0
java.awt.event.ComponentAdapter;;0
java.awt.Frame;;2
java.awt.Image;;0
java.awt.Polygon;;0
java.awt.BasicStroke;;0
java.awt.TextComponent;;4
java.awt.font.GlyphJustificationInfo;;0
java.awt.event.MouseMotionAdapter;;0
java.awt.Checkbox;;2
java.awt.event.ContainerEvent;;0
java.awt.dnd.DragGestureEvent;;0
java.awt.dnd.DropTarget;;3
java.awt.ScrollPaneAdjustable;;2
java.awt.font.FontRenderContext;;1
java.awt.GridBagLayout;;0
java.awt.image.AreaAveragingScaleFilter;;0
java.awt.dnd.DragSourceDragEvent;;0
java.awt.dnd.SerializationTester;;0
java.awt.image.ColorConvertOp;;4
java.awt.font.CharArrayIterator;;0
java.awt.image.RGBImageFilter;;0
java.awt.SystemColor;;0
java.awt.FontFormatException;;0
java.awt.TextArea;;0
java.awt.event.HierarchyEvent;;0
java.awt.geom.Ellipse2D;;0
java.awt.image.SampleModel;;10
java.awt.image.Raster;;8
java.awt.font.GlyphMetrics;;0
java.awt.font.GlyphVector;;1
java.awt.GraphicsDevice;;1
java.awt.GridBagConstraints;;0
java.awt.im.InputMethodHighlight;;0
java.awt.color.ICC_ColorSpace;;0
java.awt.image.BufferedImage;;2
java.awt.PointerInfo;;0
java.awt.event.InputEvent;;0
java.awt.geom.CubicIterator;;0
java.awt.EventQueue;;0
java.awt.color.ProfileDataException;;0
java.awt.event.AWTEventListenerProxy;;0
java.awt.event.ContainerAdapter;;0
java.awt.Choice;;2
java.awt.geom.GeneralPath;;0
java.awt.image.WritableRaster;;1
java.awt.image.renderable.RenderableImageOp;;0
java.awt.font.TextMeasurer;;0
java.awt.Graphics2D;;0
java.awt.event.HierarchyBoundsAdapter;;0
java.awt.MediaTracker;;0
java.awt.event.PaintEvent;;0
java.awt.geom.Line2D;;0
java.awt.font.LineBreakMeasurer;;0
java.awt.datatransfer.MimeTypeParameterList;;0
java.awt.TrayIcon;;6
java.awt.event.ComponentEvent;;0
java.awt.EventDispatchThread;;0
java.awt.geom.NoninvertibleTransformException;;0
java.awt.FocusTraversalPolicy;;0
java.awt.dnd.DragGestureRecognizer;;0
java.awt.AWTException;;0
java.awt.image.LookupTable;;0
java.awt.MenuShortcut;;0
java.awt.event.AdjustmentEvent;;0
java.awt.font.LayoutPath;;0
java.awt.MenuItem;;2
java.awt.CheckboxGroup;;0
java.awt.ImageCapabilities;;0
java.awt.dnd.DragSourceEvent;;0
java.awt.dnd.DnDEventMulticaster;;2
java.awt.Font;;2
java.awt.LinearGradientPaint;;0
java.awt.CardLayout;;1
java.awt.GraphicsEnvironment;;0
java.awt.CheckboxMenuItem;;2
java.awt.dnd.InvalidDnDOperationException;;0
java.awt.dnd.DragSource;;0
java.awt.PopupMenu;;0
java.awt.image.BufferedImageFilter;;0
java.awt.Canvas;;0
java.awt.Graphics;;0
java.awt.geom.EllipseIterator;;0
java.awt.image.renderable.RenderContext;;0
java.awt.font.TextJustifier;;0
