class name;;Method name;;method Declaration;;number of detected pattern
java.nio.Bits;;getCharL;;static char getCharL(java.nio.ByteBuffer, int);;1
java.nio.Bits;;getCharB;;static char getCharB(java.nio.ByteBuffer, int);;1
java.nio.Bits;;putCharL;;static void putCharL(java.nio.ByteBuffer, int, char);;1
java.nio.Bits;;putCharB;;static void putCharB(java.nio.ByteBuffer, int, char);;1
java.nio.Bits;;getShortL;;static short getShortL(java.nio.ByteBuffer, int);;1
java.nio.Bits;;getShortB;;static short getShortB(java.nio.ByteBuffer, int);;1
java.nio.Bits;;putShortL;;static void putShortL(java.nio.ByteBuffer, int, short);;1
java.nio.Bits;;putShortB;;static void putShortB(java.nio.ByteBuffer, int, short);;1
java.nio.Bits;;getIntL;;static int getIntL(java.nio.ByteBuffer, int);;1
java.nio.Bits;;getIntB;;static int getIntB(java.nio.ByteBuffer, int);;1
java.nio.Bits;;putIntL;;static void putIntL(java.nio.ByteBuffer, int, int);;1
java.nio.Bits;;putIntB;;static void putIntB(java.nio.ByteBuffer, int, int);;1
java.nio.Bits;;getLongL;;static long getLongL(java.nio.ByteBuffer, int);;1
java.nio.Bits;;getLongB;;static long getLongB(java.nio.ByteBuffer, int);;1
java.nio.Bits;;putLongL;;static void putLongL(java.nio.ByteBuffer, int, long);;1
java.nio.Bits;;putLongB;;static void putLongB(java.nio.ByteBuffer, int, long);;1
java.nio.ByteBuffer;;get;;public java.nio.ByteBuffer get(byte[], int, int);;1
java.nio.ByteBuffer;;put;;public java.nio.ByteBuffer put(java.nio.ByteBuffer);;1
java.nio.ByteBuffer;;put;;public java.nio.ByteBuffer put(byte[], int, int);;1
java.nio.ByteBuffer;;equals;;public boolean equals(java.lang.Object);;1
java.nio.ByteBuffer;;compareTo;;public int compareTo(java.nio.ByteBuffer);;1
java.nio.charset.Charset;;compareTo;;public final int compareTo(java.nio.charset.Charset);;1
java.nio.charset.Charset;;equals;;public final boolean equals(java.lang.Object);;1
java.nio.CharBuffer;;read;;public int read(java.nio.CharBuffer) throws java.io.IOException;;1
java.nio.CharBuffer;;wrap;;public static java.nio.CharBuffer wrap(java.lang.CharSequence);;1
java.nio.CharBuffer;;get;;public java.nio.CharBuffer get(char[], int, int);;1
java.nio.CharBuffer;;put;;public java.nio.CharBuffer put(java.nio.CharBuffer);;1
java.nio.CharBuffer;;put;;public java.nio.CharBuffer put(char[], int, int);;1
java.nio.CharBuffer;;put;;public java.nio.CharBuffer put(java.lang.String, int, int);;1
java.nio.CharBuffer;;put;;public final java.nio.CharBuffer put(java.lang.String);;1
java.nio.CharBuffer;;equals;;public boolean equals(java.lang.Object);;1
