class name;;Method name;;number of detected pattern
nanoxml.XMLElement;;<nanoxml.XMLElement: void <init>()>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: void <init>(java.util.HashMap)>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: void <init>(boolean)>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: void <init>(java.util.HashMap,boolean)>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: void <init>(java.util.HashMap,boolean,boolean)>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: void <init>(java.util.HashMap,boolean,boolean,boolean)>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: void <init>(java.util.HashMap,boolean,boolean,boolean,boolean)>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: void addChild(nanoxml.XMLElement)>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: void setAttribute(java.lang.String,java.lang.Object)>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: void setIntAttribute(java.lang.String,int)>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: void setDoubleAttribute(java.lang.String,double)>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: int countChildren()>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: java.util.Iterator enumerateAttributeNames()>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: java.util.Iterator iterateChildren()>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: java.util.ArrayList getChildren()>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: java.lang.String getContent()>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: int getLineNr()>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: java.lang.Object getAttribute(java.lang.String)>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: java.lang.Object getAttribute(java.lang.String,java.lang.Object)>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: java.lang.Object getAttribute(java.lang.String,java.util.Map,java.lang.String,boolean)>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: java.lang.String getStringAttribute(java.lang.String)>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: java.lang.String getStringAttribute(java.lang.String,java.lang.String)>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: java.lang.String getStringAttribute(java.lang.String,java.util.HashMap,java.lang.String,boolean)>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: int getIntAttribute(java.lang.String)>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: int getIntAttribute(java.lang.String,int)>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: int getIntAttribute(java.lang.String,int,int,int)>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: int getIntAttribute(java.lang.String,java.util.HashMap,java.lang.String,boolean)>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: double getDoubleAttribute(java.lang.String)>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: double getDoubleAttribute(java.lang.String,double)>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: double getDoubleAttribute(java.lang.String,java.util.HashMap,java.lang.String,boolean)>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: boolean getBooleanAttribute(java.lang.String,java.lang.String,java.lang.String,boolean)>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: boolean getBooleanAttribute(java.lang.String,boolean)>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: java.lang.String getName()>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: void parseFromReader(java.io.Reader)>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: void parseFromReader(java.io.Reader,int)>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: void parseString(java.lang.String)>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: void parseString(java.lang.String,int)>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: void parseString(java.lang.String,int,int)>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: void parseString(java.lang.String,int,int,int)>;;0
nanoxml.XMLElement;;<nanoxml.XMLElement: void parseCharArray(char[],int,int)>;;0
