class name;;Method name;;;;Method signature;;;;;;exit stmt;;Analysed unit
nanoxml.XMLElement;;getAttribute;;;;<nanoxml.XMLElement: java.lang.Object getAttribute(java.lang.String,java.util.Map,java.lang.String,boolean)>;;;;;;throw $r8;;if z0 == 0 goto $r7 = (java.lang.String) r4
nanoxml.XMLElement;;getBooleanAttribute;;;;<nanoxml.XMLElement: boolean getBooleanAttribute(java.lang.String,java.lang.String,java.lang.String,boolean)>;;;;;;throw $r7;;if $z3 == 0 goto $r6 = (java.lang.String) r4
nanoxml.XMLElement;;parseFromReader;;;;<nanoxml.XMLElement: void parseFromReader(java.io.Reader,int)>;;;;;;throw $r4;;if c1 == 60 goto c2 = virtualinvoke r0.<nanoxml.XMLElement: char readChar()>()
nanoxml.XMLElement;;scanString;;;;<nanoxml.XMLElement: void scanString(java.lang.StringBuffer)>;;;;;;throw $r2;;if c0 == 34 goto c1 = virtualinvoke r0.<nanoxml.XMLElement: char readChar()>()
nanoxml.XMLElement;;skipComment;;;;<nanoxml.XMLElement: void skipComment()>;;;;;;throw $r1;;if $c2 == 62 goto return
nanoxml.XMLElement;;readChar;;;;<nanoxml.XMLElement: char readChar()>;;;;;;throw $r2;;if i2 >= 0 goto (branch)
nanoxml.XMLElement;;scanElement;;;;<nanoxml.XMLElement: void scanElement(nanoxml.XMLElement)>;;;;;;throw $r6;;if c1 == 61 goto $c2 = virtualinvoke r0.<nanoxml.XMLElement: char scanWhitespace()>()
nanoxml.XMLElement;;scanElement;;;;<nanoxml.XMLElement: void scanElement(nanoxml.XMLElement)>;;;;;;throw $r7;;if c3 == 62 goto return
nanoxml.XMLElement;;scanElement;;;;<nanoxml.XMLElement: void scanElement(nanoxml.XMLElement)>;;;;;;throw $r8;;if c6 == 45 goto c7 = virtualinvoke r0.<nanoxml.XMLElement: char readChar()>()
nanoxml.XMLElement;;scanElement;;;;<nanoxml.XMLElement: void scanElement(nanoxml.XMLElement)>;;;;;;throw $r9;;if c7 == 45 goto virtualinvoke r0.<nanoxml.XMLElement: void skipComment()>()
nanoxml.XMLElement;;scanElement;;;;<nanoxml.XMLElement: void scanElement(nanoxml.XMLElement)>;;;;;;throw $r11;;if c8 == 60 goto c4 = virtualinvoke r0.<nanoxml.XMLElement: char readChar()>()
nanoxml.XMLElement;;scanElement;;;;<nanoxml.XMLElement: void scanElement(nanoxml.XMLElement)>;;;;;;throw $r15;;if c9 == 47 goto $c10 = virtualinvoke r0.<nanoxml.XMLElement: char scanWhitespace()>()
